Function,Rule_ID,Match_Type,Confidence,Source,Service,Resource
alicloud.ack.cluster.not_publicly_accessible,alicloud.ack.cluster.not_publicly_accessible,exact,1.0000,generated,ack,cluster
alicloud.ack.cluster.pod_security_policy_compliance,alicloud.ack.cluster.pod_security_policy_compliance_enforced,high_similarity,0.8696,catalog_similarity,ack,cluster
alicloud.ack.cluster.private_access_enabled,alicloud.ack.cluster.private_access_enforced,high_similarity,0.8444,catalog_similarity,ack,cluster
alicloud.ack.cluster.public_access_disabled,alicloud.ack.cluster.public_access_blocked,high_similarity,0.8372,catalog_similarity,ack,cluster
alicloud.ack.cluster.rbac_authorization_check,alicloud.ack.cluster.rbac_authorization_enforced,high_similarity,0.8235,catalog_similarity,ack,cluster
alicloud.ack.cluster.secret_encryption_kms_enabled,alicloud.ack.cluster.secret_encryption_kms_enforced,high_similarity,0.8814,catalog_similarity,ack,cluster
alicloud.ack.cluster.uses_a_supported_version,alicloud.ack.cluster.uses_latest_supported_version,high_similarity,0.9057,catalog_similarity,ack,cluster
alicloud.ack.control_plane.plane_logging_all_types_enabled,alicloud.ack.control_plane.apiserver_audit_logging_enabled,medium_similarity,0.5806,catalog_similarity,ack,control_plane
alicloud.ack.ebs.data_disk_cmek_encryption_check,alicloud.ack.ebs.data_disk_cmek_encryption_check,exact,1.0000,generated,ack,ebs
alicloud.ack.enabled.for_ec2,alicloud.ack.enabled.for_ec2,exact,1.0000,generated,ack,enabled
alicloud.ack.endpoints.not_publicly_accessible,alicloud.ack.endpoints.not_publicly_accessible,exact,1.0000,generated,ack,endpoints
alicloud.ack.kube.apiserver_client_ca_file_check,alicloud.ack.kube.apiserver_client_ca_file_check,exact,1.0000,generated,ack,kube
alicloud.ack.kubernetes.pod_create_access_minimized,alicloud.ack.kubernetes.pod_create_access_least_privilege,medium_similarity,0.7000,catalog_similarity,ack,kubernetes
alicloud.ack.log.service_integration_check,alicloud.ack.log.service_integration_check,exact,1.0000,generated,ack,log
alicloud.ack.network_policy.policy_enabled,alicloud.ack.network_policy.policy_enabled,exact,1.0000,generated,ack,network_policy
alicloud.ack.plan.configured,alicloud.ack.plan.configured,exact,1.0000,generated,ack,plan
alicloud.ack.plan.min_retention,alicloud.ack.plan.min_retention,exact,1.0000,generated,ack,plan
alicloud.ack.plans.exist,alicloud.ack.plans.exist,exact,1.0000,generated,ack,plans
alicloud.ack.pod.seccomp_profile_runtime_default_check,alicloud.ack.pod.seccomp_profile_runtime_default_enforced,high_similarity,0.8831,catalog_similarity,ack,pod
alicloud.ack.pod.security_context_presence_check,alicloud.ack.pod.security_context_configured,medium_similarity,0.6552,catalog_similarity,ack,pod
alicloud.ack.pod.service_account_token_mounting_check,alicloud.ack.pod.service_account_token_mounting_disabled,high_similarity,0.8533,catalog_similarity,ack,pod
alicloud.ack.psp.net_raw_capability_check,alicloud.ack.psp.net_raw_capability_disabled,high_similarity,0.7843,catalog_similarity,ack,psp
alicloud.ack.psp.root_user_check,alicloud.ack.psp.root_user_access_prevented,medium_similarity,0.5854,catalog_similarity,ack,psp
alicloud.ack.ram.role_acr_read_only_access_check,alicloud.ack.ram.role_acr_read_only_access_check,exact,1.0000,generated,ack,ram
alicloud.ack.rbac.secrets_access_check,alicloud.ack.rbac.least_privilege_secrets_access_enforced,medium_similarity,0.5763,catalog_similarity,ack,rbac
alicloud.ack.recovery.point_encrypted,alicloud.ack.recovery.point_encrypted,exact,1.0000,generated,ack,recovery
alicloud.ack.recovery.point_encryption,alicloud.ack.recovery.point_encryption,exact,1.0000,generated,ack,recovery
alicloud.ack.recovery.point_retention,alicloud.ack.recovery.point_retention,exact,1.0000,generated,ack,recovery
alicloud.ack.registry.image_scan_on_push_enabled,alicloud.ack.registry.image_scan_on_push_enabled,exact,1.0000,generated,ack,registry
alicloud.ack.registry.repository_encryption_enabled,alicloud.ack.registry.repository_encryption_enabled,exact,1.0000,generated,ack,registry
alicloud.ack.reportplans.exist,alicloud.ack.reportplans.exist,exact,1.0000,generated,ack,reportplans
alicloud.ack.service.task_definition_logging_enabled,alicloud.ack.service.task_definition_logging_enabled,exact,1.0000,generated,ack,service
alicloud.ack.service_account.default_no_token_and_no_roles,alicloud.ack.service_account.default_no_token_no_roles_enforced,high_similarity,0.7937,catalog_similarity,ack,service_account
alicloud.ack.vault.encryption_enabled,alicloud.ack.vault.encryption_enabled,exact,1.0000,generated,ack,vault
alicloud.ack.vaults.encrypted,alicloud.ack.vaults.encrypted,exact,1.0000,generated,ack,vaults
alicloud.ack.vaults.exist,alicloud.ack.vaults.exist,exact,1.0000,generated,ack,vaults
alicloud.ack.workload.balancer_https_tls_encryption_in_transit,alicloud.ack.workload.balancer_https_tls_encryption_in_transit,exact,1.0000,generated,ack,workload
alicloud.actiontrail.cloudmonitor.logging_enabled,alicloud.actiontrail.cloudmonitor.logging_enabled_with_90_day_retention,medium_similarity,0.5769,catalog_similarity,actiontrail,cloudmonitor
alicloud.actiontrail.cloudwatch.logging_enabled,alicloud.actiontrail.cloudwatch.logging_enabled,exact,1.0000,generated,actiontrail,cloudwatch
alicloud.actiontrail.kms.encryption_enabled,alicloud.actiontrail.kms.encryption_enabled,exact,1.0000,generated,actiontrail,kms
alicloud.actiontrail.logging.all_regions_enabled,alicloud.actiontrail.logging.all_regions_enabled,exact,1.0000,generated,actiontrail,logging
alicloud.actiontrail.logging.enabled,alicloud.actiontrail.logging.enabled,exact,1.0000,generated,actiontrail,logging
alicloud.actiontrail.logs.file_validation_enabled,alicloud.actiontrail.logs.file_validation_enabled,exact,1.0000,generated,actiontrail,logs
alicloud.actiontrail.logs.monitor_mfa_signin_alert,alicloud.actiontrail.logs.monitor_mfa_signin_alert,exact,1.0000,generated,actiontrail,logs
alicloud.actiontrail.logs.oss_bucket_access_logging_enabled,alicloud.actiontrail.logs.oss_bucket_access_logging_enabled,exact,1.0000,generated,actiontrail,logs
alicloud.actiontrail.logs.oss_bucket_is_not_publicly_accessible,alicloud.actiontrail.logs.oss_bucket_is_not_publicly_accessible,exact,1.0000,generated,actiontrail,logs
alicloud.actiontrail.logs.s3_bucket_access_logging_enabled,alicloud.actiontrail.logs.s3_bucket_access_logging_enabled,exact,1.0000,generated,actiontrail,logs
alicloud.actiontrail.logs.s3_bucket_is_not_publicly_accessible,alicloud.actiontrail.logs.s3_bucket_is_not_publicly_accessible,exact,1.0000,generated,actiontrail,logs
alicloud.actiontrail.logservice.failed_console_signin_alerts,alicloud.actiontrail.logservice.failed_console_signin_alerts,exact,1.0000,generated,actiontrail,logservice
alicloud.actiontrail.multi.region_enabled,alicloud.actiontrail.multi.region_enabled,exact,1.0000,generated,actiontrail,multi
alicloud.actiontrail.multi.region_enabled_logging_management_events,alicloud.actiontrail.multi.region_enabled_logging_management_events,exact,1.0000,generated,actiontrail,multi
alicloud.actiontrail.oss.dataevents_read_enabled,alicloud.actiontrail.oss.dataevents_read_enabled,exact,1.0000,generated,actiontrail,oss
alicloud.actiontrail.oss.dataevents_write_enabled,alicloud.actiontrail.oss.dataevents_write_enabled,exact,1.0000,generated,actiontrail,oss
alicloud.actiontrail.oss.read_events_enabled,alicloud.actiontrail.oss.read_events_enabled,exact,1.0000,generated,actiontrail,oss
alicloud.actiontrail.oss.write_events_enabled,alicloud.actiontrail.oss.write_events_enabled,exact,1.0000,generated,actiontrail,oss
alicloud.actiontrail.s3.dataevents_read_enabled,alicloud.actiontrail.s3.dataevents_read_enabled,exact,1.0000,generated,actiontrail,s3
alicloud.actiontrail.s3.dataevents_write_enabled,alicloud.actiontrail.s3.dataevents_write_enabled,exact,1.0000,generated,actiontrail,s3
alicloud.actiontrail.threat.detection_enumeration,alicloud.actiontrail.threat.detection_enumeration,exact,1.0000,generated,actiontrail,threat
alicloud.actiontrail.threat.detection_llm_jacking,alicloud.actiontrail.threat.llm_jacking,medium_similarity,0.6875,catalog_similarity,actiontrail,threat
alicloud.actiontrail.threat.detection_privilege_escalation,alicloud.actiontrail.threat.detection_privilege_escalation,exact,1.0000,generated,actiontrail,threat
alicloud.actiontrail.vpc.change_monitoring,alicloud.actiontrail.vpc.change_monitoring,exact,1.0000,generated,actiontrail,vpc
alicloud.alb.deletion.protection,alicloud.alb.deletion.protection,exact,1.0000,generated,alb,deletion
alicloud.alb.insecure.ssl_ciphers,alicloud.alb.insecure.ssl_ciphers,exact,1.0000,generated,alb,insecure
alicloud.alb.internet.facing,alicloud.alb.internet.facing,exact,1.0000,generated,alb,internet
alicloud.alb.is.in_multiple_az,alicloud.alb.is.in_multiple_az,exact,1.0000,generated,alb,is
alicloud.alb.listener.facing,alicloud.alb.listener.facing,exact,1.0000,generated,alb,listener
alicloud.alb.logging.enabled,alicloud.alb.logging.enabled,exact,1.0000,generated,alb,logging
alicloud.alb.ssl.listeners,alicloud.alb.ssl.listeners,exact,1.0000,generated,alb,ssl
alicloud.alb.target.group_health_check_enabled,alicloud.alb.target.group_health_check_enabled,exact,1.0000,generated,alb,target
alicloud.alb.waf.acl_attached,alicloud.alb.waf.acl_attached,exact,1.0000,generated,alb,waf
alicloud.analyticdb.backup.enabled,alicloud.analyticdb.backup.enabled,exact,1.0000,generated,analyticdb,backup
alicloud.analyticdb.cluster.audit_logging,alicloud.analyticdb.cluster.audit_logging,exact,1.0000,generated,analyticdb,cluster
alicloud.analyticdb.cluster.automated_snapshot,alicloud.analyticdb.cluster.snapshot_automated_enabled,medium_similarity,0.5455,catalog_similarity,analyticdb,cluster
alicloud.analyticdb.cluster.automatic_upgrades,alicloud.analyticdb.cluster.automatic_version_upgrades_enabled,medium_similarity,0.6923,catalog_similarity,analyticdb,cluster
alicloud.analyticdb.cluster.encrypted,alicloud.analyticdb.cluster.encryption_at_rest_enabled,medium_similarity,0.5143,catalog_similarity,analyticdb,cluster
alicloud.analyticdb.cluster.encrypted_at_rest,alicloud.analyticdb.cluster.encryption_at_rest_cmek,high_similarity,0.7500,catalog_similarity,analyticdb,cluster
alicloud.analyticdb.cluster.enhanced_vpc_routing,alicloud.analyticdb.cluster.enhanced_vpc_routing_enabled,high_similarity,0.8333,catalog_similarity,analyticdb,cluster
alicloud.analyticdb.cluster.in_transit_encryption_enabled,alicloud.analyticdb.cluster.multi_az_enabled_with_encryption_at_rest_enabled,medium_similarity,0.6234,catalog_similarity,analyticdb,cluster
alicloud.analyticdb.cluster.maintenance_settings,alicloud.analyticdb.cluster.maintenance_window_configured,medium_similarity,0.6122,catalog_similarity,analyticdb,cluster
alicloud.analyticdb.cluster.multi_az_enabled,alicloud.analyticdb.cluster.encryption_in_transit_enabled,medium_similarity,0.5333,catalog_similarity,analyticdb,cluster
alicloud.analyticdb.cluster.public_access,alicloud.analyticdb.cluster.public_access,exact,1.0000,generated,analyticdb,cluster
alicloud.api.field.level_logging_enabled,alicloud.api.field.level_logging_enabled,exact,1.0000,generated,api,field
alicloud.api.function.access_keys_configured,alicloud.api.function.access_keys_configured,exact,1.0000,generated,api,function
alicloud.api.function.identity_without_admin_privileges,alicloud.api.function.identity_without_admin_privileges,exact,1.0000,generated,api,function
alicloud.api.function.not_publicly_accessible,alicloud.api.function.not_publicly_accessible,exact,1.0000,generated,api,function
alicloud.api.gateway.api_gateway_https_required,alicloud.api.gateway.api_gateway_https_required,exact,1.0000,generated,api,gateway
alicloud.api.gateway.authorization_enabled,alicloud.api.gateway.validation_api_parameters_validation_enabled,medium_similarity,0.5538,catalog_similarity,api,gateway
alicloud.api.gateway.client_certificate_enabled,alicloud.api.gateway.client_certificate_enabled,exact,1.0000,generated,api,gateway
alicloud.api.gateway.restapi_client_certificate_enabled,alicloud.api.gateway.restapi_client_certificate_enabled,exact,1.0000,generated,api,gateway
alicloud.api.gateway.restapi_logging_enabled,alicloud.api.gateway.restapi_logging_enabled,exact,1.0000,generated,api,gateway
alicloud.api.gateway.restapi_tracing_enabled,alicloud.api.gateway.restapi_tracing_enabled,exact,1.0000,generated,api,gateway
alicloud.api.gateway.restapi_waf_acl_attached,alicloud.api.gateway.restapi_waf_acl_attached,exact,1.0000,generated,api,gateway
alicloud.api.hosting.managed_updates_enabled,alicloud.api.hosting.managed_updates_enabled,exact,1.0000,generated,api,hosting
alicloud.api.http.logs_enabled,alicloud.api.http.logs_enabled,exact,1.0000,generated,api,http
alicloud.api.minimum.tls_version_12,alicloud.api.minimum.tls_version_12,exact,1.0000,generated,api,minimum
alicloud.apigateway.api.access_logging_enabled,alicloud.apigateway.api.access_logging_enabled,exact,1.0000,generated,apigateway,api
alicloud.apigateway.fileshare.encryption_enabled,alicloud.apigateway.fileshare.encryption_enabled,exact,1.0000,generated,apigateway,fileshare
alicloud.apigateway.restapi.cache_encrypted,alicloud.apigateway.restapi.cache_encryption_at_rest_enabled,medium_similarity,0.6383,catalog_similarity,apigateway,restapi
alicloud.apigateway.restapi.client_certificate_enabled,alicloud.apigateway.restapi.client_certificate_required,high_similarity,0.8302,catalog_similarity,apigateway,restapi
alicloud.apigateway.restapi.logging_enabled,alicloud.apigateway.restapi.logging_enabled,exact,1.0000,generated,apigateway,restapi
alicloud.apigateway.restapi.public,alicloud.apigateway.restapi.public,exact,1.0000,generated,apigateway,restapi
alicloud.apikeys.api.restrictions_configured,alicloud.apikeys.api.restrictions_configured,exact,1.0000,generated,apikeys,api
alicloud.apikeys.key.rotated_in_90_days,alicloud.apikeys.key.rotated_in_90_days,exact,1.0000,generated,apikeys,key
alicloud.apsaradb.redis.redis_cluster_backup_enabled,alicloud.apsaradb.redis.redis_cluster_backup_enabled,exact,1.0000,generated,apsaradb,redis
alicloud.apsaramq.broker.active_deployment_mode,alicloud.apsaramq.broker.active_deployment_mode,exact,1.0000,generated,apsaramq,broker
alicloud.apsaramq.broker.cluster_deployment_mode,alicloud.apsaramq.broker.cluster_deployment_mode,exact,1.0000,generated,apsaramq,broker
alicloud.apsaramq.broker.logging_enabled,alicloud.apsaramq.broker.logging_enabled,exact,1.0000,generated,apsaramq,broker
alicloud.apsaramq.cluster.encryption_at_rest_uses_cmk,alicloud.apsaramq.cluster.encryption_at_rest_uses_cmk,exact,1.0000,generated,apsaramq,cluster
alicloud.apsaramq.cluster.in_transit_encryption_enabled,alicloud.apsaramq.cluster.in_transit_encryption_enabled,exact,1.0000,generated,apsaramq,cluster
alicloud.apsaramq.connector.in_transit_encryption_enabled,alicloud.apsaramq.connector.in_transit_encryption_enabled,exact,1.0000,generated,apsaramq,connector
alicloud.apsaramq.fleet.default_internet_access_disabled,alicloud.apsaramq.fleet.default_internet_access_disabled,exact,1.0000,generated,apsaramq,fleet
alicloud.artifacts.container.analysis_enabled,alicloud.artifacts.container.analysis_enabled,exact,1.0000,generated,artifacts,container
alicloud.bss.document.secrets,alicloud.bss.document.secrets,exact,1.0000,generated,bss,document
alicloud.bss.documents.set_as_public,alicloud.bss.documents.set_as_public,exact,1.0000,generated,bss,documents
alicloud.bss.managed.compliant_patching,alicloud.bss.managed.compliant_patching,exact,1.0000,generated,bss,managed
alicloud.bss.queues.not_publicly_accessible,alicloud.bss.queues.not_publicly_accessible,exact,1.0000,generated,bss,queues
alicloud.bss.queues.server_side_encryption_enabled,alicloud.bss.queues.server_side_encryption_enabled,exact,1.0000,generated,bss,queues
alicloud.bss.snapshot.encryption,alicloud.bss.snapshot.encryption,exact,1.0000,generated,bss,snapshot
alicloud.bss.topics.kms_encryption_at_rest_enabled,alicloud.bss.topics.kms_encryption_at_rest_enabled,exact,1.0000,generated,bss,topics
alicloud.bss.topics.not_publicly_accessible,alicloud.bss.topics.not_publicly_accessible,exact,1.0000,generated,bss,topics
alicloud.bss.volume.backup_configured,alicloud.bss.volume.backup_configured,exact,1.0000,generated,bss,volume
alicloud.cas.certificate.expiration,alicloud.cas.certificate.expiration,exact,1.0000,generated,cas,certificate
alicloud.cas.certificates.expiration_check,alicloud.cas.certificates.expiration_check,exact,1.0000,generated,cas,certificates
"alicloud.cas.certificates.expiration_check, alicloud_alb_ssl_listeners, alicloud_slb_ssl_listeners, alicloud_cdn_distributions_using_deprecated_ssl_protocols",alicloud.cas.certificates.expiration_check_alicloud_alb_ssl_listeners_alicloud_slb_ssl_listeners_alicloud_cdn_distributions_using_deprecated_ssl_protocols,high_similarity,0.9653,catalog_similarity,cas,certificates
"alicloud.cas.certificates.expiration_check, alicloud_oss_bucket_enforces_ssl, alicloud_alb_ssl_listeners, alicloud_elasticsearch_service_domains_node_to_node_encryption_enabled, alicloud_slb_ssl_listeners, alicloud_elasticsearch_service_domains_https_communications_enforced, alicloud_cdn_distributions_using_deprecated_ssl_protocols, alicloud_cdn_distributions_origin_traffic_encrypted, alicloud_vpc_flow_logs_enabled",alicloud.cas.certificates.expiration_check_alicloud_oss_bucket_enforces_ssl_alicloud_alb_ssl_listeners_alicloud_elasticsearch_service_domains_node_to_node_encryption_enabled_alicloud_slb_ssl_listeners_alicloud_elasticsearch_service_domains_https_communications_enforced_alicloud_cdn_distributions_using_deprecated_ssl_protocols_alicloud_cdn_distributions_origin_traffic_encrypted_alicloud_vpc_flow_logs_enabled,high_similarity,0.8351,catalog_similarity,cas,certificates
alicloud.cas.kubernetes.cluster_confidential_computing_enabled,alicloud.cas.kubernetes.cluster_confidential_computing_enabled,exact,1.0000,generated,cas,kubernetes
alicloud.cdn.cloudfront.https_required,alicloud.cdn.cloudfront.https_enforced,medium_similarity,0.6429,catalog_similarity,cdn,cloudfront
alicloud.cdn.domain.custom_ssl_certificate,alicloud.cdn.domain.custom_ssl_certificate,exact,1.0000,generated,cdn,domain
alicloud.cdn.domain.field_level_encryption_enabled,alicloud.cdn.domain.field_level_encryption_enabled,exact,1.0000,generated,cdn,domain
alicloud.cdn.domain.https_enabled,alicloud.cdn.domain.https_enabled,exact,1.0000,generated,cdn,domain
alicloud.cdn.domain.logging_enabled,alicloud.cdn.domain.logging_enabled,exact,1.0000,generated,cdn,domain
alicloud.cdn.domain.multiple_origin_failover_configured,alicloud.cdn.domain.multiple_origin_failover_configured,exact,1.0000,generated,cdn,domain
alicloud.cdn.domain.origin_traffic_encrypted,alicloud.cdn.domain.origin_traffic_encrypted,exact,1.0000,generated,cdn,domain
alicloud.cdn.domain.using_deprecated_ssl_protocols,alicloud.cdn.domain.using_deprecated_ssl_protocols,exact,1.0000,generated,cdn,domain
alicloud.cloudfw.in.all_vpc,alicloud.cloudfw.in.all_vpc,exact,1.0000,generated,cloudfw,in
alicloud.cloudfw.instance.automated_backups,alicloud.cloudfw.instance.automated_backups,exact,1.0000,generated,cloudfw,instance
alicloud.cloudfw.instance.postgres_log_connections_flag,alicloud.cloudfw.instance.postgres_log_connections_flag,exact,1.0000,generated,cloudfw,instance
alicloud.cloudfw.instance.postgres_log_disconnections_flag,alicloud.cloudfw.instance.postgres_log_disconnections_flag,exact,1.0000,generated,cloudfw,instance
alicloud.cloudfw.instance.postgres_log_error_verbosity_flag,alicloud.cloudfw.instance.postgres_log_error_verbosity_flag,exact,1.0000,generated,cloudfw,instance
alicloud.cloudfw.instance.postgres_log_min_duration_statement_flag,alicloud.cloudfw.instance.postgres_log_min_duration_statement_flag,exact,1.0000,generated,cloudfw,instance
alicloud.cloudfw.instance.postgres_log_min_error_statement_flag,alicloud.cloudfw.instance.postgres_log_min_error_statement_flag,exact,1.0000,generated,cloudfw,instance
alicloud.cloudfw.instance.postgres_log_min_messages_flag,alicloud.cloudfw.instance.postgres_log_min_messages_flag,exact,1.0000,generated,cloudfw,instance
alicloud.cloudfw.instance.postgres_log_statement_flag,alicloud.cloudfw.instance.postgres_log_statement_flag,exact,1.0000,generated,cloudfw,instance
alicloud.cloudfw.instance.public_access,alicloud.cloudfw.instance.public_access,exact,1.0000,generated,cloudfw,instance
alicloud.cloudfw.instance.public_ip,alicloud.cloudfw.instance.public_ip,exact,1.0000,generated,cloudfw,instance
alicloud.cloudfw.instance.ssl_connections,alicloud.cloudfw.instance.ssl_connections,exact,1.0000,generated,cloudfw,instance
alicloud.cloudfw.log.analysis_status_check,alicloud.cloudfw.log.analysis_status_check,exact,1.0000,generated,cloudfw,log
alicloud.cloudfw.logging.enabled,alicloud.cloudfw.logging.enabled,exact,1.0000,generated,cloudfw,logging
alicloud.cloudfw.multi.az,alicloud.cloudfw.multi.az,exact,1.0000,generated,cloudfw,multi
alicloud.cms.alarm.configured,alicloud.cms.alarm.configured,exact,1.0000,generated,cms,alarm
alicloud.cms.alarm.cpu_utilization_configured,alicloud.cms.alarm.alert_alarm_actions_configured,medium_similarity,0.5714,catalog_similarity,cms,alarm
alicloud.cms.alarm.memory_utilization_configured,alicloud.cms.alarm.memory_utilization_configured,exact,1.0000,generated,cms,alarm
alicloud.cms.alert.create_policy_assignment,alicloud.cms.alerts.create_policy_assignment,exact,1.0000,final_service_match,cms,alert
alicloud.cms.alert.create_update_nsg,alicloud.cms.alerts.create_update_nsg,exact,1.0000,final_service_match,cms,alert
alicloud.cms.alert.create_update_public_ip_address_rule,alicloud.cms.alerts.create_update_public_ip_address_rule,exact,1.0000,final_service_match,cms,alert
alicloud.cms.alert.create_update_security_solution,alicloud.cms.alerts.create_update_security_solution,exact,1.0000,final_service_match,cms,alert
alicloud.cms.alert.create_update_sqlserver_fr,alicloud.cms.alerts.create_update_sqlserver_fr,exact,1.0000,final_service_match,cms,alert
alicloud.cms.alert.delete_nsg,alicloud.cms.alerts.delete_nsg,exact,1.0000,final_service_match,cms,alert
alicloud.cms.alert.delete_policy_assignment,alicloud.cms.alerts.delete_policy_assignment,exact,1.0000,final_service_match,cms,alert
alicloud.cms.alert.delete_public_ip_address_rule,alicloud.cms.alerts.delete_public_ip_address_rule,exact,1.0000,final_service_match,cms,alert
alicloud.cms.alert.delete_security_solution,alicloud.cms.alerts.delete_security_solution,exact,1.0000,final_service_match,cms,alert
alicloud.cms.alert.delete_sqlserver_fr,alicloud.cms.alerts.delete_sqlserver_fr,exact,1.0000,final_service_match,cms,alert
alicloud.cms.changes.to_network_acls_alarm_configured,alicloud.cms.changes.to_network_acls_alarm_configured,exact,1.0000,generated,cms,changes
alicloud.cms.changes.to_network_gateways_alarm_configured,alicloud.cms.changes.to_network_gateways_alarm_configured,exact,1.0000,generated,cms,changes
alicloud.cms.changes.to_network_route_tables_alarm_configured,alicloud.cms.changes.to_network_route_tables_alarm_configured,exact,1.0000,generated,cms,changes
alicloud.cms.changes.to_vpcs_alarm_configured,alicloud.cms.changes.to_vpcs_alarm_configured,exact,1.0000,generated,cms,changes
alicloud.cms.diagnostic.setting_with_appropriate_categories,alicloud.cms.diagnostic.setting_with_appropriate_categories,exact,1.0000,generated,cms,diagnostic
alicloud.cms.diagnostic.settings_exists,alicloud.cms.diagnostic.settings_exists,exact,1.0000,generated,cms,diagnostic
alicloud.cms.global.endpoint_event_replication_enabled,alicloud.cms.global.endpoint_event_replication_enabled,exact,1.0000,generated,cms,global
alicloud.cms.log.group_kms_encryption_enabled,alicloud.cms.log.group_kms_encryption_enabled,exact,1.0000,generated,cms,log
alicloud.cms.log.group_no_secrets_in_logs,alicloud.cms.log.group_no_secrets_in_logs,exact,1.0000,generated,cms,log
alicloud.cms.log.group_not_publicly_accessible,alicloud.cms.log.group_not_publicly_accessible,exact,1.0000,generated,cms,log
alicloud.cms.log.group_retention,alicloud.cms.log.group_retention,exact,1.0000,generated,cms,log
alicloud.cms.log.group_retention_policy_specific_days_enabled,alicloud.cms.log.group_retention_policy_specific_days_enabled,exact,1.0000,generated,cms,log
"alicloud.cms.log.group_retention_policy_specific_days_enabled, alicloud_oss_bucket_lifecycle_enabled",alicloud.cms.log.group_retention_policy_specific_days_enabled_alicloud_oss_bucket_lifecycle_enabled,high_similarity,0.9818,catalog_similarity,cms,log
alicloud.cms.log.metric_filter_alicloud_organizations_changes,alicloud.cms.log.metric_filter_alicloud_organizations_changes,exact,1.0000,generated,cms,log
alicloud.cms.log.metric_filter_and_alarm_for_actiontrail_configuration_changes_enabled,alicloud.cms.log.metric_filter_and_alarm_for_actiontrail_configuration_changes_enabled,exact,1.0000,generated,cms,log
alicloud.cms.log.metric_filter_and_alarm_for_alicloud_config_configuration_changes_enabled,alicloud.cms.log.metric_filter_and_alarm_for_alicloud_config_configuration_changes_enabled,exact,1.0000,generated,cms,log
alicloud.cms.log.metric_filter_and_alarm_for_aws_config_configuration_changes_enabled,alicloud.cms.log.metric_filter_and_alarm_for_aws_config_configuration_changes_enabled,exact,1.0000,generated,cms,log
alicloud.cms.log.metric_filter_and_alarm_for_cloudtrail_configuration_changes_enabled,alicloud.cms.log.metric_filter_and_alarm_for_cloudtrail_configuration_changes_enabled,exact,1.0000,generated,cms,log
alicloud.cms.log.metric_filter_authentication_failures,alicloud.cms.log.metric_filter_authentication_failures,exact,1.0000,generated,cms,log
alicloud.cms.log.metric_filter_disable_or_scheduled_deletion_of_kms_cmk,alicloud.cms.log.metric_filter_disable_or_scheduled_deletion_of_kms_cmk,exact,1.0000,generated,cms,log
alicloud.cms.log.metric_filter_for_oss_bucket_policy_changes,alicloud.cms.log.metric_filter_for_oss_bucket_policy_changes,exact,1.0000,generated,cms,log
alicloud.cms.log.metric_filter_for_s3_bucket_policy_changes,alicloud.cms.log.metric_filter_for_s3_bucket_policy_changes,exact,1.0000,generated,cms,log
