suggested_rule_id,csp,rule_type,missing_check_name,compliance_count,framework_count,frameworks,priority,sample_title,compliance_ids,validation_status,validation_match,validation_note,review_status,review_note
alicloud.slb.chain.listener_attribute_modify,alicloud,ciem,alicloud_slb_chain_listener_attribute_modify,1,1,CIS_ALICLOUD,,Detect security group rule updates allowing non-SSL traffic and chained modifications to SLB listener attributes that could remove HTTPS/SSL certifica,CIS_ALICLOUD/6.3.5,truly_new,,best_jaccard=0.00,KEEP,Detects chained listener modifications and non-SSL traffic rule updates.
alicloud.voicenavigator.audit.create_instance,alicloud,ciem,alicloud_voicenavigator_audit_create_instance,1,1,NIST_800_171,,Monitor security group modifications for SIP/RTP ports and Voice Navigator instance creation,NIST_800_171/3.13.14,truly_new,,best_jaccard=0.00,KEEP,singleton
aws.chime.audit.create_meeting,aws,ciem,aws_chime_audit_create_meeting,1,1,NIST_800_171,,Detect creation of VPC endpoints for VoIP services and privileged Chime meeting creation,NIST_800_171/3.13.14,truly_new,,best_jaccard=0.00,KEEP,singleton
aws.cloudtrail.activity_log.critical_event_missing,aws,ciem,aws_cloudtrail_activity_log_critical_event_missing,1,1,PCI_DSS,,Detect missing critical audit events and anomalous privileged actions in CloudTrail logs,PCI_DSS/10.2.2,truly_new,aws.cloudtrail.log.file_validation_enabled,best_jaccard=0.22,KEEP,Detects missing critical audit events and anomalous privileged actions.
aws.cloudtrail.activity_log.periodic_review,aws,ciem,aws_cloudtrail_activity_log_periodic_review,1,1,PCI_DSS,,Detect missing periodic log reviews and anomalous privileged actions across AWS services.,PCI_DSS/10.4.2.1,truly_new,aws.cloudtrail.log.file_validation_enabled,best_jaccard=0.25,KEEP,Detects missing periodic log reviews and anomalous privileged actions.
aws.cloudtrail.chain.replay_auth_anomaly,aws,ciem,aws_cloudtrail_chain_replay_auth_anomaly,1,1,NIST_800_171,,Detect replay attempts via duplicate or out-of-sequence authentication events and anomalous multi-step authentication chains.,NIST_800_171/3.5.4,truly_new,aws.cloudtrail.console_auth_failures_monitoring.console_auth_failures_monitoring_configured,best_jaccard=0.22,KEEP,Detects replay attempts via duplicate/out-of-sequence auth.
aws.ec2.activity_log.auditd_disable,aws,ciem,aws_ec2_activity_log_auditd_disable,0,1,CSPM_BEST_PRACTICE,,Detect EC2 auditd service stop/deletion and SSM commands that disable or tamper with Linux audit logging,CSPM_BEST_PRACTICE,truly_new,aws.ec2.keypair.disable_unused_keys_configured,best_jaccard=0.22,KEEP,Detects disabling of Linux audit logging service.
aws.ec2.activity_log.delete_volume,aws,ciem,aws_ec2_activity_log_delete_volume,1,1,NIST_800_171,,Detect volume deletion without prior sanitization and snapshot creation from deleted volumes as potential data retention evasion.,NIST_800_171/3.8.3,truly_new,aws.ec2.volume.snapshots_encrypted,best_jaccard=0.29,KEEP,Detects volume deletion without proper data hygiene.
aws.ec2.activity_log.import_image,aws,ciem,aws_ec2_activity_log_import_image,1,1,NIST_800_171,,Detect import of VM images or execution of diagnostic commands that could introduce untested code into EC2 instances.,NIST_800_171/3.4.7,truly_new,aws.ec2.ami.image_signed_and_verified,best_jaccard=0.22,KEEP,Detects import of VM images or diagnostic commands.
aws.ec2.activity_log.modify_time_sync,aws,ciem,aws_ec2_activity_log_modify_time_sync,2,2,NIST_800_171;PCI_DSS,,"Detect attempts to disable or interfere with time synchronization services (e.g., EC2 instance time sync) and CloudTrail logging disruptions that coul",NIST_800_171/3.3.7;PCI_DSS/10.6.1,truly_new,aws.ec2.resource.backup_enabled,best_jaccard=0.11,KEEP,Detects interference with time synchronization services.
aws.iam.activity_log.console_login_followed_by_disable,aws,ciem,aws_iam_activity_log_console_login_followed_by_disable,1,1,CIS_AWS,,"Detect console login after 90+ day inactivity, then immediate disable (defense evasion) or reactivation of long-dormant users",CIS_AWS/1.12,truly_new,aws.iam.resource.console_mfa_enabled,best_jaccard=0.18,KEEP,Detects specific sequence: dormant login followed by immediate disable action.
aws.iam.activity_log.replay_attempt,aws,ciem,aws_iam_activity_log_replay_attempt,1,1,NIST_800_171,,Detect replay attempts via duplicate or out-of-sequence authentication events and anomalous multi-step authentication chains.,NIST_800_171/3.5.4,truly_new,aws.iam.key.monitored,best_jaccard=0.14,KEEP,Detects authentication replay attacks via duplicate/out-of-sequence events.
aws.iam.audit.user_access_review_override,aws,ciem,aws_iam_audit_user_access_review_override,1,1,PCI_DSS,,Detect IAM user access review overrides and chained actions to evade privilege removal after review deadlines,PCI_DSS/7.2.4,truly_new,aws.iam.user.single_active_access_key_audit_configured,best_jaccard=0.40,KEEP,Detects privilege evasion via access review overrides.
aws.iam.audit.user_inactivity_reactivation,aws,ciem,aws_iam_audit_user_inactivity_reactivation,1,1,CIS_AWS,,"Detect console login after 90+ day inactivity, then immediate disable (defense evasion) or reactivation of long-dormant users",CIS_AWS/1.5,truly_new,aws.iam.user.single_active_access_key_audit_configured,best_jaccard=0.30,KEEP,Detects suspicious login/reactivation patterns for defense evasion.
aws.ssm.chain.auditd_tamper,aws,ciem,aws_ssm_chain_auditd_tamper,0,1,CSPM_BEST_PRACTICE,,Detect EC2 auditd service stop/deletion and SSM commands that disable or tamper with Linux audit logging,CSPM_BEST_PRACTICE,truly_new,aws.ssm.document.ssm_secrets_encrypted,best_jaccard=0.14,KEEP,Detects auditd tampering combined with SSM commands on Linux.
aws.ssm.chain.patch_evasion,aws,ciem,aws_ssm_chain_patch_evasion,0,1,CSPM_BEST_PRACTICE,,Detect privileged actions that override patch states or orchestrate patch evasion via SSM command chaining.,CSPM_BEST_PRACTICE,truly_new,aws.ssm.document.ssm_secrets_encrypted,best_jaccard=0.14,KEEP,Detects privileged actions to override patch states via SSM.
azure.aad.activity_log.replay_token,azure,ciem,azure_aad_activity_log_replay_token,1,1,NIST_800_171,,Detect replay of authentication tokens and anomalous sequences of authentication actions from unusual locations/times.,NIST_800_171/3.5.4,truly_new,azure.aad.app_registration.access_oidc_token_lifetime_reasonable,best_jaccard=0.18,KEEP,Detects token replay and anomalous authentication sequences.
azure.aad.activity_log.signin_after_inactivity,azure,ciem,azure_aad_activity_log_signin_after_inactivity,0,1,CSPM_BEST_PRACTICE,,"Alert on sign-in for accounts inactive >90 days, and chain where inactive account is re-enabled then quickly disabled",CSPM_BEST_PRACTICE,truly_new,azure.aad.user.access_user_mfa_required,best_jaccard=0.10,KEEP,Detects sign-in after long inactivity and account re-enablement.
azure.aad.activity_log.signin_failure_series,azure,ciem,azure_aad_activity_log_signin_failure_series,1,1,NIST_800_171,,"Identify rapid sequences of failed sign-ins from same principal or IP, indicating credential brute force.",NIST_800_171/3.1.8,truly_new,azure.aad.user.access_user_mfa_required,best_jaccard=0.10,KEEP,Detects rapid failed sign-in series for credential attacks.
azure.communication.audit.create_voip_resource,azure,ciem,azure_communication_audit_create_voip_resource,1,1,NIST_800_171,,Monitor creation of Azure Communication Services VoIP resources and NSG changes affecting VoIP ports,NIST_800_171/3.13.14,truly_new,,best_jaccard=0.00,KEEP,singleton
azure.compute.audit.rdp_session_anomaly,azure,ciem,azure_compute_audit_rdp_session_anomaly,1,1,NIST_800_171,,Detect MFA policy disablement and anomalous RDP session patterns indicating lack of session lock.,NIST_800_171/3.1.10,truly_new,azure.compute.virtualmachines.list,best_jaccard=0.14,KEEP,Detects MFA disablement and anomalous RDP session patterns.
azure.compute.chain.nested_hypervisor_enable,azure,ciem,azure_compute_chain_nested_hypervisor_enable,1,1,CIS_AZURE,,Monitor VM updates for enabling nested virtualization and detect chained actions that bypass default hypervisor restrictions.,CIS_AZURE/6.1,truly_new,azure.compute.virtualmachines.list,best_jaccard=0.14,KEEP,Monitors enabling nested virtualization and chained bypass actions.
azure.monitor.activity_log.timestamp_anomaly,azure,ciem,azure_monitor_activity_log_timestamp_anomaly,1,1,CANADA_PBMM,,Identify log timestamp discrepancies or unauthorized log workspace deletions,CANADA_PBMM/AU-8(1),truly_new,azure.monitor.activity_log.activity_log_alert_delete,best_jaccard=0.43,KEEP,Identifies log timestamp anomalies or unauthorized workspace deletions.
azure.monitor.audit.brute_force_pattern,azure,ciem,azure_monitor_audit_brute_force_pattern,1,1,NIST_800_171,,"Identify rapid sequences of failed sign-ins from same principal or IP, indicating credential brute force.",NIST_800_171/3.1.8,truly_new,azure.monitor.vulnerability_automation.vuln_automation_change_audit_logging_enabled,best_jaccard=0.18,KEEP,Identifies rapid failed sign-in sequences indicating credential attacks.
azure.vm.activity_log.auditd_modify,azure,ciem,azure_vm_activity_log_auditd_modify,0,1,CSPM_BEST_PRACTICE,,Detect VM auditd configuration changes and Automation runbooks that disable or circumvent Linux audit logging,CSPM_BEST_PRACTICE,truly_new,azure.vm.ssm.managed,best_jaccard=0.14,KEEP,Detects auditd config changes and runbooks that disable/circumvent.
azure.vm.activity_log.modify_time_config,azure,ciem,azure_vm_activity_log_modify_time_config,2,2,NIST_800_171;PCI_DSS,,Detect modifications to VM time synchronization settings or disabling of log profiles that could disrupt time-correlated security monitoring.; Detect ,NIST_800_171/3.3.7;PCI_DSS/10.6.1,truly_new,azure.vm.ssm.managed,best_jaccard=0.12,KEEP,Detects modifications to time sync settings or disabling of log profiles.
azure.vm.audit.patch_override,azure,ciem,azure_vm_audit_patch_override,1,1,CIS_AZURE,,Identify VM patch state tampering or automated runbook sequences designed to bypass update compliance.,CIS_AZURE/10.7,truly_new,azure.vm.ssm.managed,best_jaccard=0.17,KEEP,Identifies patch state tampering or runbooks to bypass updates.
gcp.cloudaudit.audit.authentication_anomaly,gcp,ciem,gcp_cloudaudit_audit_authentication_anomaly,1,1,NIST_800_171,,Monitor for repeated failed authentication events in IAM and Admin Activity audit logs.,NIST_800_171/3.1.8,truly_new,,best_jaccard=0.00,KEEP,Detects repeated failed auth events (behavioral anomaly)
gcp.compute.activity_log.auditd_alter,gcp,ciem,gcp_compute_activity_log_auditd_alter,1,1,CIS,,Detect Compute Engine auditd service manipulation and OS Config patch deployments that modify or disable auditd,CIS/5.7.2,truly_new,gcp.compute.activity.firewall_delete,best_jaccard=0.29,KEEP,Detects auditd/OS Config manipulation
gcp.compute.activity_log.create_image,gcp,ciem,gcp_compute_activity_log_create_image,1,1,NIST_800_171,,Flag custom image creation from external sources and OS patch/package operations that could deploy untested diagnostic programs.,NIST_800_171/3.4.7,truly_new,gcp.compute.activity.firewall_delete,best_jaccard=0.29,KEEP,Flags custom image creation from external sources
gcp.compute.activity_log.delete_disk,gcp,ciem,gcp_compute_activity_log_delete_disk,1,1,NIST_800_171,,Detect persistent disk deletion and snapshot creation from deleted disks as possible unsanitized reuse or backup.,NIST_800_171/3.8.3,truly_new,gcp.compute.activity.firewall_delete,best_jaccard=0.50,KEEP,Detects disk deletion and snapshot creation
gcp.compute.activity_log.disable_osconfig_malware,gcp,ciem,gcp_compute_activity_log_disable_osconfig_malware,1,1,CANADA_PBMM,,Detect disabling of OS Config malware scanning or IAM role modifications to bypass Cloud Security Scanner.,CANADA_PBMM/SI-3(7),truly_new,gcp.compute.activity.firewall_delete,best_jaccard=0.25,KEEP,Detects disabling OS Config malware scanning/IAM changes
gcp.compute.activity_log.set_nested_virtualization,gcp,ciem,gcp_compute_activity_log_set_nested_virtualization,0,1,CSPM_BEST_PRACTICE,,Alert on API calls enabling nested virtualization on Compute Engine VMs or creating VMs with nested virtualization enabled.,CSPM_BEST_PRACTICE,truly_new,gcp.compute.activity.set_metadata,best_jaccard=0.43,KEEP,Alerts on enabling nested virtualization
gcp.compute.audit.instance_creation_without_integrity,gcp,ciem,gcp_compute_audit_instance_creation_without_integrity,1,1,CIS,,Detect shielded VM policy modifications disabling vTPM/Integrity Monitoring or instance creations without integrity features.,CIS/5.1,truly_new,gcp.compute.audit.instance_deleted,best_jaccard=0.43,KEEP,Detects disabling shielded VM features or creating unshielded VMs.
gcp.compute.audit.patch_override,gcp,ciem,gcp_compute_audit_patch_override,1,1,CIS_GCP,,Monitor for instance patch policy overrides or OS Config agent manipulations to evade patching.,CIS_GCP/4.12,truly_new,gcp.compute.audit.snapshot_created,best_jaccard=0.33,KEEP,Detects patch policy overrides or OS Config agent manipulations.
gcp.compute.audit.ssh_session_chain,gcp,ciem,gcp_compute_audit_ssh_session_chain,1,1,NIST_800_171,,Detect two-step verification disablement and chained SSH sessions bypassing inactivity timeouts.,NIST_800_171/3.1.10,truly_new,gcp.compute.audit.ssh_key_added_to_instance,best_jaccard=0.33,KEEP,Detects chained SSH sessions or 2FA disablement to bypass timeouts.
gcp.contactcenterinsights.audit.create_analysis,gcp,ciem,gcp_contactcenterinsights_audit_create_analysis,1,1,NIST_800_171,,Detect firewall rule creation for VoIP traffic patterns and Contact Center AI analysis initiation,NIST_800_171/3.13.14,truly_new,,best_jaccard=0.00,KEEP,singleton
gcp.iam.activity_log.disable_2sv,gcp,ciem,gcp_iam_activity_log_disable_2sv,1,1,NIST_800_171,,Detect two-step verification disablement and chained SSH sessions bypassing inactivity timeouts.,NIST_800_171/3.1.10,truly_new,gcp.iam.activity.disable_service_account,best_jaccard=0.43,KEEP,Detects two-step verification disablement and chained SSH sessions.
gcp.iam.activity_log.replay_detection,gcp,ciem,gcp_iam_activity_log_replay_detection,1,1,NIST_800_171,,Detect replay attempts in IAM audit logs and behavioral chains indicating stolen credential reuse.,NIST_800_171/3.5.4,truly_new,gcp.iam.activity.set_iam_policy,best_jaccard=0.29,KEEP,Detects replay attempts and behavioral chains in IAM logs.
gcp.iam.audit.dormant_user_console_access,gcp,ciem,gcp_iam_audit_dormant_user_console_access,1,1,CIS,,Detect use of dormant service account keys (>90d) or console login by long-inactive human user,CIS/1.5,truly_new,gcp.iam.audit.sa_delete,best_jaccard=0.25,KEEP,Detects use of dormant service account keys or console login by long-inactive human users.
gcp.logging.activity_log.audit_frequency,gcp,ciem,gcp_logging_activity_log_audit_frequency,1,1,PCI_DSS,,Monitor for deviations from defined log review schedules and detect privilege escalation chains in GCP audit logs.,PCI_DSS/10.4.2.1,truly_new,gcp.logging.audit.log_sink_deleted,best_jaccard=0.43,KEEP,Monitor log review schedule deviations and privilege escalation detection.
gcp.osconfig.audit.patch_execution,gcp,ciem,gcp_osconfig_audit_patch_execution,2,1,NIST_800_171,,Track Compute Engine instance creation and OS Config patch executions to enforce software allow/deny policies.; Flag custom image creation from extern,NIST_800_171/3.4.8;NIST_800_171/3.7.4,truly_new,gcp.osconfig.patch_deployment.maintenance_execution_roles_least_privilege,best_jaccard=0.33,KEEP,Tracks instance creation and patch execution events for audit.
gcp.osconfig.chain.auditd_evasion,gcp,ciem,gcp_osconfig_chain_auditd_evasion,1,1,CIS,,Detect Compute Engine auditd service manipulation and OS Config patch deployments that modify or disable auditd,CIS/5.7.2,truly_new,gcp.osconfig.patch_deployment.patch_deployment_exists_configured,best_jaccard=0.12,KEEP,Detects auditd service manipulation and patch deployment events.
ibm.activity_log.audit.rule_deletion,ibm,ciem,ibm_activity_log_audit_rule_deletion,1,1,PCI_DSS,,"Detect deletion of critical security rules (Security Groups, ACLs) in logs and chained events that disable monitoring services.",PCI_DSS/10.7.1,truly_new,,best_jaccard=0.00,KEEP,"Detects deletion of critical security rules (e.g., ACLs) in logs, a specific, verifiable event."
ibm.activity_tracker.audit.log_integrity_violation,ibm,ciem,ibm_activity_tracker_audit_log_integrity_violation,1,1,CANADA_PBMM,,Monitor for log export deletions or timestamp alterations in Activity Tracker,CANADA_PBMM/AU-8(1),truly_new,,best_jaccard=0.00,KEEP,Monitors for log export deletions or timestamp alterations.
ibm.activity_tracker.chain.replay_sequence,ibm,ciem,ibm_activity_tracker_chain_replay_sequence,1,1,NIST_800_171,,Detect authentication replay events and suspicious sequences indicating potential replay attacks.,NIST_800_171/3.5.4,truly_new,,best_jaccard=0.00,KEEP,Detects authentication replay events and suspicious sequences.
ibm.activity_tracker.audit.config_change,ibm,ciem,ibm_activitytracker_audit_config_change,1,1,PCI_DSS,,"Detect creation of ""false positive"" notes on IBM Security Advisor findings or configuration changes to IBM Activity Tracker that could suppress vulner",PCI_DSS/6.3.1,truly_new,,best_jaccard=0.00,KEEP,"Detects creation of ""false positive"" notes on security findings."
ibm.activity_tracker.audit.log_export_delete,ibm,ciem,ibm_activitytracker_audit_log_export_delete,1,1,CANADA_PBMM,,"Detect export or deletion of Activity Tracker events, or chained actions to remove/encrypt log data in backing stores.",CANADA_PBMM/AU-9(2),truly_new,,best_jaccard=0.00,KEEP,Detects export/deletion of events or chained removal/encryption actions.
ibm.activity_tracker.audit.retention_update,ibm,ciem,ibm_activitytracker_audit_retention_update,1,1,CIS_IBM,,Detect retention period reduction for Activity Tracker instances and multi-step log routing disruption.,CIS_IBM/3.2,truly_new,,best_jaccard=0.00,KEEP,Detects retention period reduction and multi-step log routing.
ibm.activity_tracker.chain.log_export_delete,ibm,ciem,ibm_activitytracker_chain_log_export_delete,1,1,PCI_DSS,,Detect disabling of IBM Security Advisor malware detection alerts or deletion of Activity Tracker log exports containing anti-malware events.,PCI_DSS/5.3.4,truly_new,,best_jaccard=0.00,KEEP,Detects disabling/deletion of malware alerts or log exports.
ibm.cloudant.audit.route_delete,ibm,ciem,ibm_cloudant_audit_route_delete,1,1,CSPM_BEST_PRACTICE,,"Detect Activity Tracker instance deletion or route removal, and Cloudant database audit log configuration changes that halt log forwarding.",CSPM_BEST_PRACTICE,truly_new,,best_jaccard=0.00,KEEP,"Detects deletion of audit routes or instances, a genuine event-based security check."
ibm.cloudant.chain.log_removal,ibm,ciem,ibm_cloudant_chain_log_removal,1,1,CANADA_PBMM,,"Detect export or deletion of Activity Tracker events, or chained actions to remove/encrypt log data in backing stores.",CANADA_PBMM/AU-9(2),truly_new,,best_jaccard=0.00,KEEP,"Detects deletion or export of audit logs, a distinct event-based check for log tampering."
ibm.codeengine.activity_log.privileged_job_run,ibm,ciem,ibm_codeengine_activity_log_privileged_job_run,0,1,CSPM_BEST_PRACTICE,,Detect privileged workload creation in IKS/OpenShift and Code Engine,CSPM_BEST_PRACTICE,truly_new,,best_jaccard=0.00,KEEP,singleton
ibm.functions.activity_log.create_action,ibm,ciem,ibm_functions_activity_log_create_action,1,1,NIST_800_171,,"Monitor creation or modification of IBM Cloud Functions actions, representing serverless mobile code.",NIST_800_171/3.13.13,truly_new,,best_jaccard=0.00,KEEP,Monitors creation/modification of serverless actions (activity log).
ibm.iam.activity_log.account_invite,ibm,ciem,ibm_iam_activity_log_account_invite,1,1,CIS_IBM,,Monitor invitations of external users to the account and subsequent API key generation for them.,CIS_IBM/1.4,truly_new,ibm.iam.activity.account_settings_change,best_jaccard=0.43,KEEP,Monitors external user invites and subsequent API key generation.
ibm.iam.activity_log.api_key_activity,ibm,ciem,ibm_iam_activity_log_api_key_activity,1,1,CANADA_PBMM,,Detect API key usage for privileged account and virtual server login by privileged identity,CANADA_PBMM/IA-2(1),truly_new,ibm.iam.activity.api_key_deleted,"DS_confirmed: Proposed checks API key activity (likely creation/usage), existing checks API key deletion only.",KEEP,Detects API key usage for privileged logins.
ibm.iam.activity_log.excessive_failed_logins,ibm,ciem,ibm_iam_activity_log_excessive_failed_logins,1,1,NIST_800_171,,Alert on an abnormal count of failed login attempts for a user or service ID.,NIST_800_171/3.1.8,truly_new,ibm.iam.activity.policy_created,best_jaccard=0.25,KEEP,Alerts on abnormal failed login attempts.
ibm.iam.activity_log.login_after_inactivity,ibm,ciem,ibm_iam_activity_log_login_after_inactivity,1,1,CIS_IBM,,"Monitor for login after >90 day inactivity, and user disable immediately following account reactivation",CIS_IBM/1.5,truly_new,ibm.iam.activity.policy_created,best_jaccard=0.25,KEEP,Monitors login after long inactivity and immediate user disable.
ibm.iam.activity_log.replay_auth,ibm,ciem,ibm_iam_activity_log_replay_auth,1,1,NIST_800_171,,Detect authentication replay events and suspicious sequences indicating potential replay attacks.,NIST_800_171/3.5.4,truly_new,ibm.iam.activity.policy_created,best_jaccard=0.29,KEEP,Detects authentication replay events and suspicious sequences.
ibm.iam.activity_log.serviceid_to_api_key,ibm,ciem,ibm_iam_activity_log_serviceid_to_api_key,1,1,CANADA_PBMM,,Detect service ID conversions to API keys and management key rotation evasion,CANADA_PBMM/AC-6(2),truly_new,ibm.iam.activity.api_key_deleted,best_jaccard=0.50,KEEP,Detects service ID to API key conversion for key rotation evasion.
ibm.iam.audit.disable_after_reactivation,ibm,ciem,ibm_iam_audit_disable_after_reactivation,1,1,CIS_IBM,,"Monitor for login after >90 day inactivity, and user disable immediately following account reactivation",CIS_IBM/1.5,truly_new,ibm.iam.activity.policy_created,best_jaccard=0.12,KEEP,Monitors login after long inactivity followed by immediate user disable.
