unique_compliance_id,technology,compliance_framework,framework_id,framework_version,requirement_id,requirement_name,requirement_description,section,service,total_checks,automation_type,confidence_score,references,source_file,aws_checks,final_aws_check
canada_pbmm_moderate_multi_cloud_CCCS_CM-3_0043,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-3,CCCS CM-3: Configuration Change Control,,CCCS,Multiple,15,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_elbv2_deletion_protection; aws_rds_instance_deletion_protection,aws.elbv2.deletion_protection.deletion_protection_configured; aws.rds.instance.deletion_protection_enabled
canada_pbmm_moderate_multi_cloud_CCCS_CM-6_0046,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-6,CCCS CM-6: Configuration Settings,,CCCS,Multiple,70,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_cloudtrail_cloudwatch_logging_enabled; aws_cloudtrail_kms_encryption_enabled; aws_cloudtrail_log_file_validation_enabled; aws_cloudtrail_multi_region_enabled; aws_cloudtrail_s3_dataevents_read_enabled; aws_cloudtrail_s3_dataevents_write_enabled; aws_ec2_ebs_encryption_by_default_enabled; aws_ec2_instance_managed_by_ssm; aws_ec2_instance_profile_attached; aws_iam_password_policy_minimum_length_14; aws_ssm_managed_compliant_patching,aws.cloudtrail.trail.flow_logging_enabled; aws.cloudtrail.trail.kms_encryption_enabled; aws.cloudtrail.trail.log_file_validation_enabled; aws.cloudtrail.trail.flow_logging_enabled; aws.cloudtrail.trail.s3_dataevents_read_enabled; aws.cloudtrail.trail.s3_dataevents_write_enabled; aws.ec2.ami.encryption_at_rest_enabled; aws.ec2.instance.managed_by_ssm_configured; aws.ec2.instance.profile_enabled; aws.iam.policy.workflow_storage_encrypted; aws.ssm.managed.ssm_compliant_patching_configured
canada_pbmm_moderate_multi_cloud_CCCS_CM-7_0047,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-7,CCCS CM-7: Least Functionality,,CCCS,EC2,10,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_ec2_networkacl_allow_ingress_any_port,aws.ec2.networkacl.network_no_unrestricted_ingress_configured
canada_pbmm_moderate_multi_cloud_CCCS_CM-8_0048,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-8,CCCS CM-8: System Component Inventory,,CCCS,Multiple,15,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_ec2_instance_managed_by_ssm; aws_ssm_managed_compliant_patching,aws.ec2.instance.managed_by_ssm_configured; aws.ssm.managed.ssm_compliant_patching_configured
canada_pbmm_moderate_multi_cloud_CCCS_CM-9_0049,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-9,CCCS CM-9: Configuration Management Plan,,CCCS,Multiple,58,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_cloudtrail_cloudwatch_logging_enabled; aws_cloudtrail_kms_encryption_enabled; aws_cloudtrail_log_file_validation_enabled; aws_cloudtrail_multi_region_enabled; aws_cloudtrail_s3_dataevents_read_enabled; aws_cloudtrail_s3_dataevents_write_enabled; aws_ec2_ebs_encryption_by_default_enabled; aws_iam_password_policy_minimum_length_14; aws_iam_policy_attached_only_to_group_or_roles,aws.cloudtrail.trail.flow_logging_enabled; aws.cloudtrail.trail.kms_encryption_enabled; aws.cloudtrail.trail.log_file_validation_enabled; aws.cloudtrail.trail.flow_logging_enabled; aws.cloudtrail.trail.s3_dataevents_read_enabled; aws.cloudtrail.trail.s3_dataevents_write_enabled; aws.ec2.ami.encryption_at_rest_enabled; aws.iam.policy.workflow_storage_encrypted; aws.iam.policy.attached_only_to_group_or_roles_configured
canada_pbmm_moderate_multi_cloud_CCCS_CP-2_0053,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CP-2,CCCS CP-2: Contingency Plan,,CCCS,Multiple,22,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_elbv2_deletion_protection; aws_rds_instance_deletion_protection; aws_rds_instance_multi_az,aws.elbv2.deletion_protection.deletion_protection_configured; aws.rds.instance.deletion_protection_enabled; aws.rds.instance.multi_az_configured
canada_pbmm_moderate_multi_cloud_CCCS_CP-6_0056,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CP-6,CCCS CP-6: Alternate Storage Site,,CCCS,Multiple,28,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_efs_backup_enabled; aws_rds_instance_backup_enabled; aws_redshift_cluster_automated_snapshot; aws_s3_bucket_versioning_enabled,aws.efs.have.backup_enabled; aws.rds.instance.backup_enabled; aws.redshift.cluster.automated_snapshot_configured; aws.s3.bucket.versioning_enabled
canada_pbmm_moderate_multi_cloud_CCCS_CP-9_0059,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CP-9,CCCS CP-9: System Backup,,CCCS,Multiple,94,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_cloudtrail_kms_encryption_enabled; aws_cloudwatch_log_group_kms_encryption_enabled; aws_dynamodb_pitr_enabled; aws_ec2_ebs_encryption_by_default_enabled; aws_efs_backup_enabled; aws_efs_encryption_at_rest_enabled; aws_opensearch_service_domains_encryption_at_rest_enabled; aws_rds_instance_backup_enabled; aws_rds_instance_storage_encrypted; aws_redshift_cluster_audit_logging; aws_redshift_cluster_automated_snapshot; aws_redshift_cluster_automatic_upgrades; aws_s3_bucket_encryption_enabled; aws_s3_bucket_versioning_enabled; aws_sagemaker_notebook_instance_encryption_enabled,aws.cloudtrail.trail.kms_encryption_enabled; aws.cloudwatch.loggroup.encryption_at_rest_cmek_configured; aws.dynamodb.resource.backup_enabled; aws.ec2.ami.encryption_at_rest_enabled; aws.efs.have.backup_enabled; aws.efs.encryption.at_rest_enabled; aws.opensearch.service.domains_encryption_at_rest_enabled; aws.rds.instance.backup_enabled; aws.rds.instance.encryption_at_rest_enabled; aws.redshift.cluster.audit_logging; aws.redshift.cluster.automated_snapshot_configured; aws.redshift.cluster.minor_version_auto_upgrade_enabled; aws.s3.bucket.encryption_at_rest_enabled; aws.s3.bucket.versioning_enabled; aws.sagemaker.notebook_instance.encryption_at_rest_enabled
canada_pbmm_moderate_multi_cloud_CCCS_IA-2_0062,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS IA-2,CCCS IA-2: Identification and Authentication (organizational Users),,CCCS,IAM,22,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_iam_password_policy_minimum_length_14; aws_iam_root_mfa_enabled; aws_iam_user_mfa_enabled_console_access,aws.iam.policy.workflow_storage_encrypted; aws.iam.root.mfa_enabled; aws.iam.user.mfa_required
canada_pbmm_moderate_multi_cloud_CCCS_IA-4_0064,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS IA-4,CCCS IA-4: Identifier Management,,CCCS,IAM,16,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_iam_no_root_access_key; aws_iam_password_policy_minimum_length_14,aws.iam.no.root_access_key_configured; aws.iam.policy.workflow_storage_encrypted
canada_pbmm_moderate_multi_cloud_CCCS_IA-5_0065,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS IA-5,CCCS IA-5: Authenticator Management,,CCCS,IAM,6,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_iam_password_policy_minimum_length_14,aws.iam.policy.workflow_storage_encrypted
canada_pbmm_moderate_multi_cloud_CCCS_IR-4_0072,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS IR-4,CCCS IR-4: Incident Handling,,CCCS,GUARDDUTY,10,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_guardduty_no_high_severity_findings,aws.guardduty.no.guardduty_finding_high_severity_findings_configured
canada_pbmm_moderate_multi_cloud_CCCS_MA-4_0080,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS MA-4,CCCS MA-4: Nonlocal Maintenance,,CCCS,IAM,6,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_iam_password_policy_minimum_length_14,aws.iam.policy.workflow_storage_encrypted
canada_pbmm_moderate_multi_cloud_CCCS_RA-1_0112,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS RA-1,CCCS RA-1: Policy and Procedures,,CCCS,GUARDDUTY,6,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_guardduty_enabled,aws.guardduty.detector.enabled
canada_pbmm_moderate_multi_cloud_CCCS_RA-5_0115,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS RA-5,CCCS RA-5: Vulnerability Monitoring and Scanning,,CCCS,GUARDDUTY,9,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_guardduty_enabled,aws.guardduty.detector.enabled
canada_pbmm_moderate_multi_cloud_CCCS_SC-5_0131,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS SC-5,CCCS SC-5: Denial-of-service Protection,,CCCS,GUARDDUTY,10,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_guardduty_enabled,aws.guardduty.detector.enabled
canada_pbmm_moderate_multi_cloud_CCCS_SC-7_0132,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS SC-7,CCCS SC-7: Boundary Protection,,CCCS,Multiple,63,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_ec2_ebs_public_snapshot; aws_ec2_instance_no_public_ip; aws_emr_cluster_master_nodes_no_public_ip; aws_lambda_function_restrict_public_access; aws_lambda_function_url_public; aws_rds_instance_no_public_access; aws_rds_snapshots_public_access; aws_redshift_cluster_public_access; aws_s3_account_level_public_access_blocks,aws.ec2.snapshot.not_public_configured; aws.ec2.instance.no_public_ip_assigned_configured; aws.emr.cluster.master_nodes_no_public_ip; aws.lambda.function.restrict_public_access_configured; aws.lambda.function.not_publicly_accessible_configured; aws.rds.instance.public_access_disabled; aws.rds.snapshots.public_access_configured; aws.redshift.cluster.public_access_configured; aws.s3.account.level_public_access_blocks
canada_pbmm_moderate_multi_cloud_CCCS_SC-8_0133,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS SC-8,CCCS SC-8: Transmission Confidentiality and Integrity,,CCCS,Multiple,27,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_apigateway_api_gateway_https_required; aws_cloudfront_https_required; aws_elbv2_alb_https_redirect; aws_s3_website_https_only,aws.apigateway.resource.api_gateway_https_required; aws.cloudfront.resource.cloudfront_https_required; aws.elbv2.alb_https_redirect.elbv2_alb_https_redirect_configured; aws.s3.bucket.secure_transport_policy
canada_pbmm_moderate_multi_cloud_CCCS_SC-12_0135,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS SC-12,CCCS SC-12: Cryptographic Key Establishment and Management,,CCCS,KMS,22,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_kms_cmk_rotation_enabled; aws_kms_key_expiration_set; aws_kms_key_lifecycle_policy,aws.kms.cmk.rotation_enabled; aws.kms.key.rotation_enabled; aws.kms.key.lifecycle_policy_configured
canada_pbmm_moderate_multi_cloud_CCCS_SC-13_0136,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS SC-13,CCCS SC-13: Cryptographic Protection,,CCCS,Multiple,58,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_apigateway_restapi_client_certificate_enabled; aws_cloudtrail_kms_encryption_enabled; aws_cloudwatch_log_group_kms_encryption_enabled; aws_dynamodb_tables_kms_cmk_encryption_enabled; aws_ec2_ebs_encryption_by_default_enabled; aws_efs_encryption_at_rest_enabled; aws_elb_ssl_listeners; aws_opensearch_service_domains_encryption_at_rest_enabled; aws_opensearch_service_domains_node_to_node_encryption_enabled,aws.apigateway.certificate.certificate_enabled; aws.cloudtrail.trail.kms_encryption_enabled; aws.cloudwatch.loggroup.encryption_at_rest_cmek_configured; aws.dynamodb.stream.encryption_at_rest_enabled; aws.ec2.ami.encryption_at_rest_enabled; aws.efs.encryption.at_rest_enabled; aws.elb.loadbalancer.ssl_listener_protocol_configured; aws.opensearch.service.domains_encryption_at_rest_enabled; aws.opensearch.service.domains_encryption_at_rest_enabled
canada_pbmm_moderate_multi_cloud_CCCS_SC-22_0142,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS SC-22,CCCS SC-22: Architecture and Provisioning for Name/address Resolution Service,,CCCS,Multiple,18,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_elbv2_deletion_protection; aws_rds_instance_deletion_protection; aws_rds_instance_multi_az,aws.elbv2.deletion_protection.deletion_protection_configured; aws.rds.instance.deletion_protection_enabled; aws.rds.instance.multi_az_configured
canada_pbmm_moderate_multi_cloud_CCCS_SC-28_0144,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS SC-28,CCCS SC-28: Protection of Information at Rest,,CCCS,Multiple,33,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_backup_encryption_enabled; aws_ec2_ebs_encryption_by_default_enabled; aws_rds_dynamodb_table_encryption_enabled; aws_rds_instance_storage_encrypted; aws_s3_bucket_encryption_enabled,aws.backup.resource.encryption_enabled; aws.ec2.ami.encryption_at_rest_enabled; aws.rds.instance.encryption_at_rest_enabled; aws.glue.table.encryption_at_rest_enabled; aws.rds.cluster.encryption_at_rest_enabled; aws.dynamodb.table.encryption_at_rest_enabled; aws.glue.database.encryption_at_rest_enabled; aws.efs.encryption.at_rest_enabled; aws.redshift.cluster.encryption_at_rest_enabled; aws.timestream.table.encryption_at_rest_enabled; aws.rds.instance.encryption_at_rest_enabled; aws.s3.bucket.encryption_at_rest_enabled
canada_pbmm_moderate_multi_cloud_CCCS_SI-2_0147,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS SI-2,CCCS SI-2: Flaw Remediation,,CCCS,Multiple,46,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_cloudwatch_changes_to_network_acls_alarm_configured; aws_cloudwatch_changes_to_network_gateways_alarm_configured; aws_cloudwatch_changes_to_network_route_tables_alarm_configured; aws_cloudwatch_changes_to_vpcs_alarm_configured; aws_rds_instance_enhanced_monitoring_enabled; aws_redshift_cluster_automatic_upgrades; aws_ssm_managed_compliant_patching,aws.cloudwatch.alarm.cloudwatch_alarm_actions_configured; aws.cloudwatch.alarm.cloudwatch_alarm_actions_configured; aws.cloudwatch.alarm.cloudwatch_alarm_actions_configured; aws.cloudwatch.alarm.cloudwatch_alarm_actions_configured; aws.rds.instance.enhanced_monitoring_enabled; aws.redshift.cluster.minor_version_auto_upgrade_enabled; aws.ssm.managed.ssm_compliant_patching_configured
canada_pbmm_moderate_multi_cloud_CCCS_SI-4_0149,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS SI-4,CCCS SI-4: System Monitoring,,CCCS,Multiple,16,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_cloudtrail_log_file_validation_enabled; aws_guardduty_enabled,aws.cloudtrail.trail.log_file_validation_enabled; aws.guardduty.detector.enabled
canada_pbmm_moderate_multi_cloud_CCCS_SI-16_0156,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS SI-16,CCCS SI-16: Memory Protection,,CCCS,GUARDDUTY,18,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_guardduty_enabled; aws_guardduty_security_center_enabled; aws_guardduty_vulnerability_assessment_enabled,aws.guardduty.detector.enabled; aws.guardduty.resource.security_center_enabled; aws.guardduty.resource.guardduty_vulnerability_assessment_enabled
cisa_ce_v1_multi_cloud_Your_Systems-1_0006,MULTI_CLOUD,CISA_CE,cisa_ce_v1,v1.0,Your Systems-1,Learn what is on your network - Maintain inventories of hardware and software assets,,Learn,Multiple,42,automated,,,CISA_CE_controls_with_checks.csv,aws_ec2_instance_managed_by_ssm; aws_ec2_patch_compliance; aws_ec2_ssm_association_compliance; aws_ec2_stopped_instance; aws_ec2_volume_in_use; aws_eip_attached; aws_vpc_network_acl_unused,aws.ec2.instance.managed_by_ssm_configured; aws.ec2.instance.patch_compliance_status_check; aws.ec2.ssm_association_compliance.ssm_association_compliance_configured; aws.ec2.instance.public_ip_configured; aws.ec2.volume.in_use_configured; aws.ec2.eip.in_use; aws.ec2.networkacl.unused_network_acl_configured
cisa_ce_v1_multi_cloud_Your_Systems-2_0007,MULTI_CLOUD,CISA_CE,cisa_ce_v1,v1.0,Your Systems-2,Learn who is on your network - Maintain inventories of network connections,,Learn,IAM,18,automated,,,CISA_CE_controls_with_checks.csv,aws_iam_no_admin_policy; aws_iam_user_credentials_unused_45_days_disabled; aws_iam_user_mfa_enabled_console_access,aws.iam.policy.reuse_24_configured; aws.iam.user.credentials_unused_45_days_disabled; aws.iam.user.mfa_required
