csp,source_type,source_type_label,log_field,field_label,field_type,operators,format_hint,field_value,field_value_label,rule_id,rule_title,rule_severity,rule_threat_category,rule_check_type,rule_condition_op,rule_conditions_summary,rule_conditions_json,rule_file
aws,alb,AWS ALB Access Logs,outcome,Outcome,enum,"equals, not_equals, in",,failure,failure,aws.alb.alb_log.http_5xx_error,ALB: HTTP 5xx Error,low,discovery,log,equals,source_type equals alb AND outcome equals failure,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""alb""}, {""field"": ""outcome"", ""op"": ""equals"", ""value"": ""failure""}]}",catalog/rule/aws_rule_ciem/alb/aws.alb.alb_log.http_5xx_error.yaml
aws,alb,AWS ALB Access Logs,outcome,Outcome,enum,"equals, not_equals, in",,failure,failure,aws.alb.alb_log.repeated_server_errors,ALB: Repeated Server Errors,medium,discovery,log,equals,source_type equals alb AND outcome equals failure AND error_code contains 5,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""alb""}, {""field"": ""outcome"", ""op"": ""equals"", ""value"": ""failure""}, {""field"": ""error_code"", ""op"": ""contains"", ""value"": ""5""}]}",catalog/rule/aws_rule_ciem/alb/aws.alb.alb_log.repeated_server_errors.yaml
aws,alb,AWS ALB Access Logs,resource_type,Resource_Type,string,equals,,ws,ws,aws.alb.alb_log.websocket_connection,ALB: Websocket Connection,low,execution,log,equals,source_type equals alb AND resource_type equals ws,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""alb""}, {""field"": ""resource_type"", ""op"": ""equals"", ""value"": ""ws""}]}",catalog/rule/aws_rule_ciem/alb/aws.alb.alb_log.websocket_connection.yaml
aws,alb,AWS ALB Access Logs,resource_uid,Resource_Uid,string,equals,,..,..,aws.alb.alb_log.dot_dot_path_traversal,ALB: Dot Dot Path Traversal,high,web_attack,log,contains,source_type equals alb AND resource_uid contains ..,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""alb""}, {""field"": ""resource_uid"", ""op"": ""contains"", ""value"": ""..""}]}",catalog/rule/aws_rule_ciem/alb/aws.alb.alb_log.dot_dot_path_traversal.yaml
aws,alb,AWS ALB Access Logs,resource_uid,Resource_Uid,string,equals,,/admin,/admin,aws.alb.alb_log.admin_path_access,ALB: Admin Path Access,medium,web_attack,log,contains,source_type equals alb AND resource_uid contains /admin,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""alb""}, {""field"": ""resource_uid"", ""op"": ""contains"", ""value"": ""/admin""}]}",catalog/rule/aws_rule_ciem/alb/aws.alb.alb_log.admin_path_access.yaml
aws,alb,AWS ALB Access Logs,resource_uid,Resource_Uid,string,equals,,/api/key,/api/key,aws.alb.alb_log.api_key_path_access,ALB: API Key Path Access,medium,web_attack,log,contains,source_type equals alb AND resource_uid contains /api/key,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""alb""}, {""field"": ""resource_uid"", ""op"": ""contains"", ""value"": ""/api/key""}]}",catalog/rule/aws_rule_ciem/alb/aws.alb.alb_log.api_key_path_access.yaml
aws,alb,AWS ALB Access Logs,resource_uid,Resource_Uid,string,equals,,/health,/health,aws.alb.alb_log.health_check_failure,ALB: Health Check Failure,low,discovery,log,contains,source_type equals alb AND resource_uid contains /health AND outcome equals failure,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""alb""}, {""field"": ""resource_uid"", ""op"": ""contains"", ""value"": ""/health""}, {""field"": ""outcome"", ""op"": ""equals"", ""value"": ""failure""}]}",catalog/rule/aws_rule_ciem/alb/aws.alb.alb_log.health_check_failure.yaml
aws,alb,AWS ALB Access Logs,source_type,Log Source Type,fixed,equals,,alb,alb,aws.alb.alb_log.admin_path_access,ALB: Admin Path Access,medium,web_attack,log,equals,source_type equals alb AND resource_uid contains /admin,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""alb""}, {""field"": ""resource_uid"", ""op"": ""contains"", ""value"": ""/admin""}]}",catalog/rule/aws_rule_ciem/alb/aws.alb.alb_log.admin_path_access.yaml
aws,alb,AWS ALB Access Logs,source_type,Log Source Type,fixed,equals,,alb,alb,aws.alb.alb_log.api_key_path_access,ALB: API Key Path Access,medium,web_attack,log,equals,source_type equals alb AND resource_uid contains /api/key,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""alb""}, {""field"": ""resource_uid"", ""op"": ""contains"", ""value"": ""/api/key""}]}",catalog/rule/aws_rule_ciem/alb/aws.alb.alb_log.api_key_path_access.yaml
aws,alb,AWS ALB Access Logs,source_type,Log Source Type,fixed,equals,,alb,alb,aws.alb.alb_log.bad_gateway,ALB: Bad Gateway,low,discovery,log,equals,source_type equals alb AND error_code equals 502,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""alb""}, {""field"": ""error_code"", ""op"": ""equals"", ""value"": ""502""}]}",catalog/rule/aws_rule_ciem/alb/aws.alb.alb_log.bad_gateway.yaml
aws,alb,AWS ALB Access Logs,source_type,Log Source Type,fixed,equals,,alb,alb,aws.alb.alb_log.connection_timeout,ALB: Connection Timeout,low,discovery,log,equals,source_type equals alb AND error_code equals 504,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""alb""}, {""field"": ""error_code"", ""op"": ""equals"", ""value"": ""504""}]}",catalog/rule/aws_rule_ciem/alb/aws.alb.alb_log.connection_timeout.yaml
aws,alb,AWS ALB Access Logs,source_type,Log Source Type,fixed,equals,,alb,alb,aws.alb.alb_log.dot_dot_path_traversal,ALB: Dot Dot Path Traversal,high,web_attack,log,equals,source_type equals alb AND resource_uid contains ..,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""alb""}, {""field"": ""resource_uid"", ""op"": ""contains"", ""value"": ""..""}]}",catalog/rule/aws_rule_ciem/alb/aws.alb.alb_log.dot_dot_path_traversal.yaml
aws,alb,AWS ALB Access Logs,source_type,Log Source Type,fixed,equals,,alb,alb,aws.alb.alb_log.health_check_failure,ALB: Health Check Failure,low,discovery,log,equals,source_type equals alb AND resource_uid contains /health AND outcome equals failure,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""alb""}, {""field"": ""resource_uid"", ""op"": ""contains"", ""value"": ""/health""}, {""field"": ""outcome"", ""op"": ""equals"", ""value"": ""failure""}]}",catalog/rule/aws_rule_ciem/alb/aws.alb.alb_log.health_check_failure.yaml
aws,alb,AWS ALB Access Logs,source_type,Log Source Type,fixed,equals,,alb,alb,aws.alb.alb_log.http_401_unauthorized,ALB: HTTP 401 Unauthorized,medium,initial_access,log,equals,source_type equals alb AND error_code equals 401,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""alb""}, {""field"": ""error_code"", ""op"": ""equals"", ""value"": ""401""}]}",catalog/rule/aws_rule_ciem/alb/aws.alb.alb_log.http_401_unauthorized.yaml
aws,alb,AWS ALB Access Logs,source_type,Log Source Type,fixed,equals,,alb,alb,aws.alb.alb_log.http_403_forbidden,ALB: HTTP 403 Forbidden,low,initial_access,log,equals,source_type equals alb AND error_code equals 403,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""alb""}, {""field"": ""error_code"", ""op"": ""equals"", ""value"": ""403""}]}",catalog/rule/aws_rule_ciem/alb/aws.alb.alb_log.http_403_forbidden.yaml
aws,alb,AWS ALB Access Logs,source_type,Log Source Type,fixed,equals,,alb,alb,aws.alb.alb_log.http_404_not_found,ALB: HTTP 404 Not Found,low,discovery,log,equals,source_type equals alb AND error_code equals 404,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""alb""}, {""field"": ""error_code"", ""op"": ""equals"", ""value"": ""404""}]}",catalog/rule/aws_rule_ciem/alb/aws.alb.alb_log.http_404_not_found.yaml
aws,alb,AWS ALB Access Logs,source_type,Log Source Type,fixed,equals,,alb,alb,aws.alb.alb_log.http_5xx_error,ALB: HTTP 5xx Error,low,discovery,log,equals,source_type equals alb AND outcome equals failure,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""alb""}, {""field"": ""outcome"", ""op"": ""equals"", ""value"": ""failure""}]}",catalog/rule/aws_rule_ciem/alb/aws.alb.alb_log.http_5xx_error.yaml
aws,alb,AWS ALB Access Logs,source_type,Log Source Type,fixed,equals,,alb,alb,aws.alb.alb_log.http_delete_method,ALB: HTTP Delete Method,medium,web_attack,log,equals,source_type equals alb AND operation equals DELETE,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""alb""}, {""field"": ""operation"", ""op"": ""equals"", ""value"": ""DELETE""}]}",catalog/rule/aws_rule_ciem/alb/aws.alb.alb_log.http_delete_method.yaml
aws,alb,AWS ALB Access Logs,source_type,Log Source Type,fixed,equals,,alb,alb,aws.alb.alb_log.http_options_method,ALB: HTTP Options Method,low,discovery,log,equals,source_type equals alb AND operation equals OPTIONS,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""alb""}, {""field"": ""operation"", ""op"": ""equals"", ""value"": ""OPTIONS""}]}",catalog/rule/aws_rule_ciem/alb/aws.alb.alb_log.http_options_method.yaml
aws,alb,AWS ALB Access Logs,source_type,Log Source Type,fixed,equals,,alb,alb,aws.alb.alb_log.http_patch_method,ALB: HTTP Patch Method,low,web_attack,log,equals,source_type equals alb AND operation equals PATCH,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""alb""}, {""field"": ""operation"", ""op"": ""equals"", ""value"": ""PATCH""}]}",catalog/rule/aws_rule_ciem/alb/aws.alb.alb_log.http_patch_method.yaml
aws,alb,AWS ALB Access Logs,source_type,Log Source Type,fixed,equals,,alb,alb,aws.alb.alb_log.repeated_server_errors,ALB: Repeated Server Errors,medium,discovery,log,equals,source_type equals alb AND outcome equals failure AND error_code contains 5,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""alb""}, {""field"": ""outcome"", ""op"": ""equals"", ""value"": ""failure""}, {""field"": ""error_code"", ""op"": ""contains"", ""value"": ""5""}]}",catalog/rule/aws_rule_ciem/alb/aws.alb.alb_log.repeated_server_errors.yaml
aws,alb,AWS ALB Access Logs,source_type,Log Source Type,fixed,equals,,alb,alb,aws.alb.alb_log.websocket_connection,ALB: Websocket Connection,low,execution,log,equals,source_type equals alb AND resource_type equals ws,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""alb""}, {""field"": ""resource_type"", ""op"": ""equals"", ""value"": ""ws""}]}",catalog/rule/aws_rule_ciem/alb/aws.alb.alb_log.websocket_connection.yaml
aws,cloudfront,AWS CloudFront Logs,error_code,Error Code,string,"equals, not_equals, in",,4,4,aws.cloudfront.access_log.http_4xx_error,CloudFront: HTTP 4xx Error,low,discovery,log,starts_with,source_type equals cloudfront AND outcome equals failure AND error_code starts_with 4,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""cloudfront""}, {""field"": ""outcome"", ""op"": ""equals"", ""value"": ""failure""}, {""field"": ""error_code"", ""op"": ""starts_with"", ""value"": ""4""}]}",catalog/rule/aws_rule_ciem/cloudfront/aws.cloudfront.access_log.http_4xx_error.yaml
aws,cloudfront,AWS CloudFront Logs,error_code,Error Code,string,"equals, not_equals, in",,403,403,aws.cloudfront.access_log.http_403_forbidden,CloudFront: HTTP 403 Forbidden,low,initial_access,log,equals,source_type equals cloudfront AND error_code equals 403,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""cloudfront""}, {""field"": ""error_code"", ""op"": ""equals"", ""value"": ""403""}]}",catalog/rule/aws_rule_ciem/cloudfront/aws.cloudfront.access_log.http_403_forbidden.yaml
aws,cloudfront,AWS CloudFront Logs,error_code,Error Code,string,"equals, not_equals, in",,5,5,aws.cloudfront.access_log.http_5xx_error,CloudFront: HTTP 5xx Error,low,discovery,log,starts_with,source_type equals cloudfront AND outcome equals failure AND error_code starts_with 5,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""cloudfront""}, {""field"": ""outcome"", ""op"": ""equals"", ""value"": ""failure""}, {""field"": ""error_code"", ""op"": ""starts_with"", ""value"": ""5""}]}",catalog/rule/aws_rule_ciem/cloudfront/aws.cloudfront.access_log.http_5xx_error.yaml
aws,cloudfront,AWS CloudFront Logs,operation,API Operation / Event Name,string,"equals, not_equals, in, contains, starts_with, starts_with_any",,DELETE,DELETE,aws.cloudfront.access_log.http_delete_method,CloudFront: HTTP Delete Method,medium,web_attack,log,equals,source_type equals cloudfront AND operation equals DELETE,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""cloudfront""}, {""field"": ""operation"", ""op"": ""equals"", ""value"": ""DELETE""}]}",catalog/rule/aws_rule_ciem/cloudfront/aws.cloudfront.access_log.http_delete_method.yaml
aws,cloudfront,AWS CloudFront Logs,operation,API Operation / Event Name,string,"equals, not_equals, in, contains, starts_with, starts_with_any",,OPTIONS,OPTIONS,aws.cloudfront.access_log.http_options_method,CloudFront: HTTP Options Method,low,discovery,log,equals,source_type equals cloudfront AND operation equals OPTIONS,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""cloudfront""}, {""field"": ""operation"", ""op"": ""equals"", ""value"": ""OPTIONS""}]}",catalog/rule/aws_rule_ciem/cloudfront/aws.cloudfront.access_log.http_options_method.yaml
aws,cloudfront,AWS CloudFront Logs,operation,API Operation / Event Name,string,"equals, not_equals, in, contains, starts_with, starts_with_any",,PUT,PUT,aws.cloudfront.access_log.http_put_method,CloudFront: HTTP Put Method,low,web_attack,log,equals,source_type equals cloudfront AND operation equals PUT,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""cloudfront""}, {""field"": ""operation"", ""op"": ""equals"", ""value"": ""PUT""}]}",catalog/rule/aws_rule_ciem/cloudfront/aws.cloudfront.access_log.http_put_method.yaml
aws,cloudfront,AWS CloudFront Logs,outcome,Outcome,enum,"equals, not_equals, in",,failure,failure,aws.cloudfront.access_log.http_4xx_error,CloudFront: HTTP 4xx Error,low,discovery,log,equals,source_type equals cloudfront AND outcome equals failure AND error_code starts_with 4,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""cloudfront""}, {""field"": ""outcome"", ""op"": ""equals"", ""value"": ""failure""}, {""field"": ""error_code"", ""op"": ""starts_with"", ""value"": ""4""}]}",catalog/rule/aws_rule_ciem/cloudfront/aws.cloudfront.access_log.http_4xx_error.yaml
aws,cloudfront,AWS CloudFront Logs,outcome,Outcome,enum,"equals, not_equals, in",,failure,failure,aws.cloudfront.access_log.http_5xx_error,CloudFront: HTTP 5xx Error,low,discovery,log,equals,source_type equals cloudfront AND outcome equals failure AND error_code starts_with 5,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""cloudfront""}, {""field"": ""outcome"", ""op"": ""equals"", ""value"": ""failure""}, {""field"": ""error_code"", ""op"": ""starts_with"", ""value"": ""5""}]}",catalog/rule/aws_rule_ciem/cloudfront/aws.cloudfront.access_log.http_5xx_error.yaml
aws,cloudfront,AWS CloudFront Logs,resource_type,Resource_Type,string,equals,,Error,Error,aws.cloudfront.access_log.error_from_origin,CloudFront: Error From Origin,low,discovery,log,equals,source_type equals cloudfront AND resource_type equals Error,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""cloudfront""}, {""field"": ""resource_type"", ""op"": ""equals"", ""value"": ""Error""}]}",catalog/rule/aws_rule_ciem/cloudfront/aws.cloudfront.access_log.error_from_origin.yaml
aws,cloudfront,AWS CloudFront Logs,resource_type,Resource_Type,string,equals,,Miss,Miss,aws.cloudfront.access_log.cache_miss,CloudFront: Cache Miss,low,discovery,log,equals,source_type equals cloudfront AND resource_type equals Miss,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""cloudfront""}, {""field"": ""resource_type"", ""op"": ""equals"", ""value"": ""Miss""}]}",catalog/rule/aws_rule_ciem/cloudfront/aws.cloudfront.access_log.cache_miss.yaml
aws,cloudfront,AWS CloudFront Logs,resource_uid,Resource_Uid,string,equals,,..,..,aws.cloudfront.access_log.path_traversal,CloudFront: Path Traversal,high,web_attack,log,contains,source_type equals cloudfront AND resource_uid contains ..,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""cloudfront""}, {""field"": ""resource_uid"", ""op"": ""contains"", ""value"": ""..""}]}",catalog/rule/aws_rule_ciem/cloudfront/aws.cloudfront.access_log.path_traversal.yaml
aws,cloudfront,AWS CloudFront Logs,resource_uid,Resource_Uid,string,equals,,.env,.env,aws.cloudfront.access_log.sensitive_path_access,CloudFront: Sensitive Path Access,medium,web_attack,log,contains,source_type equals cloudfront AND resource_uid contains .env,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""cloudfront""}, {""field"": ""resource_uid"", ""op"": ""contains"", ""value"": "".env""}]}",catalog/rule/aws_rule_ciem/cloudfront/aws.cloudfront.access_log.sensitive_path_access.yaml
aws,cloudfront,AWS CloudFront Logs,source_type,Log Source Type,fixed,equals,,cloudfront,cloudfront,aws.cloudfront.access_log.cache_miss,CloudFront: Cache Miss,low,discovery,log,equals,source_type equals cloudfront AND resource_type equals Miss,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""cloudfront""}, {""field"": ""resource_type"", ""op"": ""equals"", ""value"": ""Miss""}]}",catalog/rule/aws_rule_ciem/cloudfront/aws.cloudfront.access_log.cache_miss.yaml
aws,cloudfront,AWS CloudFront Logs,source_type,Log Source Type,fixed,equals,,cloudfront,cloudfront,aws.cloudfront.access_log.error_from_origin,CloudFront: Error From Origin,low,discovery,log,equals,source_type equals cloudfront AND resource_type equals Error,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""cloudfront""}, {""field"": ""resource_type"", ""op"": ""equals"", ""value"": ""Error""}]}",catalog/rule/aws_rule_ciem/cloudfront/aws.cloudfront.access_log.error_from_origin.yaml
aws,cloudfront,AWS CloudFront Logs,source_type,Log Source Type,fixed,equals,,cloudfront,cloudfront,aws.cloudfront.access_log.http_403_forbidden,CloudFront: HTTP 403 Forbidden,low,initial_access,log,equals,source_type equals cloudfront AND error_code equals 403,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""cloudfront""}, {""field"": ""error_code"", ""op"": ""equals"", ""value"": ""403""}]}",catalog/rule/aws_rule_ciem/cloudfront/aws.cloudfront.access_log.http_403_forbidden.yaml
aws,cloudfront,AWS CloudFront Logs,source_type,Log Source Type,fixed,equals,,cloudfront,cloudfront,aws.cloudfront.access_log.http_4xx_error,CloudFront: HTTP 4xx Error,low,discovery,log,equals,source_type equals cloudfront AND outcome equals failure AND error_code starts_with 4,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""cloudfront""}, {""field"": ""outcome"", ""op"": ""equals"", ""value"": ""failure""}, {""field"": ""error_code"", ""op"": ""starts_with"", ""value"": ""4""}]}",catalog/rule/aws_rule_ciem/cloudfront/aws.cloudfront.access_log.http_4xx_error.yaml
aws,cloudfront,AWS CloudFront Logs,source_type,Log Source Type,fixed,equals,,cloudfront,cloudfront,aws.cloudfront.access_log.http_5xx_error,CloudFront: HTTP 5xx Error,low,discovery,log,equals,source_type equals cloudfront AND outcome equals failure AND error_code starts_with 5,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""cloudfront""}, {""field"": ""outcome"", ""op"": ""equals"", ""value"": ""failure""}, {""field"": ""error_code"", ""op"": ""starts_with"", ""value"": ""5""}]}",catalog/rule/aws_rule_ciem/cloudfront/aws.cloudfront.access_log.http_5xx_error.yaml
aws,cloudfront,AWS CloudFront Logs,source_type,Log Source Type,fixed,equals,,cloudfront,cloudfront,aws.cloudfront.access_log.http_delete_method,CloudFront: HTTP Delete Method,medium,web_attack,log,equals,source_type equals cloudfront AND operation equals DELETE,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""cloudfront""}, {""field"": ""operation"", ""op"": ""equals"", ""value"": ""DELETE""}]}",catalog/rule/aws_rule_ciem/cloudfront/aws.cloudfront.access_log.http_delete_method.yaml
aws,cloudfront,AWS CloudFront Logs,source_type,Log Source Type,fixed,equals,,cloudfront,cloudfront,aws.cloudfront.access_log.http_options_method,CloudFront: HTTP Options Method,low,discovery,log,equals,source_type equals cloudfront AND operation equals OPTIONS,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""cloudfront""}, {""field"": ""operation"", ""op"": ""equals"", ""value"": ""OPTIONS""}]}",catalog/rule/aws_rule_ciem/cloudfront/aws.cloudfront.access_log.http_options_method.yaml
aws,cloudfront,AWS CloudFront Logs,source_type,Log Source Type,fixed,equals,,cloudfront,cloudfront,aws.cloudfront.access_log.http_put_method,CloudFront: HTTP Put Method,low,web_attack,log,equals,source_type equals cloudfront AND operation equals PUT,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""cloudfront""}, {""field"": ""operation"", ""op"": ""equals"", ""value"": ""PUT""}]}",catalog/rule/aws_rule_ciem/cloudfront/aws.cloudfront.access_log.http_put_method.yaml
aws,cloudfront,AWS CloudFront Logs,source_type,Log Source Type,fixed,equals,,cloudfront,cloudfront,aws.cloudfront.access_log.path_traversal,CloudFront: Path Traversal,high,web_attack,log,equals,source_type equals cloudfront AND resource_uid contains ..,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""cloudfront""}, {""field"": ""resource_uid"", ""op"": ""contains"", ""value"": ""..""}]}",catalog/rule/aws_rule_ciem/cloudfront/aws.cloudfront.access_log.path_traversal.yaml
aws,cloudfront,AWS CloudFront Logs,source_type,Log Source Type,fixed,equals,,cloudfront,cloudfront,aws.cloudfront.access_log.sensitive_path_access,CloudFront: Sensitive Path Access,medium,web_attack,log,equals,source_type equals cloudfront AND resource_uid contains .env,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""cloudfront""}, {""field"": ""resource_uid"", ""op"": ""contains"", ""value"": "".env""}]}",catalog/rule/aws_rule_ciem/cloudfront/aws.cloudfront.access_log.sensitive_path_access.yaml
aws,cloudtrail,AWS CloudTrail,,,,,,,,aws.ciem.correlation.backdoor_account,Correlation: Backdoor Account,critical,persistence,log_correlation,,,{},catalog/rule/aws_rule_ciem/ciem/aws.ciem.correlation.backdoor_account.yaml
aws,cloudtrail,AWS CloudTrail,,,,,,,,aws.ciem.correlation.federation_abuse,Correlation: Federation Abuse,critical,persistence,log_correlation,,,{},catalog/rule/aws_rule_ciem/ciem/aws.ciem.correlation.federation_abuse.yaml
