cloud_provider,rule_id,service,category,provider_python_client,alicloud_mapped_compliance_functions,alicloud_mapped_compliance_ids,alicloud_mapping_sources,alicloud_enterprise_rule_id
alicloud,alicloud.PAI - Feature Store.ai_services_security_vector_index_private_networking_enforced,PAI - Feature Store,ai_services,PAI - Feature Store,,,,
alicloud,alicloud.PAI - Feature Store.ai_services_security_vector_index_encrypted_at_rest_cmek,PAI - Feature Store,ai_services,PAI - Feature Store,,,,
alicloud,alicloud.PAI - Training.ai_services_security_training_pipeline_private_networking_enforced,PAI - Training,ai_services,PAI - Training,,,,
alicloud,alicloud.PAI - Training.ai_services_security_training_pipeline_secrets_from_vault_only,PAI - Training,ai_services,PAI - Training,,,,
alicloud,alicloud.ECS/E-HPC (as compute backends).ai_services_security_training_pipeline_private_networking_enforced,ECS/E-HPC (as compute backends),ai_services,ECS/E-HPC (as compute backends),,,,
alicloud,alicloud.ECS/E-HPC (as compute backends).ai_services_security_training_pipeline_secrets_from_vault_only,ECS/E-HPC (as compute backends),ai_services,ECS/E-HPC (as compute backends),,,,
alicloud,alicloud.DataWorks (Data Integration & Scheduling).ai_services_security_data_pipeline_access_controls_least_privilege,DataWorks (Data Integration & Scheduling),ai_services,DataWorks (Data Integration & Scheduling),,,,
alicloud,alicloud.DataWorks (Data Integration & Scheduling).ai_services_security_data_pipeline_private_networking_enforced,DataWorks (Data Integration & Scheduling),ai_services,DataWorks (Data Integration & Scheduling),,,,
alicloud,alicloud.PAI - Model Management.ai_services_security_model_registry_access_rbac_least_privilege,PAI - Model Management,ai_services,PAI - Model Management,,,,
alicloud,alicloud.PAI - Model Registry.ai_services_supply_chain_model_artifact_signed_and_verified,PAI - Model Registry,ai_services,PAI - Model Registry,,,,
alicloud,alicloud.PAI - Model Registry.ai_services_supply_chain_model_artifact_sbom_present,PAI - Model Registry,ai_services,PAI - Model Registry,,,,
alicloud,alicloud.PAI - Model Registry.ai_services_supply_chain_model_artifact_image_scanned_no_critical,PAI - Model Registry,ai_services,PAI - Model Registry,,,,
alicloud,alicloud.PAI - Model Registry.ai_services_security_model_artifact_encrypted_at_rest_cmek,PAI - Model Registry,ai_services,PAI - Model Registry,,,,
