================================================================================
🎯 AI-Powered Quality Enhancement - OpenAI GPT-4
================================================================================
CSPs to enhance: ALICLOUD, AZURE, GCP, IBM, OCI


================================================================================
Processing ALICLOUD
================================================================================
✅ OpenAI GPT-4 initialized for ALICLOUD
📂 Loading from: /Users/apple/Desktop/threat-engine/compliance/alicloud/final/rule_ids_ENRICHED_V2.yaml
✅ Loaded 2412 rules

🚀 Enhancing 2412 ALICLOUD rules with OpenAI...
⏱️  Estimated time: 20.1 minutes
⚠️  OpenAI error for alicloud.ack.control_plane.apiserver_authorization_mode_rbac: Connection error.
⚠️  OpenAI error for alicloud.ack.control_plane.apiserver_etcd_connection_encrypted: Connection error.
⚠️  OpenAI error for alicloud.ack.control_plane.apiserver_insecure_port_disabled: Connection error.
⚠️  OpenAI error for alicloud.ack.control_plane.apiserver_tls_min_1_2_enforced: Connection error.
⚠️  OpenAI error for alicloud.ack.control_plane.root_ca_file_configured: Connection error.
⚠️  OpenAI error for alicloud.ack.control_plane.secure_port_enabled: Connection error.
⚠️  OpenAI error for alicloud.ack.control_plane.secure_port_tls_enabled: Connection error.
⚠️  OpenAI error for alicloud.ack.control_plane.token_signing_enabled: Connection error.
⚠️  OpenAI error for alicloud.ack.control_plane.use_service_account_credentials_enabled: Connection error.
✅ 50/2412 | Enhanced: 0 | Failed: 50 | API calls: 0
⚠️  OpenAI error for alicloud.ack.disk.data_disk_cmek_encryption_enforced: Connection error.
⚠️  OpenAI error for alicloud.ack.ebs.data_disk_cmek_encryption_check: Connection error.
⚠️  OpenAI error for alicloud.ack.enabled.for_ec2: Connection error.
⚠️  OpenAI error for alicloud.ack.endpoints.not_publicly_accessible: Connection error.
⚠️  OpenAI error for alicloud.ack.endpoints.private_access_only: Connection error.
⚠️  OpenAI error for alicloud.ack.etcd.at_rest_enabled: Connection error.
⚠️  OpenAI error for alicloud.ack.etcd.auth_enabled: Connection error.
⚠️  OpenAI error for alicloud.ack.etcd.cert_auth_enabled: Connection error.
⚠️  OpenAI error for alicloud.ack.etcd.client_tls_enabled: Connection error.
⚠️  OpenAI error for alicloud.ack.etcd.encryption_at_rest_enabled: Connection error.
⚠️  OpenAI error for alicloud.ack.etcd.peer_tls_enabled: Connection error.
⚠️  OpenAI error for alicloud.ack.instance.access_policy_network_restriction_enforced: Connection error.
⚠️  OpenAI error for alicloud.ack.kube.apiserver_client_ca_file_check: Connection error.
⚠️  OpenAI error for alicloud.ack.kube_apiserver.client_ca_file_properly_configured: Connection error.
⚠️  OpenAI error for alicloud.ack.kubernetes.pod_create_access_least_privilege: Connection error.
⚠️  OpenAI error for alicloud.ack.load_balancer.https_tls_encryption_in_transit_enforced: Connection error.
⚠️  OpenAI error for alicloud.ack.log.service_integration_check: Connection error.
⚠️  OpenAI error for alicloud.ack.log_service.integration_enabled: Connection error.
⚠️  OpenAI error for alicloud.ack.managed_services.cluster_service_kube_system_services_not_public: Connection error.
⚠️  OpenAI error for alicloud.ack.namespace.namespace_default_service_account_automount_disabled: Connection error.
⚠️  OpenAI error for alicloud.ack.namespace.namespace_network_policies_present: Connection error.
⚠️  OpenAI error for alicloud.ack.network_policy.networkpolicy_default_deny_egress_per_namespace: Connection error.
⚠️  OpenAI error for alicloud.ack.network_policy.networkpolicy_default_deny_ingress_per_namespace: Connection error.
⚠️  OpenAI error for alicloud.ack.network_policy.policy_enabled: Connection error.
⚠️  OpenAI error for alicloud.ack.network_policy_enforced_with_least_privilege.configured: Connection error.
⚠️  OpenAI error for alicloud.ack.node.auth_disabled: Connection error.
