csv_rule_id,yaml_rule_id,match_type,service,status
alicloud.ECS Custom Image.compute_security_image_vuln_scanned_no_critical,alicloud.ECS Custom Image.compute_security_image_vuln_scanned_no_critical,no_match,ECS Custom Image,⚠️ Needs Review
alicloud.ECS Custom Image.compute_security_image_not_publicly_shared,alicloud.ECS Custom Image.compute_security_image_not_publicly_shared,no_match,ECS Custom Image,⚠️ Needs Review
alicloud.ECS Custom Image.compute_security_image_encrypted_cmek,alicloud.ECS Custom Image.compute_security_image_encrypted_cmek,no_match,ECS Custom Image,⚠️ Needs Review
alicloud.ECS Launch Template.compute_security_launch_template_no_public_ip_default,alicloud.ECS Launch Template.compute_security_launch_template_no_public_ip_default,no_match,ECS Launch Template,⚠️ Needs Review
alicloud.ECS Launch Template.compute_security_launch_template_imds_hardened,alicloud.ECS Launch Template.compute_security_launch_template_imds_hardened,no_match,ECS Launch Template,⚠️ Needs Review
alicloud.ECS Launch Template.compute_security_launch_template_root_volume_encrypted_by_default,alicloud.ECS Launch Template.compute_security_launch_template_root_volume_encrypted_by_default,no_match,ECS Launch Template,⚠️ Needs Review
alicloud.ECS Launch Template.compute_security_launch_template_security_groups_restrictive,alicloud.ECS Launch Template.compute_security_launch_template_security_groups_restrictive,no_match,ECS Launch Template,⚠️ Needs Review
alicloud.ECS Launch Template.compute_security_launch_template_user_data_no_secrets,alicloud.ECS Launch Template.compute_security_launch_template_user_data_no_secrets,no_match,ECS Launch Template,⚠️ Needs Review
alicloud.ECS Launch Template.compute_security_launch_template_instance_profile_least_privilege,alicloud.ECS Launch Template.compute_security_launch_template_instance_profile_least_privilege,no_match,ECS Launch Template,⚠️ Needs Review
alicloud.Auto Scaling (ESS) Group.compute_security_instance_group_uses_approved_launch_template,alicloud.Auto Scaling (ESS) Group.compute_security_instance_group_uses_approved_launch_template,no_match,Auto Scaling (ESS) Group,⚠️ Needs Review
alicloud.Auto Scaling (ESS) Group.compute_security_instance_group_no_public_ip_assigned,alicloud.Auto Scaling (ESS) Group.compute_security_instance_group_no_public_ip_assigned,no_match,Auto Scaling (ESS) Group,⚠️ Needs Review
alicloud.Auto Scaling (ESS) Group.compute_security_instance_group_instance_profile_least_privilege,alicloud.Auto Scaling (ESS) Group.compute_security_instance_group_instance_profile_least_privilege,no_match,Auto Scaling (ESS) Group,⚠️ Needs Review
alicloud.Auto Scaling (ESS) Group.compute_security_instance_group_volumes_encrypted,alicloud.Auto Scaling (ESS) Group.compute_security_instance_group_volumes_encrypted,no_match,Auto Scaling (ESS) Group,⚠️ Needs Review
alicloud.ECS Key Pair.compute_security_key_pair_max_age_days,alicloud.ECS Key Pair.compute_security_key_pair_max_age_days,no_match,ECS Key Pair,⚠️ Needs Review
alicloud.ECS Key Pair.compute_security_key_pair_disable_unused_keys,alicloud.ECS Key Pair.compute_security_key_pair_disable_unused_keys,no_match,ECS Key Pair,⚠️ Needs Review
alicloud.ECS Preemptible Instance.compute_security_spot_instance_uses_approved_launch_template,alicloud.ECS Preemptible Instance.compute_security_spot_instance_uses_approved_launch_template,no_match,ECS Preemptible Instance,⚠️ Needs Review
alicloud.ECS Preemptible Instance.compute_security_spot_instance_no_public_ip_assigned,alicloud.ECS Preemptible Instance.compute_security_spot_instance_no_public_ip_assigned,no_match,ECS Preemptible Instance,⚠️ Needs Review
alicloud.ECS Preemptible Instance.compute_security_spot_instance_instance_profile_least_privilege,alicloud.ECS Preemptible Instance.compute_security_spot_instance_instance_profile_least_privilege,no_match,ECS Preemptible Instance,⚠️ Needs Review
alicloud.Dedicated Host (DDH).compute_security_dedicated_host_host_sharing_restricted,alicloud.Dedicated Host (DDH).compute_security_dedicated_host_host_sharing_restricted,no_match,Dedicated Host (DDH),⚠️ Needs Review
alicloud.Dedicated Host (DDH).compute_security_dedicated_host_instance_auto_placement_controlled,alicloud.Dedicated Host (DDH).compute_security_dedicated_host_instance_auto_placement_controlled,no_match,Dedicated Host (DDH),⚠️ Needs Review
alicloud.Alibaba Cloud Config - Recorder.configuration_management_security_config_recorder_enabled,alicloud.Alibaba Cloud Config - Recorder.configuration_management_security_config_recorder_enabled,no_match,Alibaba Cloud Config - Recorder,⚠️ Needs Review
alicloud.Alibaba Cloud Config - Recorder.configuration_management_security_config_recorder_global_resource_types_tracked,alicloud.Alibaba Cloud Config - Recorder.configuration_management_security_config_recorder_global_resource_types_tracked,no_match,Alibaba Cloud Config - Recorder,⚠️ Needs Review
alicloud.Alibaba Cloud Config - Recorder.configuration_management_security_config_delivery_secure_destination_configured,alicloud.Alibaba Cloud Config - Recorder.configuration_management_security_config_delivery_secure_destination_configured,no_match,Alibaba Cloud Config - Recorder,⚠️ Needs Review
alicloud.Alibaba Cloud Config - Aggregators.configuration_management_security_config_aggregation_org_aggregator_enabled,alicloud.Alibaba Cloud Config - Aggregators.configuration_management_security_config_aggregation_org_aggregator_enabled,no_match,Alibaba Cloud Config - Aggregators,⚠️ Needs Review
alicloud.Alibaba Cloud Config - Aggregators.configuration_management_security_config_aggregation_auto_enroll_new_accounts,alicloud.Alibaba Cloud Config - Aggregators.configuration_management_security_config_aggregation_auto_enroll_new_accounts,no_match,Alibaba Cloud Config - Aggregators,⚠️ Needs Review
alicloud.Alibaba Cloud Config - Rules (Managed/Custom).configuration_management_security_config_rule_required_rules_present,alicloud.Alibaba Cloud Config - Rules (Managed/Custom).configuration_management_security_config_rule_required_rules_present,no_match,Alibaba Cloud Config - Rules (Managed/Custom),⚠️ Needs Review
alicloud.Alibaba Cloud Config - Rules (Managed/Custom).configuration_management_security_config_rule_rules_enabled,alicloud.Alibaba Cloud Config - Rules (Managed/Custom).configuration_management_security_config_rule_rules_enabled,no_match,Alibaba Cloud Config - Rules (Managed/Custom),⚠️ Needs Review
alicloud.Alibaba Cloud Config - Rules (Managed/Custom).configuration_management_security_config_rule_remediation_targets_bound,alicloud.Alibaba Cloud Config - Rules (Managed/Custom).configuration_management_security_config_rule_remediation_targets_bound,no_match,Alibaba Cloud Config - Rules (Managed/Custom),⚠️ Needs Review
alicloud.Alibaba Cloud Config - Baseline Library.configuration_management_security_config_baseline_conformance_pack_deployed,alicloud.Alibaba Cloud Config - Baseline Library.configuration_management_security_config_baseline_conformance_pack_deployed,no_match,Alibaba Cloud Config - Baseline Library,⚠️ Needs Review
alicloud.Alibaba Cloud Config - Baseline Library.configuration_management_security_config_baseline_parameters_set,alicloud.Alibaba Cloud Config - Baseline Library.configuration_management_security_config_baseline_parameters_set,no_match,Alibaba Cloud Config - Baseline Library,⚠️ Needs Review
alicloud.Alibaba Cloud Config - Drift Detection.configuration_management_security_config_drift_critical_resources_drift_detection_enabled,alicloud.Alibaba Cloud Config - Drift Detection.configuration_management_security_config_drift_critical_resources_drift_detection_enabled,no_match,Alibaba Cloud Config - Drift Detection,⚠️ Needs Review
alicloud.Alibaba Cloud Config - Drift Detection.configuration_management_security_config_drift_alerts_configured,alicloud.Alibaba Cloud Config - Drift Detection.configuration_management_security_config_drift_alerts_configured,no_match,Alibaba Cloud Config - Drift Detection,⚠️ Needs Review
alicloud.ActionTrail (delivery to OSS/SLS).configuration_management_security_config_delivery_kms_encryption_enabled,alicloud.ActionTrail (delivery to OSS/SLS).configuration_management_security_config_delivery_kms_encryption_enabled,no_match,ActionTrail (delivery to OSS/SLS),⚠️ Needs Review
alicloud.ActionTrail (delivery to OSS/SLS).configuration_management_security_config_delivery_destination_access_least_privilege,alicloud.ActionTrail (delivery to OSS/SLS).configuration_management_security_config_delivery_destination_access_least_privilege,no_match,ActionTrail (delivery to OSS/SLS),⚠️ Needs Review
