unique_compliance_id,technology,compliance_framework,framework_id,framework_version,requirement_id,requirement_name,requirement_description,section,service,total_checks,alicloud_checks,alicloud_uniform_format
canada_pbmm_moderate_multi_cloud_CCCS_AC-12_0011,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-12,CCCS AC-12: Session Termination,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_AC-14_0012,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-14,CCCS AC-14: Permitted Actions Without Identification or Authentication,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_AC-17_0013,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-17,CCCS AC-17: Remote Access,,CCCS,Multiple,63,alicloud_analyticdb_cluster_public_access; alicloud_ecs_disk_public_snapshot; alicloud_ecs_instance_public_ip; alicloud_emr_cluster_master_nodes_no_public_ip; alicloud_function_compute_function_not_publicly_accessible; alicloud_function_compute_function_url_public; alicloud_oss_bucket_policy_public_write_access; alicloud_oss_bucket_public_access; alicloud_rds_instance_no_public_access; alicloud_rds_snapshots_public_access,alicloud.analyticdb.cluster.public_access_blocked; alicloud.ecs.disk.public_snapshot_access_blocked; alicloud.ecs.instance.public_ip_disabled; alicloud.emr.cluster.master_nodes_public_ip_disabled; alicloud.function_compute.function.public_access_blocked; alicloud.function_compute.function.url_public_access_blocked; alicloud.oss.bucket.policy_public_write_access_blocked; alicloud.oss.bucket.public_access_blocked_via_acl; alicloud.rds.instance.public_access_blocked; alicloud.rds.snapshots.public_access_blocked
canada_pbmm_moderate_multi_cloud_CCCS_AC-18_0014,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-18,CCCS AC-18: Wireless Access,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_AC-19_0015,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-19,CCCS AC-19: Access Control for Mobile Devices,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_AC-20_0016,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-20,CCCS AC-20: Use of External Systems,,CCCS,,3,,
canada_pbmm_moderate_multi_cloud_CCCS_AC-21_0017,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-21,CCCS AC-21: Information Sharing,,CCCS,,3,,
canada_pbmm_moderate_multi_cloud_CCCS_AC-22_0018,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-22,CCCS AC-22: Publicly Accessible Content,,CCCS,,3,,
canada_pbmm_moderate_multi_cloud_CCCS_AT-1_0019,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AT-1,CCCS AT-1: Policy and Procedures,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_AT-2_0020,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AT-2,CCCS AT-2: Literacy Training and Awareness,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_AT-3_0021,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AT-3,CCCS AT-3: Role-based Training,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_AT-4_0022,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AT-4,CCCS AT-4: Training Records,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_AU-1_0023,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-1,CCCS AU-1: Policy and Procedures,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_AU-2_0024,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-2,CCCS AU-2: Event Logging,,CCCS,Multiple,59,alicloud_actiontrail_logging_enabled; alicloud_actiontrail_multi_region_enabled; alicloud_actiontrail_oss_read_events_enabled; alicloud_actiontrail_oss_write_events_enabled; alicloud_alb_logging_enabled; alicloud_analyticdb_cluster_audit_logging; alicloud_api_gateway_restapi_logging_enabled; alicloud_oss_bucket_server_access_logging_enabled; alicloud_rds_instance_logging_enabled; alicloud_slb_logging_enabled,alicloud.actiontrail.logging_enabled_90_day_retention; alicloud.actiontrail.multi_region_logging_enabled; alicloud.actiontrail.oss_read_events_logging_enabled; alicloud.actiontrail.oss_write_events_logging_enabled; alicloud.alb.access_logging_enabled; alicloud.analyticdb.cluster.audit_logging_enabled; alicloud.api_gateway.restapi.access_logging_enabled; alicloud.oss.bucket.server_access_logging_enabled_90_day_retention; alicloud.rds.instance.audit_logging_enabled; alicloud.slb.access_logging_enabled
canada_pbmm_moderate_multi_cloud_CCCS_AU-3_0025,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-3,CCCS AU-3: Content of Audit Records,,CCCS,Multiple,60,alicloud_actiontrail_logging_enabled; alicloud_actiontrail_multi_region_enabled; alicloud_actiontrail_oss_read_events_enabled; alicloud_actiontrail_oss_write_events_enabled; alicloud_alb_logging_enabled; alicloud_analyticdb_cluster_audit_logging; alicloud_api_gateway_restapi_logging_enabled; alicloud_oss_bucket_server_access_logging_enabled; alicloud_rds_instance_logging_enabled; alicloud_slb_logging_enabled,alicloud.actiontrail.logging_enabled_90_day_retention; alicloud.actiontrail.multi_region_logging_enabled; alicloud.actiontrail.oss_read_events_logging_enabled; alicloud.actiontrail.oss_write_events_logging_enabled; alicloud.alb.access_logging_enabled; alicloud.analyticdb.cluster.audit_logging_enabled; alicloud.api_gateway.restapi.access_logging_enabled; alicloud.oss.bucket.server_access_logging_enabled_90_day_retention; alicloud.rds.instance.audit_logging_enabled; alicloud.slb.access_logging_enabled
canada_pbmm_moderate_multi_cloud_CCCS_AU-4_0026,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-4,CCCS AU-4: Audit Log Storage Capacity,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_AU-5_0027,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-5,CCCS AU-5: Response to Audit Logging Process Failures,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_AU-6_0028,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-6,"CCCS AU-6: Audit Record Review, Analysis, and Reporting",,CCCS,CLOUDWATCH,16,alicloud_sls_log_analysis_enabled; alicloud_sls_log_metric_filter_alarm_configured,alicloud.sls.log_analysis_enabled; alicloud.sls.log_metric_filter_alarm_configured
canada_pbmm_moderate_multi_cloud_CCCS_AU-7_0029,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-7,CCCS AU-7: Audit Record Reduction and Report Generation,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_AU-8_0030,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-8,CCCS AU-8: Time Stamps,,CCCS,Multiple,58,alicloud_actiontrail_logging_enabled; alicloud_actiontrail_multi_region_enabled; alicloud_actiontrail_oss_read_events_enabled; alicloud_actiontrail_oss_write_events_enabled; alicloud_alb_logging_enabled; alicloud_analyticdb_cluster_audit_logging; alicloud_api_gateway_restapi_logging_enabled; alicloud_oss_bucket_server_access_logging_enabled; alicloud_rds_instance_logging_enabled; alicloud_slb_logging_enabled,alicloud.actiontrail.logging_enabled_90_day_retention; alicloud.actiontrail.multi_region_logging_enabled; alicloud.actiontrail.oss_read_events_logging_enabled; alicloud.actiontrail.oss_write_events_logging_enabled; alicloud.alb.access_logging_enabled; alicloud.analyticdb.cluster.audit_logging_enabled; alicloud.api_gateway.restapi.access_logging_enabled; alicloud.oss.bucket.server_access_logging_enabled_90_day_retention; alicloud.rds.instance.audit_logging_enabled; alicloud.slb.access_logging_enabled
canada_pbmm_moderate_multi_cloud_CCCS_AU-9_0031,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-9,CCCS AU-9: Protection of Audit Information,,CCCS,CLOUDTRAIL,10,alicloud_actiontrail_log_file_validation_enabled,alicloud.actiontrail.log_file_integrity_validation_enabled
canada_pbmm_moderate_multi_cloud_CCCS_AU-11_0032,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-11,CCCS AU-11: Audit Record Retention,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_AU-12_0033,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-12,CCCS AU-12: Audit Record Generation,,CCCS,Multiple,59,alicloud_actiontrail_logging_enabled; alicloud_actiontrail_multi_region_enabled; alicloud_actiontrail_oss_read_events_enabled; alicloud_actiontrail_oss_write_events_enabled; alicloud_alb_logging_enabled; alicloud_analyticdb_cluster_audit_logging; alicloud_api_gateway_restapi_logging_enabled; alicloud_oss_bucket_server_access_logging_enabled; alicloud_rds_instance_logging_enabled; alicloud_slb_logging_enabled,alicloud.actiontrail.logging_enabled_90_day_retention; alicloud.actiontrail.multi_region_logging_enabled; alicloud.actiontrail.oss_read_events_logging_enabled; alicloud.actiontrail.oss_write_events_logging_enabled; alicloud.alb.access_logging_enabled; alicloud.analyticdb.cluster.audit_logging_enabled; alicloud.api_gateway.restapi.access_logging_enabled; alicloud.oss.bucket.server_access_logging_enabled_90_day_retention; alicloud.rds.instance.audit_logging_enabled; alicloud.slb.access_logging_enabled
canada_pbmm_moderate_multi_cloud_CCCS_CA-1_0034,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CA-1,CCCS CA-1: Policy and Procedures,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_CA-2_0035,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CA-2,CCCS CA-2: Control Assessments,,CCCS,Multiple,15,alicloud_security_center_enabled; alicloud_threat_detection_is_enabled,alicloud.security_center_service_enabled; alicloud.threat_detection_service_enabled
canada_pbmm_moderate_multi_cloud_CCCS_CA-3_0036,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CA-3,CCCS CA-3: Information Exchange,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_CA-5_0037,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CA-5,CCCS CA-5: Plan of Action and Milestones,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_CA-6_0038,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CA-6,CCCS CA-6: Authorization,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_CA-7_0039,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CA-7,CCCS CA-7: Continuous Monitoring,,CCCS,Multiple,81,alicloud_actiontrail_logging_enabled; alicloud_actiontrail_multi_region_enabled; alicloud_actiontrail_oss_read_events_enabled; alicloud_actiontrail_oss_write_events_enabled; alicloud_api_gateway_restapi_logging_enabled; alicloud_cms_changes_to_network_acls_alarm_configured; alicloud_cms_changes_to_network_gateways_alarm_configured; alicloud_cms_changes_to_network_route_tables_alarm_configured; alicloud_cms_changes_to_vpcs_alarm_configured; alicloud_cms_log_group_retention_policy_specific_days_enabled; alicloud_rds_instance_enhanced_monitoring_enabled; alicloud_security_center_enabled; alicloud_threat_detection_is_enabled,alicloud.actiontrail.logging_enabled_90_day_retention; alicloud.actiontrail.multi_region_logging_enabled; alicloud.actiontrail.oss_read_events_logging_enabled; alicloud.actiontrail.oss_write_events_logging_enabled; alicloud.api_gateway.restapi.access_logging_enabled; alicloud.cms.network_acls.change_detection_alarm_configured; alicloud.cms.network_gateways.change_detection_alarm_configured; alicloud.cms.route_tables.change_detection_alarm_configured; alicloud.cms.vpcs.change_detection_alarm_configured; alicloud.cms.log_group.retention_policy_90_days_enabled; alicloud.rds.instance.enhanced_monitoring_activated; alicloud.security_center_service_enabled; alicloud.threat_detection_service_enabled
canada_pbmm_moderate_multi_cloud_CCCS_CA-9_0040,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CA-9,CCCS CA-9: Internal System Connections,,CCCS,Multiple,28,alicloud_api_gateway_restapi_client_certificate_enabled; alicloud_elasticsearch_service_domains_node_to_node_encryption_enabled; alicloud_oss_bucket_secure_transport_policy; alicloud_slb_ssl_listeners,alicloud.api_gateway.restapi.client_certificate_required; alicloud.elasticsearch_service.domains.node_to_node_encryption_active; alicloud.oss.bucket.secure_transport_enforced; alicloud.slb.ssl_listeners_configured
canada_pbmm_moderate_multi_cloud_CCCS_CM-1_0041,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-1,CCCS CM-1: Policy and Procedures,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_CM-2_0042,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-2,CCCS CM-2: Baseline Configuration,,CCCS,Multiple,40,alicloud_alb_deletion_protection; alicloud_analyticdb_cluster_automatic_upgrades; alicloud_ecs_instance_managed; alicloud_ecs_instance_older_than_specific_days; alicloud_ecs_networkacl_allow_ingress_any_port; alicloud_oos_managed_compliant_patching,alicloud.alb.deletion_protection_enabled; alicloud.analyticdb.cluster.automatic_version_upgrades_enabled; alicloud.ecs.instance.management_enabled; alicloud.ecs.instance.age_check_older_than_90_days; alicloud.ecs.networkacl.ingress_any_port_blocked; alicloud.oos.compliant_patching_enforced
canada_pbmm_moderate_multi_cloud_CCCS_CM-3_0043,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-3,CCCS CM-3: Configuration Change Control,,CCCS,Multiple,15,alicloud_alb_deletion_protection; alicloud_rds_instance_deletion_protection,alicloud.alb.deletion_protection_enabled; alicloud.rds.instance.deletion_protection_enabled
canada_pbmm_moderate_multi_cloud_CCCS_CM-4_0044,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-4,CCCS CM-4: Impact Analyses,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_CM-5_0045,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-5,CCCS CM-5: Access Restrictions for Change,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_CM-6_0046,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-6,CCCS CM-6: Configuration Settings,,CCCS,Multiple,70,alicloud_actiontrail_kms_encryption_enabled; alicloud_actiontrail_log_file_validation_enabled; alicloud_actiontrail_logging_enabled; alicloud_actiontrail_multi_region_enabled; alicloud_actiontrail_oss_read_events_enabled; alicloud_actiontrail_oss_write_events_enabled; alicloud_ecs_disk_encryption_enabled; alicloud_ecs_instance_managed; alicloud_ecs_instance_profile_attached; alicloud_oos_managed_compliant_patching; alicloud_ram_password_policy_minimum_length_14,alicloud.actiontrail.kms_encryption_active; alicloud.actiontrail.log_file_integrity_validation_enabled; alicloud.actiontrail.logging_enabled_90_day_retention; alicloud.actiontrail.multi_region_logging_enabled; alicloud.actiontrail.oss_read_events_logging_enabled; alicloud.actiontrail.oss_write_events_logging_enabled; alicloud.ecs.disk.encryption_at_rest_enabled; alicloud.ecs.instance.management_enabled; alicloud.ecs.instance.iam_profile_attached; alicloud.oos.compliant_patching_enforced; alicloud.ram.password_policy.min_length_14_enforced
canada_pbmm_moderate_multi_cloud_CCCS_CM-7_0047,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-7,CCCS CM-7: Least Functionality,,CCCS,EC2,10,alicloud_ecs_networkacl_allow_ingress_any_port,alicloud.ecs.networkacl.ingress_any_port_blocked
canada_pbmm_moderate_multi_cloud_CCCS_CM-8_0048,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-8,CCCS CM-8: System Component Inventory,,CCCS,Multiple,15,alicloud_ecs_instance_managed; alicloud_oos_managed_compliant_patching,alicloud.ecs.instance.management_enabled; alicloud.oos.compliant_patching_enforced
canada_pbmm_moderate_multi_cloud_CCCS_CM-9_0049,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-9,CCCS CM-9: Configuration Management Plan,,CCCS,Multiple,58,alicloud_actiontrail_kms_encryption_enabled; alicloud_actiontrail_log_file_validation_enabled; alicloud_actiontrail_logging_enabled; alicloud_actiontrail_multi_region_enabled; alicloud_actiontrail_oss_read_events_enabled; alicloud_actiontrail_oss_write_events_enabled; alicloud_ecs_disk_encryption_enabled; alicloud_ram_password_policy_minimum_length_14; alicloud_ram_policy_attached_only_to_group_or_roles,alicloud.actiontrail.kms_encryption_active; alicloud.actiontrail.log_file_integrity_validation_enabled; alicloud.actiontrail.logging_enabled_90_day_retention; alicloud.actiontrail.multi_region_logging_enabled; alicloud.actiontrail.oss_read_events_logging_enabled; alicloud.actiontrail.oss_write_events_logging_enabled; alicloud.ecs.disk.encryption_at_rest_enabled; alicloud.ram.password_policy.min_length_14_enforced; alicloud.ram.policy.group_or_role_attachment_only
canada_pbmm_moderate_multi_cloud_CCCS_CM-10_0050,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-10,CCCS CM-10: Software Usage Restrictions,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_CM-11_0051,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-11,CCCS CM-11: User-installed Software,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_CP-1_0052,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CP-1,CCCS CP-1: Policy and Procedures,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_CP-2_0053,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CP-2,CCCS CP-2: Contingency Plan,,CCCS,Multiple,22,alicloud_alb_deletion_protection; alicloud_rds_instance_deletion_protection; alicloud_rds_instance_multi_az,alicloud.alb.deletion_protection_enabled; alicloud.rds.instance.deletion_protection_enabled; alicloud.rds.instance.multi_az_deployment_enabled
canada_pbmm_moderate_multi_cloud_CCCS_CP-3_0054,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CP-3,CCCS CP-3: Contingency Training,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_CP-4_0055,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CP-4,CCCS CP-4: Contingency Plan Testing,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_CP-6_0056,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CP-6,CCCS CP-6: Alternate Storage Site,,CCCS,Multiple,28,alicloud_analyticdb_cluster_automated_snapshot; alicloud_nas_have_backup_enabled; alicloud_oss_bucket_object_versioning; alicloud_rds_instance_backup_enabled,alicloud.analyticdb.cluster.automated_snapshot_enabled; alicloud.nas.backup_policy_enabled; alicloud.oss.bucket.object_versioning_enabled; alicloud.rds.instance.automated_backup_enabled
canada_pbmm_moderate_multi_cloud_CCCS_CP-7_0057,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CP-7,CCCS CP-7: Alternate Processing Site,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_CP-8_0058,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CP-8,CCCS CP-8: Telecommunications Services,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_CP-9_0059,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CP-9,CCCS CP-9: System Backup,,CCCS,Multiple,94,alicloud_actiontrail_kms_encryption_enabled; alicloud_analyticdb_cluster_audit_logging; alicloud_analyticdb_cluster_automated_snapshot; alicloud_analyticdb_cluster_automatic_upgrades; alicloud_cms_log_group_kms_encryption_enabled; alicloud_ecs_disk_encryption_enabled; alicloud_elasticsearch_service_domains_encryption_at_rest_enabled; alicloud_nas_encryption_at_rest_enabled; alicloud_nas_have_backup_enabled; alicloud_oss_bucket_default_encryption; alicloud_oss_bucket_object_versioning; alicloud_pai_notebook_instance_encryption_enabled; alicloud_rds_instance_backup_enabled; alicloud_rds_instance_storage_encrypted; alicloud_tablestore_tables_pitr_enabled,alicloud.actiontrail.kms_encryption_active; alicloud.analyticdb.cluster.audit_logging_enabled; alicloud.analyticdb.cluster.automated_snapshot_enabled; alicloud.analyticdb.cluster.automatic_version_upgrades_enabled; alicloud.cms.log_group.kms_encryption_active; alicloud.ecs.disk.encryption_at_rest_enabled; alicloud.elasticsearch_service.domains.encryption_at_rest_active; alicloud.nas.encryption_at_rest_active; alicloud.nas.backup_policy_enabled; alicloud.oss.bucket.encryption_at_rest_enabled; alicloud.oss.bucket.object_versioning_enabled; alicloud.pai.notebook_instance.encryption_at_rest_enabled; alicloud.rds.instance.automated_backup_enabled; alicloud.rds.instance.storage_encryption_at_rest_enabled; alicloud.tablestore.tables.point_in_time_recovery_enabled
canada_pbmm_moderate_multi_cloud_CCCS_CP-10_0060,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CP-10,CCCS CP-10: System Recovery and Reconstitution,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_IA-1_0061,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS IA-1,CCCS IA-1: Policy and Procedures,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_IA-2_0062,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS IA-2,CCCS IA-2: Identification and Authentication (organizational Users),,CCCS,IAM,22,alicloud_ram_password_policy_strong; alicloud_ram_root_mfa_enabled; alicloud_ram_user_mfa_enabled,alicloud.ram.password_policy_meets_strength_requirements; alicloud.ram.root_account_mfa_enabled; alicloud.ram.user_accounts_mfa_enabled
canada_pbmm_moderate_multi_cloud_CCCS_IA-3_0063,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS IA-3,CCCS IA-3: Device Identification and Authentication,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_IA-4_0064,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS IA-4,CCCS IA-4: Identifier Management,,CCCS,IAM,16,alicloud_ram_no_root_access_key; alicloud_ram_password_policy_minimum_length_14,alicloud.ram.root_account_no_access_keys; alicloud.ram.password_policy.min_length_14_enforced
canada_pbmm_moderate_multi_cloud_CCCS_IA-5_0065,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS IA-5,CCCS IA-5: Authenticator Management,,CCCS,IAM,6,alicloud_ram_password_policy_minimum_length_14,alicloud.ram.password_policy.min_length_14_enforced
canada_pbmm_moderate_multi_cloud_CCCS_IA-6_0066,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS IA-6,CCCS IA-6: Authentication Feedback,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_IA-7_0067,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS IA-7,CCCS IA-7: Cryptographic Module Authentication,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_IA-8_0068,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS IA-8,CCCS IA-8: Identification and Authentication (non-organizational Users),,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_IR-1_0069,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS IR-1,CCCS IR-1: Policy and Procedures,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_IR-2_0070,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS IR-2,CCCS IR-2: Incident Response Training,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_IR-3_0071,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS IR-3,CCCS IR-3: Incident Response Testing,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_IR-4_0072,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS IR-4,CCCS IR-4: Incident Handling,,CCCS,GUARDDUTY,10,alicloud_threat_detection_no_high_severity_findings,alicloud.threat_detection.no_critical_findings
