unique_compliance_id,framework,framework_version,control_id,section,title,description,automation_type,severity,source_file,aws_checks,aws_ciem_checks,azure_checks,azure_ciem_checks,gcp_checks,gcp_ciem_checks,oracle_checks,oracle_ciem_checks,ibm_checks,ibm_ciem_checks,alicloud_checks,alicloud_ciem_checks,k8s_checks,k8s_ciem_checks,has_any_mapped_rule,automated_without_rule
canada_pbmm_moderate_CCCS_AT_2,CANADA_PBMM,Moderate,CCCS AT-2,,CCCS AT-2: Literacy Training and Awareness,,manual,LOW,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,,,,,,,,,,,,,,,no,no
canada_pbmm_moderate_CCCS_AT_3,CANADA_PBMM,Moderate,CCCS AT-3,,CCCS AT-3: Role-based Training,,manual,LOW,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,,,,,,,,,,,,,,,no,no
canada_pbmm_moderate_CCCS_AT_4,CANADA_PBMM,Moderate,CCCS AT-4,,CCCS AT-4: Training Records,,manual,LOW,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,,,,,,,,,,,,,,,no,no
canada_pbmm_moderate_CCCS_AU_1,CANADA_PBMM,Moderate,CCCS AU-1,,CCCS AU-1: Policy and Procedures,,manual,HIGH,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,,,,,,,,,,,,,,,no,no
canada_pbmm_moderate_CCCS_AU_11,CANADA_PBMM,Moderate,CCCS AU-11,,CCCS AU-11: Audit Record Retention,,manual,HIGH,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,,,,,,,,,,,,,,,no,no
canada_pbmm_moderate_CCCS_AU_12,CANADA_PBMM,Moderate,CCCS AU-12,,CCCS AU-12: Audit Record Generation,,automated,HIGH,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,aws.apigateway.resource.restapi_logging_enabled+aws.cloudtrail.multi.trail_cloudtrail_region_enabled+aws.cloudtrail.resource.trail_cloudtrail_s3_dataevents_read_enabled+aws.cloudtrail.resource.trail_cloudtrail_s3_dataevents_write_enabled+aws.cloudtrail.cloudwatch.logging_enabled+aws.elbv2.resource.logging_enabled+aws.elb.resource.logging_enabled+aws.rds.instance.integration_cloudwatch_logs_configured+aws.redshift.cluster.audit_logging_configured+aws.s3.bucket.server_access_logging_enabled,,azure.api.management_monitoring.monitoring_api_access_logging_enabled+azure.monitor.log.multi_region_enabled+azure.storage.s3.dataevents.read.enabled+azure.storage.s3.dataevents.write.enabled+azure.monitor.resource.logging.enabled.check+azure.network.load_balancer.lb_access_logs_enabled+azure.synapse.cluster.audit_logging+azure.storage.account.data_protection_bucket_access_logging_enabled,,gcp.apigateway.api_config.stage_logging_enabled+gcp.bigquery.dataset.cluster_audit_logging_enabled+gcp.storage.bucket.bucket_access_logging_enabled+gcp.logging.sink.destination_and_filter+gcp.loadbalancing.logging_enabled,,oci.apigateway.gateway.gateway_restapi_logging_enabled+oci.apigateway.gateway.restapi_logging_enabled+oci.audit.configuration.multi_region_enabled+oci.audit.configuration.s3_dataevents_read_enabled+oci.audit.configuration.s3_dataevents_write_enabled+oci.audit.configuration.cloudwatch_logging_enabled+oci.load_balancer.balancer.logging_enabled+oci.database.autonomous_database.instance_integration_cloudwatch_logs+oci.database.autonomous_database.dw_cluster_audit_logging+oci.object_storage.bucket.storage_bucket_server_access_logging_enabled,,ibm.logging.activity.activity_tracker_delete+ibm.vpc.load_balancer.logging_enabled+ibm.containers.cluster.logging_configured+ibm.api.connect.restapi_logging_enabled+ibm.activity_tracker.multi_region_enabled+ibm.activity_tracker.cos_dataevents_read_enabled+ibm.activity_tracker.cos_dataevents_write_enabled+ibm.cos.bucket.server_access_logging_enabled,,alicloud.api.gateway.restapi_logging_enabled+alicloud.actiontrail.multi.region_enabled+alicloud.actiontrail.s3.dataevents_read_enabled+alicloud.actiontrail.s3.dataevents_write_enabled+alicloud.actiontrail.cloudwatch.logging_enabled+alicloud.alb.logging.enabled+alicloud.analyticdb.cluster.audit_logging+alicloud.actiontrail.oss_bucket_access_logging_enabled.configured,,,,yes,no
canada_pbmm_moderate_CCCS_AU_2,CANADA_PBMM,Moderate,CCCS AU-2,,CCCS AU-2: Event Logging,,automated,HIGH,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,aws.apigateway.resource.restapi_logging_enabled+aws.cloudtrail.multi.trail_cloudtrail_region_enabled+aws.cloudtrail.resource.trail_cloudtrail_s3_dataevents_read_enabled+aws.cloudtrail.resource.trail_cloudtrail_s3_dataevents_write_enabled+aws.cloudtrail.cloudwatch.logging_enabled+aws.elbv2.resource.logging_enabled+aws.elb.resource.logging_enabled+aws.rds.instance.integration_cloudwatch_logs_configured+aws.redshift.cluster.audit_logging_configured+aws.s3.bucket.server_access_logging_enabled,,azure.api.management_monitoring.monitoring_api_access_logging_enabled+azure.monitor.log.multi_region_enabled+azure.storage.s3.dataevents.read.enabled+azure.storage.s3.dataevents.write.enabled+azure.monitor.resource.logging.enabled.check+azure.network.load_balancer.lb_access_logs_enabled+azure.synapse.cluster.audit_logging+azure.storage.account.data_protection_bucket_access_logging_enabled,,gcp.apigateway.api_config.stage_logging_enabled+gcp.bigquery.dataset.cluster_audit_logging_enabled+gcp.storage.bucket.bucket_access_logging_enabled+gcp.logging.sink.destination_and_filter+gcp.loadbalancing.logging_enabled,,oci.apigateway.gateway.gateway_restapi_logging_enabled+oci.apigateway.gateway.restapi_logging_enabled+oci.audit.configuration.multi_region_enabled+oci.audit.configuration.s3_dataevents_read_enabled+oci.audit.configuration.s3_dataevents_write_enabled+oci.audit.configuration.cloudwatch_logging_enabled+oci.load_balancer.balancer.logging_enabled+oci.database.autonomous_database.instance_integration_cloudwatch_logs+oci.database.autonomous_database.dw_cluster_audit_logging+oci.object_storage.bucket.storage_bucket_server_access_logging_enabled,,ibm.logging.activity.activity_tracker_delete+ibm.vpc.load_balancer.logging_enabled+ibm.containers.cluster.logging_configured+ibm.api.connect.restapi_logging_enabled+ibm.activity_tracker.multi_region_enabled+ibm.activity_tracker.cos_dataevents_read_enabled+ibm.activity_tracker.cos_dataevents_write_enabled+ibm.cos.bucket.server_access_logging_enabled,,alicloud.api.gateway.restapi_logging_enabled+alicloud.actiontrail.multi.region_enabled+alicloud.actiontrail.s3.dataevents_read_enabled+alicloud.actiontrail.s3.dataevents_write_enabled+alicloud.actiontrail.cloudwatch.logging_enabled+alicloud.alb.logging.enabled+alicloud.analyticdb.cluster.audit_logging+alicloud.actiontrail.oss_bucket_access_logging_enabled.configured,,,,yes,no
canada_pbmm_moderate_CCCS_AU_3,CANADA_PBMM,Moderate,CCCS AU-3,,CCCS AU-3: Content of Audit Records,,automated,HIGH,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,aws.apigateway.resource.restapi_logging_enabled+aws.cloudtrail.multi.trail_cloudtrail_region_enabled+aws.cloudtrail.resource.trail_cloudtrail_s3_dataevents_read_enabled+aws.cloudtrail.resource.trail_cloudtrail_s3_dataevents_write_enabled+aws.cloudtrail.cloudwatch.logging_enabled+aws.elbv2.resource.logging_enabled+aws.elb.resource.logging_enabled+aws.rds.instance.integration_cloudwatch_logs_configured+aws.redshift.cluster.audit_logging_configured+aws.s3.bucket.server_access_logging_enabled,,azure.api.management_monitoring.monitoring_api_access_logging_enabled+azure.monitor.log.multi_region_enabled+azure.storage.s3.dataevents.read.enabled+azure.storage.s3.dataevents.write.enabled+azure.monitor.resource.logging.enabled.check+azure.network.load_balancer.lb_access_logs_enabled+azure.synapse.cluster.audit_logging+azure.storage.account.data_protection_bucket_access_logging_enabled,,gcp.apigateway.api_config.stage_logging_enabled+gcp.bigquery.dataset.cluster_audit_logging_enabled+gcp.storage.bucket.bucket_access_logging_enabled+gcp.logging.sink.destination_and_filter+gcp.loadbalancing.logging_enabled,,oci.apigateway.gateway.gateway_restapi_logging_enabled+oci.apigateway.gateway.restapi_logging_enabled+oci.audit.configuration.multi_region_enabled+oci.audit.configuration.s3_dataevents_read_enabled+oci.audit.configuration.s3_dataevents_write_enabled+oci.audit.configuration.cloudwatch_logging_enabled+oci.load_balancer.balancer.logging_enabled+oci.database.autonomous_database.instance_integration_cloudwatch_logs+oci.database.autonomous_database.dw_cluster_audit_logging+oci.object_storage.bucket.storage_bucket_server_access_logging_enabled,,ibm.logging.activity.activity_tracker_delete+ibm.vpc.load_balancer.logging_enabled+ibm.containers.cluster.logging_configured+ibm.api.connect.restapi_logging_enabled+ibm.activity_tracker.multi_region_enabled+ibm.activity_tracker.cos_dataevents_read_enabled+ibm.activity_tracker.cos_dataevents_write_enabled+ibm.cos.bucket.server_access_logging_enabled,,alicloud.api.gateway.restapi_logging_enabled+alicloud.actiontrail.multi.region_enabled+alicloud.actiontrail.s3.dataevents_read_enabled+alicloud.actiontrail.s3.dataevents_write_enabled+alicloud.actiontrail.cloudwatch.logging_enabled+alicloud.alb.logging.enabled+alicloud.analyticdb.cluster.audit_logging+alicloud.actiontrail.oss_bucket_access_logging_enabled.configured,,,,yes,no
canada_pbmm_moderate_CCCS_AU_4,CANADA_PBMM,Moderate,CCCS AU-4,,CCCS AU-4: Audit Log Storage Capacity,,manual,HIGH,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,,,,,,,,,,,,,,,no,no
canada_pbmm_moderate_CCCS_AU_5,CANADA_PBMM,Moderate,CCCS AU-5,,CCCS AU-5: Response to Audit Logging Process Failures,,manual,HIGH,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,,,,,,,,,,,,,,,no,no
canada_pbmm_moderate_CCCS_AU_6,CANADA_PBMM,Moderate,CCCS AU-6,,"CCCS AU-6: Audit Record Review, Analysis, and Reporting",,automated,HIGH,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,aws.cloudwatch.log_metric_filter_alarm_configured.log_metric_log_metric_filter_alarm_configured+aws.cloudwatch.resource.log_cloudwatch_log_analysis_enabled,,azure.monitor.log.metric_filter_alarm_configured+azure.monitor.log.analysis_enabled,,gcp.logging.audit.metric_alert_deleted+gcp.logging.log_stream.stream_retention_days_minimum,,oci.logging.log_group.log_metric_filter_alarm_configured+oci.logging.log_group.log_analysis_enabled,,ibm.containers.cluster.logging_configured+ibm.log_analysis.log_metric_filter.alarm_configured,,alicloud.cloudmonitor.config_changes_log_metric_filter_and_alarm_enabled.configured+alicloud.cloudfw.log.analysis_status_check,,,,yes,no
canada_pbmm_moderate_CCCS_AU_7,CANADA_PBMM,Moderate,CCCS AU-7,,CCCS AU-7: Audit Record Reduction and Report Generation,,manual,HIGH,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,,,,,,,,,,,,,,,no,no
canada_pbmm_moderate_CCCS_AU_8,CANADA_PBMM,Moderate,CCCS AU-8,,CCCS AU-8: Time Stamps,,automated,HIGH,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,aws.apigateway.resource.restapi_logging_enabled+aws.cloudtrail.multi.trail_cloudtrail_region_enabled+aws.cloudtrail.resource.trail_cloudtrail_s3_dataevents_read_enabled+aws.cloudtrail.resource.trail_cloudtrail_s3_dataevents_write_enabled+aws.cloudtrail.cloudwatch.logging_enabled+aws.elbv2.resource.logging_enabled+aws.elb.resource.logging_enabled+aws.rds.instance.integration_cloudwatch_logs_configured+aws.redshift.cluster.audit_logging_configured+aws.s3.bucket.server_access_logging_enabled,,azure.api.management_monitoring.monitoring_api_access_logging_enabled+azure.monitor.log.multi_region_enabled+azure.storage.s3.dataevents.read.enabled+azure.storage.s3.dataevents.write.enabled+azure.monitor.resource.logging.enabled.check+azure.network.load_balancer.lb_access_logs_enabled+azure.synapse.cluster.audit_logging+azure.storage.account.data_protection_bucket_access_logging_enabled,,gcp.apigateway.api_config.stage_logging_enabled+gcp.bigquery.dataset.cluster_audit_logging_enabled+gcp.storage.bucket.bucket_access_logging_enabled+gcp.logging.sink.destination_and_filter+gcp.loadbalancing.logging_enabled,,oci.apigateway.gateway.gateway_restapi_logging_enabled+oci.apigateway.gateway.restapi_logging_enabled+oci.audit.configuration.multi_region_enabled+oci.audit.configuration.s3_dataevents_read_enabled+oci.audit.configuration.s3_dataevents_write_enabled+oci.audit.configuration.cloudwatch_logging_enabled+oci.load_balancer.balancer.logging_enabled+oci.database.autonomous_database.instance_integration_cloudwatch_logs+oci.database.autonomous_database.dw_cluster_audit_logging+oci.object_storage.bucket.storage_bucket_server_access_logging_enabled,,ibm.logging.activity.activity_tracker_delete+ibm.vpc.load_balancer.logging_enabled+ibm.containers.cluster.logging_configured+ibm.api.connect.restapi_logging_enabled+ibm.activity_tracker.multi_region_enabled+ibm.activity_tracker.cos_dataevents_read_enabled+ibm.activity_tracker.cos_dataevents_write_enabled+ibm.cos.bucket.server_access_logging_enabled,,alicloud.api.gateway.restapi_logging_enabled+alicloud.actiontrail.multi.region_enabled+alicloud.actiontrail.s3.dataevents_read_enabled+alicloud.actiontrail.s3.dataevents_write_enabled+alicloud.actiontrail.cloudwatch.logging_enabled+alicloud.alb.logging.enabled+alicloud.analyticdb.cluster.audit_logging+alicloud.actiontrail.oss_bucket_access_logging_enabled.configured,,,,yes,no
canada_pbmm_moderate_CCCS_AU_9,CANADA_PBMM,Moderate,CCCS AU-9,,CCCS AU-9: Protection of Audit Information,,automated,HIGH,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,aws.cloudtrail.log.file_validation_enabled,,azure.monitor.log.file_validation_enabled,,gcp.logging.log.file_validation_enabled,,oci.audit.configuration.log_file_validation_enabled,,ibm.activity_tracker.log_file_validation_enabled,,alicloud.actiontrail.log_file_integrity_validation_enabled.configured,,,,yes,no
canada_pbmm_moderate_CCCS_CA_1,CANADA_PBMM,Moderate,CCCS CA-1,,CCCS CA-1: Policy and Procedures,,manual,MEDIUM,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,,,,,,,,,,,,,,,no,no
canada_pbmm_moderate_CCCS_CA_2,CANADA_PBMM,Moderate,CCCS CA-2,,CCCS CA-2: Control Assessments,,automated,MEDIUM,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,aws.guardduty.is.guardduty_enabled+aws.securityhub.resource.securityhub_resource_enabled,,azure.security.center.enabled,,gcp.security_command_center.source.detector_enabled_in_all_regions,,oci.cloud_guard.target.enabled+oci.cloud_guard.target.is_enabled,,ibm.security_advisor.is_enabled+ibm.security_advisor.enabled,,alicloud.actiontrail.threat.detection_enumeration+alicloud.general.resource.security_center_enabled,,,,yes,no
canada_pbmm_moderate_CCCS_CA_3,CANADA_PBMM,Moderate,CCCS CA-3,,CCCS CA-3: Information Exchange,,manual,MEDIUM,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,,,,,,,,,,,,,,,no,no
canada_pbmm_moderate_CCCS_CA_5,CANADA_PBMM,Moderate,CCCS CA-5,,CCCS CA-5: Plan of Action and Milestones,,manual,MEDIUM,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,,,,,,,,,,,,,,,no,no
canada_pbmm_moderate_CCCS_CA_6,CANADA_PBMM,Moderate,CCCS CA-6,,CCCS CA-6: Authorization,,manual,MEDIUM,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,,,,,,,,,,,,,,,no,no
