rule_id,current_var,proposed_var,changed
alicloud.ack.rbac.authorization_mode_rbac_enabled,permissions not_contains *,permissions not_contains *,no
alicloud.ack.rbac.least_privilege_secrets_access_enforced,permissions not_contains *,permissions not_contains *,no
alicloud.ack.rbac.no_cluster_admin_bindings_to_users,permissions not_contains *,permissions not_contains *,no
alicloud.ack.rbac.no_wildcard_rules_in_clusterroles,permissions not_contains *,permissions not_contains *,no
alicloud.ack.rbac_k8s.cluster_admin_to_authenticated,permissions not_contains *,permissions not_contains *,no
alicloud.ack.rbac_k8s.sa_not_cluster_admin,permissions not_contains *,permissions not_contains *,no
alicloud.ack.recovery.point_encrypted,encrypted equals true,encrypted equals true,no
alicloud.ack.recovery.point_encryption,encrypted equals + backup_enabled equals,encrypted equals + backup_enabled equals,no
alicloud.ack.recovery.point_retention,backup_enabled equals true,backup_enabled equals true,no
alicloud.ack.registry.image_scan_on_push_enabled,id exists ,status equals Active,YES
alicloud.ack.registry.repository_encryption_enabled,encrypted equals true,encrypted equals true,no
alicloud.ack.registry_lifecycle_policy.lifecycle_policy_policy_storage_encrypted,encrypted equals true,encrypted equals true,no
alicloud.ack.reportplans.exist,backup_enabled equals true,backup_enabled equals true,no
alicloud.ack.repository.vulnerability_scanning_continuous,id exists ,status equals Active,YES
alicloud.ack.scheduler.authentication_kubeconfig_configured,id exists ,status equals Active,YES
alicloud.ack.scheduler.authorization_kubeconfig_configured,id exists ,status equals Active,YES
alicloud.ack.scheduler.secure_port_tls_enabled,encrypted equals true,encrypted equals true,no
alicloud.ack.serverless.fargate_profile_execution_role_least_privilege,permissions not_contains *,permissions not_contains *,no
alicloud.ack.serverless.fargate_profile_logging_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.ack.serverless.fargate_profile_private_subnets_only,id exists ,internet_facing not_equals true,YES
alicloud.ack.service.task_definition_logging_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.ack.service_account.cluster_audit_logging_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.ack.service_account.cluster_default_service_account_automount_disabled,id exists ,permissions not_contains *,YES
alicloud.ack.service_account.cluster_private_control_plane_endpoint_enabled,id exists ,internet_facing not_equals true,YES
alicloud.ack.service_account.cluster_secrets_encryption_kms_enabled,encrypted equals true,encrypted equals true,no
alicloud.ack.service_account.default_no_token_no_roles_enforced,id exists ,permissions not_contains *,YES
alicloud.ack.service_account.external_ips_not_used,id exists ,internet_facing not_equals true,YES
alicloud.ack.service_account.keys_not_used_or_rotated_90_days_or_less,id exists ,status equals Active,YES
alicloud.ack.service_account.no_user_managed_long_lived_keys,id exists ,permissions not_contains *,YES
alicloud.ack.service_account.scopes_or_roles_least_privilege,permissions not_contains *,permissions not_contains *,no
alicloud.ack.service_account.token_auto_mount_disabled,id exists ,permissions not_contains *,YES
alicloud.ack.service_account.type_loadbalancer_internal_only_where_required,id exists ,internet_facing not_equals true,YES
alicloud.ack.vault.encryption_enabled,encrypted equals true,encrypted equals true,no
alicloud.ack.vaults.encrypted,encrypted equals + backup_enabled equals,encrypted equals + backup_enabled equals,no
alicloud.ack.vaults.exist,backup_enabled equals true,backup_enabled equals true,no
alicloud.ack.workload.balancer_https_tls_encryption_in_transit,encrypted equals + ssl_enabled equals,encrypted equals + ssl_enabled equals,no
alicloud.ack.workload.env_no_plaintext_secrets,id exists ,permissions not_contains *,YES
alicloud.ack.workload.host_network_pid_ipc_disabled,id exists ,permissions not_contains *,YES
alicloud.ack.workload.no_hostpath_mounts,id exists ,permissions not_contains *,YES
alicloud.ack.workload.no_privileged_containers,permissions not_contains *,permissions not_contains *,no
alicloud.ack.workload.run_as_non_root,permissions not_contains *,permissions not_contains *,no
alicloud.actiontrail.cloudmonitor.logging_enabled_with_90_day_retention,logging_enabled equals true,logging_enabled equals true,no
alicloud.actiontrail.cloudwatch.logging_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.actiontrail.configuration.config_delivery_destination_access_least_privilege,permissions not_contains *,permissions not_contains *,no
alicloud.actiontrail.configuration.config_delivery_kms_encryption_enabled,encrypted equals + logging_enabled equals,encrypted equals + kms_key_id exists,YES
alicloud.actiontrail.data_events_read_logging_enabled.configured,logging_enabled equals true,logging_enabled equals true,no
alicloud.actiontrail.delivery.channel_destination_access_least_privilege,permissions not_contains *,permissions not_contains *,no
alicloud.actiontrail.delivery.channel_kms_encryption_enabled,encrypted equals + logging_enabled equals,encrypted equals + kms_key_id exists,YES
alicloud.actiontrail.enabled.configured,logging_enabled equals true,logging_enabled equals true,no
alicloud.actiontrail.failed_console_signin_alerts.configured,id exists ,logging_enabled equals true,YES
alicloud.actiontrail.kms.encryption_enabled,encrypted equals + logging_enabled equals,encrypted equals + kms_key_id exists,YES
alicloud.actiontrail.kms_encryption_active.configured,encrypted equals + logging_enabled equals,encrypted equals + kms_key_id exists,YES
alicloud.actiontrail.log_file_integrity_validation_enabled.configured,logging_enabled equals true,logging_enabled equals true,no
alicloud.actiontrail.logging.all_regions_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.actiontrail.logging.enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.actiontrail.logging.multi_region_enabled_management_events_with_90_day_retention,logging_enabled equals true,logging_enabled equals true,no
alicloud.actiontrail.logging_all_regions_properly_configured.configured,id exists ,logging_enabled equals true,YES
alicloud.actiontrail.logging_enabled_90_day_retention.configured,logging_enabled equals true,logging_enabled equals true,no
alicloud.actiontrail.logging_enabled_with_90_day_retention.configured,logging_enabled equals true,logging_enabled equals true,no
alicloud.actiontrail.logs.file_validation_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.actiontrail.logs.kms_encryption_at_rest_enabled,encrypted equals + logging_enabled equals,encrypted equals + kms_key_id exists,YES
alicloud.actiontrail.logs.monitor_mfa_signin_alert,mfa_enabled equals true,mfa_enabled equals true,no
alicloud.actiontrail.logs.oss_bucket_access_logging_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.actiontrail.logs.oss_bucket_is_not_publicly_accessible,public_ip_address not_exists + internet_facing not_equals,public_ip_address not_exists + internet_facing not_equals,no
alicloud.actiontrail.logs.s3_bucket_access_logging_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.actiontrail.logs.s3_bucket_is_not_publicly_accessible,public_ip_address not_exists + internet_facing not_equals,public_ip_address not_exists + internet_facing not_equals,no
alicloud.actiontrail.logservice.failed_console_signin_alerts,id exists ,logging_enabled equals true,YES
alicloud.actiontrail.mfa_signin_alerts.configured,mfa_enabled equals true,mfa_enabled equals true,no
alicloud.actiontrail.multi.region_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.actiontrail.multi.region_enabled_logging_management_events,logging_enabled equals true,logging_enabled equals true,no
alicloud.actiontrail.multi_region_logging_enabled.configured,logging_enabled equals true,logging_enabled equals true,no
alicloud.actiontrail.oss.dataevents_read_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.actiontrail.oss.dataevents_read_logging_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.actiontrail.oss.dataevents_write_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.actiontrail.oss.dataevents_write_logging_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.actiontrail.oss.read_events_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.actiontrail.oss.write_events_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.actiontrail.oss_bucket_access_logging_enabled.configured,logging_enabled equals true,logging_enabled equals true,no
alicloud.actiontrail.oss_bucket_public_access_blocked.configured,public_ip_address not_exists + internet_facing not_equals,public_ip_address not_exists + internet_facing not_equals,no
alicloud.actiontrail.oss_bucket_public_access_blocked_via_acl.configured,public_ip_address not_exists + internet_facing not_equals,public_ip_address not_exists + internet_facing not_equals,no
alicloud.actiontrail.oss_read_events_logging_enabled.configured,logging_enabled equals true,logging_enabled equals true,no
alicloud.actiontrail.oss_write_events_logging_enabled.configured,logging_enabled equals true,logging_enabled equals true,no
alicloud.actiontrail.privacy.audit_logs_centralized_and_encrypted,encrypted equals true,encrypted equals true,no
alicloud.actiontrail.s3.dataevents_read_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.actiontrail.s3.dataevents_write_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.actiontrail.threat.detection_enumeration,id exists ,logging_enabled equals true,YES
alicloud.actiontrail.threat.detection_privilege_escalation,id exists ,logging_enabled equals true,YES
alicloud.actiontrail.threat.llm_jacking,id exists ,logging_enabled equals true,YES
alicloud.actiontrail.threat_detection.enumeration_detected,id exists ,logging_enabled equals true,YES
alicloud.actiontrail.threat_detection.llm_jacking_detected,id exists ,logging_enabled equals true,YES
alicloud.actiontrail.threat_detection.privilege_escalation_detected,id exists ,logging_enabled equals true,YES
alicloud.actiontrail.trail.logging_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.actiontrail.vpc.change_monitoring,id exists ,logging_enabled equals true,YES
alicloud.actiontrail.vpc_change_alerts.configured,id exists ,logging_enabled equals true,YES
alicloud.alb.deletion.protection,id exists ,status equals Active,YES
alicloud.alb.hologres_access_control.endpoint_authz_no_anonymous_access,id exists ,permissions not_contains *,YES
alicloud.alb.hologres_access_control.endpoint_authz_rbac_least_privilege,permissions not_contains *,permissions not_contains *,no
alicloud.alb.hologres_endpoint.endpoint_access_allowed_cidrs_minimized,permissions not_contains *,permissions not_contains *,no
alicloud.alb.hologres_endpoint.endpoint_access_private_only,id exists ,internet_facing not_equals true,YES
alicloud.alb.hologres_endpoint.endpoint_access_tls_required,encrypted equals + ssl_enabled equals,encrypted equals + ssl_enabled equals,no
alicloud.alb.hologres_parameter_group.parameter_group_require_ssl,encrypted equals + ssl_enabled equals,encrypted equals + ssl_enabled equals,no
alicloud.alb.hologres_snapshots.snapshot_cross_region_copy_encrypted,encrypted equals + backup_enabled equals,encrypted equals + backup_enabled equals,no
alicloud.alb.hologres_snapshots.snapshot_encrypted_at_rest_cmek,encrypted equals + kms_key_id exists,encrypted equals + kms_key_id exists,no
alicloud.alb.hologres_snapshots.snapshot_not_publicly_shared,public_ip_address not_exists + internet_facing not_equals + backup_enabled equals,public_ip_address not_exists + internet_facing not_equals + backup_enabled equals,no
alicloud.alb.insecure.ssl_ciphers,encrypted equals true,encrypted equals true,no
alicloud.alb.internet.facing,id exists ,internet_facing not_equals true,YES
alicloud.alb.is.in_multiple_az,id exists ,status equals Active,YES
alicloud.alb.listener.cipher_policy_secure,encrypted equals true,encrypted equals true,no
alicloud.alb.listener.facing,id exists ,internet_facing not_equals true,YES
alicloud.alb.listener.tls_min_1_2,ssl_enabled equals true,ssl_enabled equals true,no
alicloud.alb.logging.enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.alb.network.lb_access_logs_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.alb.network.lb_listener_tls_min_1_2,encrypted equals + ssl_enabled equals + min_tls_version gte,encrypted equals + ssl_enabled equals + min_tls_version gte,no
alicloud.alb.network.lb_valid_certificate_attached,encrypted equals true,encrypted equals true,no
alicloud.alb.ssl.listeners,encrypted equals true,encrypted equals true,no
alicloud.alb.target.group_health_check_enabled,id exists ,status equals Active,YES
alicloud.alb.target_group.tg_targets_in_private_subnets,id exists ,internet_facing not_equals true,YES
alicloud.alb.waf.acl_attached,id exists ,status equals Active,YES
alicloud.dns.dnssec.disabled,id exists ,status equals Active,YES
alicloud.dns.health_check.https_or_tls_used,encrypted equals true,encrypted equals true,no
alicloud.dns.health_check.no_plaintext_credentials_in_url,id exists ,permissions not_contains *,YES
alicloud.dns.key.in_dnssec,id exists ,status equals Active,YES
alicloud.dns.public.hosted_zones_cloudmonitor_logging_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.dns.record.set_caa_records_present_for_root_and_wildcard,id exists ,status equals Active,YES
alicloud.dns.record.set_dmarc_record_present_when_mx_present,id exists ,status equals Active,YES
alicloud.dns.record.set_no_overly_broad_wildcard_records_in_sensitive_zones,id exists ,permissions not_contains *,YES
alicloud.dns.rsasha1.in_use_to_key_sign_in_dnssec,id exists ,status equals Active,YES
alicloud.dns.rsasha1.in_use_to_zone_sign_in_dnssec,id exists ,status equals Active,YES
alicloud.dns.service.dnssec_enabled_for_security,id exists ,status equals Active,YES
alicloud.dns.service.rsasha1_deprecated_for_key_signing_in_dnssec,id exists ,status equals Active,YES
alicloud.dns.service.rsasha1_deprecated_for_zone_signing_in_dnssec,id exists ,status equals Active,YES
alicloud.dns.zone.cross_account_sharing_restricted,permissions not_contains *,permissions not_contains *,no
alicloud.dns.zone.dnssec_enabled_where_supported,id exists ,status equals Active,YES
alicloud.dns.zone.zone_transfer_restricted_or_tsig_required,permissions not_contains *,permissions not_contains *,no
alicloud.gtm.traffic_manager_policy.traffic_policy_health_checks_required_for_failover,status equals Active,status equals Active,no
alicloud.gtm.traffic_manager_policy.traffic_policy_policy_documents_encrypted_and_private,encrypted equals true,encrypted equals true,no
alicloud.gtm.traffic_manager_policy.traffic_policy_targets_approved_domains_only,status exists ,status exists ,no
alicloud.apsaramq.broker.active_deployment_mode,status exists ,status exists ,no
alicloud.apsaramq.broker.cluster_deployment_mode,status exists ,status exists ,no
alicloud.apsaramq.broker.logging_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.apsaramq.cluster.encryption_at_rest_uses_cmk,encrypted equals + kms_key_id exists,encrypted equals + kms_key_id exists,no
alicloud.apsaramq.cluster.in_transit_encryption_enabled,encrypted equals true,encrypted equals true,no
alicloud.apsaramq.connector.in_transit_encryption_enabled,encrypted equals true,encrypted equals true,no
alicloud.apsaramq.fleet.default_internet_access_disabled,status exists ,status exists ,no
alicloud.apsaramq.kafka_topic.stream_consumer_auth_required,status exists ,status exists ,no
alicloud.apsaramq.kafka_topic.stream_encryption_at_rest_enabled,encrypted equals true,encrypted equals true,no
alicloud.apsaramq.kafka_topic.stream_private_network_only_where_supported,vpc_id exists ,vpc_id exists ,no
alicloud.apsaramq.queue.auth_required,status exists ,status exists ,no
alicloud.apsaramq.queue.cross_account_send_receive_restricted,permissions not_contains *,permissions not_contains *,no
alicloud.apsaramq.queue.encryption_at_rest_enabled,encrypted equals true,encrypted equals true,no
alicloud.apsaramq.queue.private_network_only_where_supported,vpc_id exists ,vpc_id exists ,no
alicloud.datahub.consumer.access_least_privilege,permissions not_contains *,permissions not_contains *,no
alicloud.datahub.consumer.auth_required,status exists ,status exists ,no
alicloud.datahub.stream.consumer_auth_required,status exists ,status exists ,no
alicloud.datahub.stream.data_retention_30_days_minimum,status exists ,status exists ,no
alicloud.datahub.stream.encrypted,encrypted equals true,encrypted equals true,no
alicloud.datahub.stream.encryption_at_rest_enabled,encrypted equals true,encrypted equals true,no
alicloud.datahub.stream.encryption_enabled,encrypted equals true,encrypted equals true,no
alicloud.datahub.stream.least_privilege,permissions not_contains *,permissions not_contains *,no
alicloud.datahub.stream.private_network_only_where_supported,vpc_id exists ,vpc_id exists ,no
alicloud.analyticdb.backup.enabled,backup_enabled equals true,backup_enabled equals true,no
alicloud.analyticdb.cluster.admin_access_least_privilege,permissions not_contains *,permissions not_contains *,no
alicloud.analyticdb.cluster.audit_logging,logging_enabled equals true,logging_enabled equals true,no
alicloud.analyticdb.cluster.audit_logging_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.analyticdb.cluster.automated_snapshot_enabled,backup_enabled equals true,backup_enabled equals true,no
alicloud.analyticdb.cluster.automatic_version_upgrades_enabled,versioning_enabled equals true,versioning_enabled equals true,no
alicloud.analyticdb.cluster.encryption_at_rest_cmek,encrypted equals + kms_key_id exists,encrypted equals + kms_key_id exists,no
alicloud.analyticdb.cluster.encryption_at_rest_enabled,encrypted equals true,encrypted equals true,no
alicloud.analyticdb.cluster.encryption_in_transit_enabled,encrypted equals true,encrypted equals true,no
alicloud.analyticdb.cluster.enhanced_vpc_routing_enabled,id exists ,vpc_id exists ,YES
alicloud.analyticdb.cluster.maintenance_window_configured,id exists ,status equals Active,YES
alicloud.analyticdb.cluster.multi_az_enabled_with_encryption_at_rest_enabled,encrypted equals true,encrypted equals true,no
alicloud.analyticdb.cluster.private_networking_enforced,id exists ,internet_facing not_equals true,YES
alicloud.analyticdb.cluster.public_access,id exists ,internet_facing not_equals true,YES
alicloud.analyticdb.cluster.public_access_blocked,public_ip_address not_exists + internet_facing not_equals + security_group_rules not_contains,public_ip_address not_exists + internet_facing not_equals + security_group_rules not_contains,no
alicloud.analyticdb.cluster.security_configuration_baseline_enforced,id exists ,status equals Active,YES
alicloud.analyticdb.cluster.snapshot_automated_enabled,backup_enabled equals true,backup_enabled equals true,no
alicloud.analyticdb.cluster.tls_min_1_2_enforced,ssl_enabled equals true,ssl_enabled equals true,no
alicloud.analyticdb.cluster_audit_logging_enabled.configured,logging_enabled equals true,logging_enabled equals true,no
alicloud.analyticdb.cluster_automated_snapshot_enabled_30_day_retention.configured,backup_enabled equals true,backup_enabled equals true,no
alicloud.analyticdb.cluster_public_access_blocked.configured,public_ip_address not_exists + internet_facing not_equals + security_group_rules not_contains,public_ip_address not_exists + internet_facing not_equals + security_group_rules not_contains,no
alicloud.api.api.endpoint_authn_required,id exists ,permissions not_contains *,YES
alicloud.api.api.endpoint_authz_policies_enforced,id exists ,permissions not_contains *,YES
alicloud.api.api.endpoint_waf_attached,id exists ,status equals Active,YES
alicloud.api.app_credential.api_key_scopes_least_privilege,permissions not_contains *,permissions not_contains *,no
alicloud.api.authorizer.tls_min_1_2_enforced,ssl_enabled equals true,ssl_enabled equals true,no
alicloud.api.authorizer.token_audience_restricted,permissions not_contains *,permissions not_contains *,no
alicloud.api.field.level_logging_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.api.function.access_keys_configured,id exists ,status equals Active,YES
alicloud.api.function.identity_without_admin_privileges,permissions not_contains *,permissions not_contains *,no
alicloud.api.function.not_publicly_accessible,public_ip_address not_exists + internet_facing not_equals,public_ip_address not_exists + internet_facing not_equals,no
alicloud.api.gateway.api_gateway_https_required,ssl_enabled equals true,ssl_enabled equals true,no
alicloud.api.gateway.client_certificate_enabled,id exists ,ssl_enabled equals true,YES
alicloud.api.gateway.restapi_client_certificate_enabled,id exists ,ssl_enabled equals true,YES
alicloud.api.gateway.restapi_logging_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.api.gateway.restapi_tracing_enabled,logging_enabled equals true,status equals Active,YES
alicloud.api.gateway.restapi_waf_acl_attached,id exists ,status equals Active,YES
alicloud.api.gateway.validation_api_parameters_validation_enabled,id exists ,status equals Active,YES
alicloud.api.gateway.validation_api_request_schema_validation_enabled,id exists ,status equals Active,YES
alicloud.api.gateway.validation_api_required_security_headers_enforced,id exists ,status equals Active,YES
alicloud.api.hosting.managed_updates_enabled,id exists ,status equals Active,YES
alicloud.api.http.logs_enabled,logging_enabled equals true,logging_enabled equals true,no
