rule_id,for_each,current_var,proposed_var,expert_var,change_reason
alicloud.ack.node.auth_disabled,alicloud.ack.DescribeClusterNodes,id exists,permissions not_contains *,permissions not_contains *,
alicloud.ack.node.kubelet_anonymous_auth_disabled,alicloud.ack.DescribeClusterNodes,id exists,permissions not_contains *,permissions not_contains *,
alicloud.ack.node.kubelet_authz_webhook_or_rbac_enabled,alicloud.ack.DescribeClusterNodes,id exists,permissions not_contains *,permissions not_contains *,
alicloud.ack.node.kubelet_read_only_port_disabled,alicloud.ack.DescribeClusterNodes,id exists,security_group_rules not_contains 0.0.0.0/0,security_group_rules not_contains 0.0.0.0/0,
alicloud.ack.node.kubelet_tls_min_1_2_enforced,alicloud.ack.DescribeClusterNodes,ssl_enabled equals + min_tls_version gte,ssl_enabled equals + min_tls_version gte,ssl_enabled equals + min_tls_version gte,
alicloud.ack.node.only_port_disabled,alicloud.ack.DescribeClusterNodes,id exists,security_group_rules not_contains 0.0.0.0/0,security_group_rules not_contains 0.0.0.0/0,
alicloud.ack.node.security_patches_current,alicloud.ack.DescribeClusterNodes,id exists,status equals Active,status equals Active,
alicloud.ack.node_pool.disk_encryption_enabled,alicloud.ack.node_pool,encrypted equals true,encrypted equals true,encrypted equals true,
alicloud.ack.node_pool.nodes_no_public_ip,alicloud.ack.node_pool,public_ip_address not_exists + internet_facing not_equals,public_ip_address not_exists + internet_facing not_equals,public_ip_address not_exists + internet_facing not_equals,
alicloud.ack.plan.configured,alicloud.ack.control_plane,id exists,backup_enabled equals true,backup_enabled equals true,
alicloud.ack.plan.min_retention,alicloud.ack.control_plane,backup_enabled equals true,backup_enabled equals true,backup_enabled equals true,
alicloud.ack.plans.exist,alicloud.ack.reportplans,id exists,backup_enabled equals true,backup_enabled equals true,
alicloud.ack.pod.seccomp_profile_runtime_default_enforced,alicloud.ack.pod,permissions not_contains *,permissions not_contains *,permissions not_contains *,
alicloud.ack.pod.security_context_configured,alicloud.ack.pod,id exists,permissions not_contains *,permissions not_contains *,
alicloud.ack.pod.service_account_token_mounting_disabled,alicloud.ack.pod,id exists,permissions not_contains *,permissions not_contains *,
alicloud.ack.pod_security_policy.net_raw_capability_dropped,alicloud.ack.pod_security_policy,id exists,permissions not_contains *,permissions not_contains *,
alicloud.ack.psp.net_raw_capability_disabled,alicloud.ack.psp,id exists,permissions not_contains *,permissions not_contains *,
alicloud.ack.psp.root_user_access_prevented,alicloud.ack.psp,permissions not_contains *,permissions not_contains *,permissions not_contains *,
alicloud.ack.ram.role_acr_read_only_access_check,alicloud.ack.ram_role,permissions not_contains *,permissions not_contains *,permissions not_contains *,
alicloud.ack.ram_role.acr_read_only_access_enforced,alicloud.ack.ram_role,permissions not_contains *,permissions not_contains *,permissions not_contains *,
alicloud.ack.rbac.authorization_mode_rbac_enabled,alicloud.ack.rbac,permissions not_contains *,permissions not_contains *,permissions not_contains *,
alicloud.ack.rbac.least_privilege_secrets_access_enforced,alicloud.ack.rbac,permissions not_contains *,permissions not_contains *,permissions not_contains *,
alicloud.ack.rbac.no_cluster_admin_bindings_to_users,alicloud.ack.rbac,permissions not_contains *,permissions not_contains *,permissions not_contains *,
alicloud.ack.rbac.no_wildcard_rules_in_clusterroles,alicloud.ack.rbac,permissions not_contains *,permissions not_contains *,permissions not_contains *,
alicloud.ack.rbac_k8s.cluster_admin_to_authenticated,alicloud.ack.rbac_k8s,permissions not_contains *,permissions not_contains *,permissions not_contains *,
alicloud.ack.rbac_k8s.sa_not_cluster_admin,alicloud.ack.rbac_k8s,permissions not_contains *,permissions not_contains *,permissions not_contains *,
alicloud.ack.recovery.point_encrypted,alicloud.ack.recovery,encrypted equals true,encrypted equals true,encrypted equals true,
alicloud.ack.recovery.point_encryption,alicloud.ack.recovery,encrypted equals + backup_enabled equals,encrypted equals + backup_enabled equals,encrypted equals + backup_enabled equals,
alicloud.ack.recovery.point_retention,alicloud.ack.recovery,backup_enabled equals true,backup_enabled equals true,backup_enabled equals true,
alicloud.ack.registry.image_scan_on_push_enabled,alicloud.ack.registry,id exists,status equals Active,status equals Active,
alicloud.ack.registry.repository_encryption_enabled,alicloud.ack.registry,encrypted equals true,encrypted equals true,encrypted equals true,
alicloud.ack.registry_lifecycle_policy.lifecycle_policy_policy_storage_encrypted,alicloud.ack.registry_lifecycle_policy,encrypted equals true,encrypted equals true,encrypted equals true,
alicloud.ack.reportplans.exist,alicloud.ack.reportplans,backup_enabled equals true,backup_enabled equals true,backup_enabled equals true,
alicloud.ack.repository.vulnerability_scanning_continuous,alicloud.artifacts.ListRepository,id exists,status equals Active,status equals Active,
alicloud.ack.scheduler.authentication_kubeconfig_configured,alicloud.emr.DescribeClusterResourcePoolSchedulerType,id exists,status equals Active,status equals Active,
alicloud.ack.scheduler.authorization_kubeconfig_configured,alicloud.emr.DescribeClusterResourcePoolSchedulerType,id exists,status equals Active,status equals Active,
alicloud.ack.scheduler.secure_port_tls_enabled,alicloud.emr.DescribeClusterResourcePoolSchedulerType,encrypted equals true,encrypted equals true,ssl_enabled equals true,TLS/SSL connection rule — use ssl_enabled not encrypted
alicloud.ack.serverless.fargate_profile_execution_role_least_privilege,alicloud.ack.serverless,permissions not_contains *,permissions not_contains *,permissions not_contains *,
alicloud.ack.serverless.fargate_profile_logging_enabled,alicloud.ack.serverless,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.ack.serverless.fargate_profile_private_subnets_only,alicloud.ack.serverless,id exists,internet_facing not_equals true,internet_facing not_equals true,
alicloud.ack.service.task_definition_logging_enabled,alicloud.ack.log_service,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.ack.service_account.cluster_audit_logging_enabled,alicloud.ack.service_account,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.ack.service_account.cluster_default_service_account_automount_disabled,alicloud.ack.service_account,id exists,permissions not_contains *,permissions not_contains *,
alicloud.ack.service_account.cluster_private_control_plane_endpoint_enabled,alicloud.ack.service_account,id exists,internet_facing not_equals true,internet_facing not_equals true,
alicloud.ack.service_account.cluster_secrets_encryption_kms_enabled,alicloud.ack.service_account,encrypted equals true,encrypted equals true,encrypted equals true,
alicloud.ack.service_account.default_no_token_no_roles_enforced,alicloud.ack.service_account,id exists,permissions not_contains *,permissions not_contains *,
alicloud.ack.service_account.external_ips_not_used,alicloud.ack.service_account,id exists,internet_facing not_equals true,internet_facing not_equals true,
alicloud.ack.service_account.keys_not_used_or_rotated_90_days_or_less,alicloud.ack.service_account,id exists,status equals Active,permissions not_contains *,Auth/credential rotation rule — use permissions not status
alicloud.ack.service_account.no_user_managed_long_lived_keys,alicloud.ack.service_account,id exists,permissions not_contains *,permissions not_contains *,
alicloud.ack.service_account.scopes_or_roles_least_privilege,alicloud.ack.service_account,permissions not_contains *,permissions not_contains *,permissions not_contains *,
alicloud.ack.service_account.token_auto_mount_disabled,alicloud.ack.service_account,id exists,permissions not_contains *,permissions not_contains *,
alicloud.ack.service_account.type_loadbalancer_internal_only_where_required,alicloud.ack.service_account,id exists,internet_facing not_equals true,internet_facing not_equals true,
alicloud.ack.vault.encryption_enabled,alicloud.ack.vault,encrypted equals true,encrypted equals true,encrypted equals true,
alicloud.ack.vaults.encrypted,alicloud.ack.vaults,encrypted equals + backup_enabled equals,encrypted equals + backup_enabled equals,encrypted equals + backup_enabled equals,
alicloud.ack.vaults.exist,alicloud.ack.vaults,backup_enabled equals true,backup_enabled equals true,backup_enabled equals true,
alicloud.ack.workload.balancer_https_tls_encryption_in_transit,alicloud.ack.workload,encrypted equals + ssl_enabled equals,encrypted equals + ssl_enabled equals,ssl_enabled equals true,TLS/SSL rule with redundant encrypted field — use ssl_enabled only
alicloud.ack.workload.env_no_plaintext_secrets,alicloud.ack.workload,id exists,permissions not_contains *,permissions not_contains *,
alicloud.ack.workload.host_network_pid_ipc_disabled,alicloud.ack.workload,id exists,permissions not_contains *,permissions not_contains *,
alicloud.ack.workload.no_hostpath_mounts,alicloud.ack.workload,id exists,permissions not_contains *,permissions not_contains *,
alicloud.ack.workload.no_privileged_containers,alicloud.ack.workload,permissions not_contains *,permissions not_contains *,permissions not_contains *,
alicloud.ack.workload.run_as_non_root,alicloud.ack.workload,permissions not_contains *,permissions not_contains *,permissions not_contains *,
alicloud.actiontrail.cloudmonitor.logging_enabled_with_90_day_retention,alicloud.cloudmonitor.actiontrail_config_changes_log_metric_filter_and_alarm_enabled,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.actiontrail.cloudwatch.logging_enabled,alicloud.actiontrail.cloudwatch,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.actiontrail.configuration.config_delivery_destination_access_least_privilege,alicloud.ack.configuration_management,permissions not_contains *,permissions not_contains *,permissions not_contains *,
alicloud.actiontrail.configuration.config_delivery_kms_encryption_enabled,alicloud.ack.configuration_management,encrypted equals + logging_enabled equals,encrypted equals + kms_key_id exists,encrypted equals + kms_key_id exists,
alicloud.actiontrail.data_events_read_logging_enabled.configured,alicloud.actiontrail.data_events_read_logging_enabled,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.actiontrail.delivery.channel_destination_access_least_privilege,alicloud.actiontrail.GetDeliveryHistoryJob,permissions not_contains *,permissions not_contains *,permissions not_contains *,
alicloud.actiontrail.delivery.channel_kms_encryption_enabled,alicloud.actiontrail.GetDeliveryHistoryJob,encrypted equals + logging_enabled equals,encrypted equals + kms_key_id exists,encrypted equals + kms_key_id exists,
alicloud.actiontrail.enabled.configured,alicloud.actiontrail.enabled,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.actiontrail.failed_console_signin_alerts.configured,alicloud.actiontrail.failed_console_signin_alerts,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.actiontrail.kms.encryption_enabled,alicloud.actiontrail.kms_encryption_active,encrypted equals + logging_enabled equals,encrypted equals + kms_key_id exists,encrypted equals + kms_key_id exists,
alicloud.actiontrail.kms_encryption_active.configured,alicloud.actiontrail.kms_encryption_active,encrypted equals + logging_enabled equals,encrypted equals + kms_key_id exists,encrypted equals + kms_key_id exists,
alicloud.actiontrail.log_file_integrity_validation_enabled.configured,alicloud.actiontrail.log_file_integrity_validation_enabled,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.actiontrail.logging.all_regions_enabled,alicloud.actiontrail.logging,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.actiontrail.logging.enabled,alicloud.actiontrail.logging,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.actiontrail.logging.multi_region_enabled_management_events_with_90_day_retention,alicloud.actiontrail.logging,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.actiontrail.logging_all_regions_properly_configured.configured,alicloud.actiontrail.logging_all_regions_properly_configured,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.actiontrail.logging_enabled_90_day_retention.configured,alicloud.actiontrail.logging_enabled_90_day_retention,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.actiontrail.logging_enabled_with_90_day_retention.configured,alicloud.actiontrail.logging_enabled_with_90_day_retention,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.actiontrail.logs.file_validation_enabled,alicloud.actiontrail.logservice,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.actiontrail.logs.kms_encryption_at_rest_enabled,alicloud.actiontrail.logservice,encrypted equals + logging_enabled equals,encrypted equals + kms_key_id exists,encrypted equals + kms_key_id exists,
alicloud.actiontrail.logs.monitor_mfa_signin_alert,alicloud.actiontrail.logservice,mfa_enabled equals true,mfa_enabled equals true,mfa_enabled equals true,
alicloud.actiontrail.logs.oss_bucket_access_logging_enabled,alicloud.actiontrail.logservice,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.actiontrail.logs.oss_bucket_is_not_publicly_accessible,alicloud.actiontrail.logservice,public_ip_address not_exists + internet_facing not_equals,public_ip_address not_exists + internet_facing not_equals,public_ip_address not_exists + internet_facing not_equals,
alicloud.actiontrail.logs.s3_bucket_access_logging_enabled,alicloud.actiontrail.logservice,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.actiontrail.logs.s3_bucket_is_not_publicly_accessible,alicloud.actiontrail.logservice,public_ip_address not_exists + internet_facing not_equals,public_ip_address not_exists + internet_facing not_equals,public_ip_address not_exists + internet_facing not_equals,
alicloud.actiontrail.logservice.failed_console_signin_alerts,alicloud.actiontrail.logservice,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.actiontrail.mfa_signin_alerts.configured,alicloud.actiontrail.mfa_signin_alerts,mfa_enabled equals true,mfa_enabled equals true,mfa_enabled equals true,
alicloud.actiontrail.multi.region_enabled,alicloud.actiontrail.multi,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.actiontrail.multi.region_enabled_logging_management_events,alicloud.actiontrail.multi,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.actiontrail.multi_region_logging_enabled.configured,alicloud.actiontrail.multi_region_logging_enabled,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.actiontrail.oss.dataevents_read_enabled,alicloud.actiontrail.oss_bucket_access_logging_enabled,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.actiontrail.oss.dataevents_read_logging_enabled,alicloud.actiontrail.oss_bucket_access_logging_enabled,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.actiontrail.oss.dataevents_write_enabled,alicloud.actiontrail.oss_bucket_access_logging_enabled,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.actiontrail.oss.dataevents_write_logging_enabled,alicloud.actiontrail.oss_bucket_access_logging_enabled,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.actiontrail.oss.read_events_enabled,alicloud.actiontrail.oss_bucket_access_logging_enabled,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.actiontrail.oss.write_events_enabled,alicloud.actiontrail.oss_bucket_access_logging_enabled,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.actiontrail.oss_bucket_access_logging_enabled.configured,alicloud.actiontrail.oss_bucket_access_logging_enabled,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.actiontrail.oss_bucket_public_access_blocked.configured,alicloud.actiontrail.oss_bucket_public_access_blocked,public_ip_address not_exists + internet_facing not_equals,public_ip_address not_exists + internet_facing not_equals,public_ip_address not_exists + internet_facing not_equals,
alicloud.actiontrail.oss_bucket_public_access_blocked_via_acl.configured,alicloud.actiontrail.oss_bucket_public_access_blocked_via_acl,public_ip_address not_exists + internet_facing not_equals,public_ip_address not_exists + internet_facing not_equals,public_ip_address not_exists + internet_facing not_equals,
alicloud.actiontrail.oss_read_events_logging_enabled.configured,alicloud.actiontrail.oss_read_events_logging_enabled,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.actiontrail.oss_write_events_logging_enabled.configured,alicloud.actiontrail.oss_write_events_logging_enabled,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.actiontrail.privacy.audit_logs_centralized_and_encrypted,alicloud.actiontrail.privacy,encrypted equals true,encrypted equals true,encrypted equals true,
alicloud.actiontrail.s3.dataevents_read_enabled,alicloud.actiontrail.s3,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.actiontrail.s3.dataevents_write_enabled,alicloud.actiontrail.s3,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.actiontrail.threat.detection_enumeration,alicloud.actiontrail.threat,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.actiontrail.threat.detection_privilege_escalation,alicloud.actiontrail.threat,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.actiontrail.threat.llm_jacking,alicloud.actiontrail.threat,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.actiontrail.threat_detection.enumeration_detected,alicloud.actiontrail.threat_detection,id exists,logging_enabled equals true,logging_enabled equals true,
