rule_id,service,resource_type,rule_tokens,for_each,rank,candidate_field,item_var_path,field_type,score,suggested_op,suggested_value,new_for_each,confidence,fix_method
gcp.aiplatform.endpoint.ai_services_prompt_gateway_token_scopes_least_privilege,aiplatform,endpoint,ai services prompt gateway token scopes least privilege,gcp.aiplatform.projects.locations.endpoints.list,2,endpoints[].genAiAdvancedFeaturesConfig,item.endpoints[].genAiAdvancedFeaturesConfig,string,2.9,exists,null,gcp.aiplatform.projects.locations.endpoints.list,LOW,token_match
gcp.aiplatform.endpoint.ai_services_prompt_gateway_token_scopes_least_privilege,aiplatform,endpoint,ai services prompt gateway token scopes least privilege,gcp.aiplatform.projects.locations.endpoints.list,3,enablePrivateServiceConnect,item.enablePrivateServiceConnect,boolean,1.25,equals,true,gcp.aiplatform.projects.locations.endpoints.list,LOW,token_match
gcp.aiplatform.endpoint.ai_services_waf_attached,aiplatform,endpoint,ai services waf attached,gcp.aiplatform.projects.locations.endpoints.list,1,genAiAdvancedFeaturesConfig,item.genAiAdvancedFeaturesConfig,string,3.25,exists,null,gcp.aiplatform.projects.locations.endpoints.list,MEDIUM,token_match
gcp.aiplatform.endpoint.ai_services_waf_attached,aiplatform,endpoint,ai services waf attached,gcp.aiplatform.projects.locations.endpoints.list,2,endpoints[].genAiAdvancedFeaturesConfig,item.endpoints[].genAiAdvancedFeaturesConfig,string,2.9,exists,null,gcp.aiplatform.projects.locations.endpoints.list,LOW,token_match
gcp.aiplatform.endpoint.ai_services_waf_attached,aiplatform,endpoint,ai services waf attached,gcp.aiplatform.projects.locations.endpoints.list,3,enablePrivateServiceConnect,item.enablePrivateServiceConnect,boolean,1.25,equals,true,gcp.aiplatform.projects.locations.endpoints.list,LOW,token_match
gcp.aiplatform.endpoint.data_governance_ai_endpoint_config_content_type_whi_enforced,aiplatform,endpoint,data governance ai endpoint config content type whi enforced,gcp.aiplatform.projects.locations.endpoints.list,1,endpoints[].genAiAdvancedFeaturesConfig,item.endpoints[].genAiAdvancedFeaturesConfig,string,7.4,exists,null,gcp.aiplatform.projects.locations.endpoints.list,HIGH,token_match
gcp.aiplatform.endpoint.data_governance_ai_endpoint_config_content_type_whi_enforced,aiplatform,endpoint,data governance ai endpoint config content type whi enforced,gcp.aiplatform.projects.locations.endpoints.list,2,genAiAdvancedFeaturesConfig,item.genAiAdvancedFeaturesConfig,string,6.25,exists,null,gcp.aiplatform.projects.locations.endpoints.list,HIGH,token_match
gcp.aiplatform.endpoint.data_governance_ai_endpoint_config_content_type_whi_enforced,aiplatform,endpoint,data governance ai endpoint config content type whi enforced,gcp.aiplatform.projects.locations.endpoints.list,3,dedicatedEndpointEnabled,item.dedicatedEndpointEnabled,boolean,5.25,equals,true,gcp.aiplatform.projects.locations.endpoints.list,MEDIUM,token_match
gcp.aiplatform.endpoint.data_governance_ai_endpoint_config_data_capture_buck_private,aiplatform,endpoint,data governance ai endpoint config data capture buck private,gcp.aiplatform.projects.locations.endpoints.list,1,metadata,item.metadata,object,8.25,exists,null,gcp.aiplatform.projects.locations.endpoints.list,HIGH,token_match
gcp.aiplatform.endpoint.data_governance_ai_endpoint_config_data_capture_buck_private,aiplatform,endpoint,data governance ai endpoint config data capture buck private,gcp.aiplatform.projects.locations.endpoints.list,2,operations[].metadata,item.operations[].metadata,string,7.9,exists,null,gcp.aiplatform.projects.locations.endpoints.list,HIGH,token_match
gcp.aiplatform.endpoint.data_governance_ai_endpoint_config_data_capture_buck_private,aiplatform,endpoint,data governance ai endpoint config data capture buck private,gcp.aiplatform.projects.locations.endpoints.list,3,endpoints[].genAiAdvancedFeaturesConfig,item.endpoints[].genAiAdvancedFeaturesConfig,string,7.4,exists,null,gcp.aiplatform.projects.locations.endpoints.list,HIGH,token_match
gcp.aiplatform.endpoint.data_governance_authn_required,aiplatform,endpoint,data governance authn required,gcp.aiplatform.projects.locations.endpoints.list,1,metadata,item.metadata,object,4.25,exists,null,gcp.aiplatform.projects.locations.endpoints.list,MEDIUM,token_match
gcp.aiplatform.endpoint.data_governance_authn_required,aiplatform,endpoint,data governance authn required,gcp.aiplatform.projects.locations.endpoints.list,2,operations[].metadata,item.operations[].metadata,string,3.9,exists,null,gcp.aiplatform.projects.locations.endpoints.list,MEDIUM,token_match
gcp.aiplatform.endpoint.data_governance_authn_required,aiplatform,endpoint,data governance authn required,gcp.aiplatform.projects.locations.endpoints.list,3,dedicatedEndpointEnabled,item.dedicatedEndpointEnabled,boolean,2.25,equals,true,gcp.aiplatform.projects.locations.endpoints.list,LOW,token_match
gcp.aiplatform.endpoint.data_governance_authz_policies_enforced,aiplatform,endpoint,data governance authz policies enforced,gcp.aiplatform.projects.locations.endpoints.list,1,metadata,item.metadata,object,4.25,exists,null,gcp.aiplatform.projects.locations.endpoints.list,MEDIUM,token_match
gcp.aiplatform.endpoint.data_governance_authz_policies_enforced,aiplatform,endpoint,data governance authz policies enforced,gcp.aiplatform.projects.locations.endpoints.list,2,operations[].metadata,item.operations[].metadata,string,3.9,exists,null,gcp.aiplatform.projects.locations.endpoints.list,MEDIUM,token_match
gcp.aiplatform.endpoint.data_governance_authz_policies_enforced,aiplatform,endpoint,data governance authz policies enforced,gcp.aiplatform.projects.locations.endpoints.list,3,dedicatedEndpointEnabled,item.dedicatedEndpointEnabled,boolean,2.25,equals,true,gcp.aiplatform.projects.locations.endpoints.list,LOW,token_match
gcp.aiplatform.endpoint.data_privacy_ai_endpoint_config_content_type_whitel_enforced,aiplatform,endpoint,data privacy ai endpoint config content type whitel enforced,gcp.aiplatform.projects.locations.endpoints.list,1,endpoints[].genAiAdvancedFeaturesConfig,item.endpoints[].genAiAdvancedFeaturesConfig,string,7.4,exists,null,gcp.aiplatform.projects.locations.endpoints.list,HIGH,token_match
gcp.aiplatform.endpoint.data_privacy_ai_endpoint_config_content_type_whitel_enforced,aiplatform,endpoint,data privacy ai endpoint config content type whitel enforced,gcp.aiplatform.projects.locations.endpoints.list,2,genAiAdvancedFeaturesConfig,item.genAiAdvancedFeaturesConfig,string,6.25,exists,null,gcp.aiplatform.projects.locations.endpoints.list,HIGH,token_match
gcp.aiplatform.endpoint.data_privacy_ai_endpoint_config_content_type_whitel_enforced,aiplatform,endpoint,data privacy ai endpoint config content type whitel enforced,gcp.aiplatform.projects.locations.endpoints.list,3,dedicatedEndpointEnabled,item.dedicatedEndpointEnabled,boolean,5.25,equals,true,gcp.aiplatform.projects.locations.endpoints.list,MEDIUM,token_match
gcp.aiplatform.endpoint.data_privacy_authn_required,aiplatform,endpoint,data privacy authn required,gcp.aiplatform.projects.locations.endpoints.list,1,metadata,item.metadata,object,4.25,exists,null,gcp.aiplatform.projects.locations.endpoints.list,MEDIUM,token_match
gcp.aiplatform.endpoint.data_privacy_authn_required,aiplatform,endpoint,data privacy authn required,gcp.aiplatform.projects.locations.endpoints.list,2,operations[].metadata,item.operations[].metadata,string,3.9,exists,null,gcp.aiplatform.projects.locations.endpoints.list,MEDIUM,token_match
gcp.aiplatform.endpoint.data_privacy_authn_required,aiplatform,endpoint,data privacy authn required,gcp.aiplatform.projects.locations.endpoints.list,3,dedicatedEndpointEnabled,item.dedicatedEndpointEnabled,boolean,2.25,equals,true,gcp.aiplatform.projects.locations.endpoints.list,LOW,token_match
gcp.aiplatform.endpoint.data_privacy_authz_policies_enforced,aiplatform,endpoint,data privacy authz policies enforced,gcp.aiplatform.projects.locations.endpoints.list,1,metadata,item.metadata,object,4.25,exists,null,gcp.aiplatform.projects.locations.endpoints.list,MEDIUM,token_match
gcp.aiplatform.endpoint.data_privacy_authz_policies_enforced,aiplatform,endpoint,data privacy authz policies enforced,gcp.aiplatform.projects.locations.endpoints.list,2,operations[].metadata,item.operations[].metadata,string,3.9,exists,null,gcp.aiplatform.projects.locations.endpoints.list,MEDIUM,token_match
gcp.aiplatform.endpoint.data_privacy_authz_policies_enforced,aiplatform,endpoint,data privacy authz policies enforced,gcp.aiplatform.projects.locations.endpoints.list,3,dedicatedEndpointEnabled,item.dedicatedEndpointEnabled,boolean,2.25,equals,true,gcp.aiplatform.projects.locations.endpoints.list,LOW,token_match
gcp.aiplatform.endpoint.machine_learning_authn_required,aiplatform,endpoint,machine learning authn required,gcp.aiplatform.projects.locations.endpoints.list,1,dedicatedEndpointEnabled,item.dedicatedEndpointEnabled,boolean,2.25,equals,true,gcp.aiplatform.projects.locations.endpoints.list,LOW,token_match
gcp.aiplatform.endpoint.machine_learning_authn_required,aiplatform,endpoint,machine learning authn required,gcp.aiplatform.projects.locations.endpoints.list,2,done,item.done,boolean,2.25,equals,true,gcp.aiplatform.projects.locations.endpoints.list,LOW,token_match
gcp.aiplatform.endpoint.machine_learning_authn_required,aiplatform,endpoint,machine learning authn required,gcp.aiplatform.projects.locations.endpoints.list,3,enablePrivateServiceConnect,item.enablePrivateServiceConnect,boolean,2.25,equals,true,gcp.aiplatform.projects.locations.endpoints.list,LOW,token_match
gcp.aiplatform.endpoint.machine_learning_authz_policies_enforced,aiplatform,endpoint,machine learning authz policies enforced,gcp.aiplatform.projects.locations.endpoints.list,1,dedicatedEndpointEnabled,item.dedicatedEndpointEnabled,boolean,2.25,equals,true,gcp.aiplatform.projects.locations.endpoints.list,LOW,token_match
gcp.aiplatform.endpoint.machine_learning_authz_policies_enforced,aiplatform,endpoint,machine learning authz policies enforced,gcp.aiplatform.projects.locations.endpoints.list,2,done,item.done,boolean,2.25,equals,true,gcp.aiplatform.projects.locations.endpoints.list,LOW,token_match
gcp.aiplatform.endpoint.machine_learning_authz_policies_enforced,aiplatform,endpoint,machine learning authz policies enforced,gcp.aiplatform.projects.locations.endpoints.list,3,enablePrivateServiceConnect,item.enablePrivateServiceConnect,boolean,2.25,equals,true,gcp.aiplatform.projects.locations.endpoints.list,LOW,token_match
gcp.cloudidentity.membership.identity_access_console_password_present_only_if_required,cloudidentity,membership,identity access console password present required,gcp.cloudidentity.groups.memberships.list,1,,,,0,,,gcp.cloudidentity.groups.memberships.list,NO_MATCH,none
gcp.cloudidentity.membership.identity_access_mfa_required,cloudidentity,membership,identity access mfa required,gcp.cloudidentity.groups.memberships.list,1,,,,0,,,gcp.cloudidentity.groups.memberships.list,NO_MATCH,none
gcp.compute.address.ip_set_cidrs_valid_and_minimized,compute,address,ip cidrs valid minimized,gcp.compute.addresses.aggregatedList,1,ipCidrRange,item.ipCidrRange,string,6.75,exists,null,gcp.compute.addresses.aggregatedList,HIGH,token_match
gcp.compute.address.ip_set_cidrs_valid_and_minimized,compute,address,ip cidrs valid minimized,gcp.compute.addresses.aggregatedList,2,dnsVerificationIp,item.dnsVerificationIp,string,3.25,exists,null,gcp.compute.addresses.aggregatedList,MEDIUM,token_match
gcp.compute.address.ip_set_cidrs_valid_and_minimized,compute,address,ip cidrs valid minimized,gcp.compute.addresses.aggregatedList,3,byoipApiVersion,item.byoipApiVersion,string,1.75,exists,null,gcp.compute.addresses.aggregatedList,LOW,token_match
gcp.compute.address.ip_set_cross_account_sharing_restricted,compute,address,ip cross account sharing restricted,gcp.compute.addresses.aggregatedList,1,dnsVerificationIp,item.dnsVerificationIp,string,3.25,exists,null,gcp.compute.addresses.aggregatedList,MEDIUM,token_match
gcp.compute.address.ip_set_cross_account_sharing_restricted,compute,address,ip cross account sharing restricted,gcp.compute.addresses.aggregatedList,2,ipCidrRange,item.ipCidrRange,string,3.25,exists,null,gcp.compute.addresses.aggregatedList,MEDIUM,token_match
gcp.compute.address.ip_set_cross_account_sharing_restricted,compute,address,ip cross account sharing restricted,gcp.compute.addresses.aggregatedList,3,networkEndpointGroups,item.networkEndpointGroups,array,2.75,exists,null,gcp.compute.addresses.aggregatedList,LOW,token_match
gcp.compute.address.ip_set_not_empty,compute,address,ip empty,gcp.compute.addresses.aggregatedList,1,dnsVerificationIp,item.dnsVerificationIp,string,3.25,exists,null,gcp.compute.addresses.aggregatedList,MEDIUM,token_match
gcp.compute.address.ip_set_not_empty,compute,address,ip empty,gcp.compute.addresses.aggregatedList,2,ipCidrRange,item.ipCidrRange,string,3.25,exists,null,gcp.compute.addresses.aggregatedList,MEDIUM,token_match
gcp.compute.address.ip_set_not_empty,compute,address,ip empty,gcp.compute.addresses.aggregatedList,3,byoipApiVersion,item.byoipApiVersion,string,1.75,exists,null,gcp.compute.addresses.aggregatedList,LOW,token_match
gcp.compute.address.ip_set_used_by_at_least_one_rule,compute,address,ip used least one rule,gcp.compute.addresses.aggregatedList,1,dnsVerificationIp,item.dnsVerificationIp,string,3.25,exists,null,gcp.compute.addresses.aggregatedList,MEDIUM,token_match
gcp.compute.address.ip_set_used_by_at_least_one_rule,compute,address,ip used least one rule,gcp.compute.addresses.aggregatedList,2,ipCidrRange,item.ipCidrRange,string,3.25,exists,null,gcp.compute.addresses.aggregatedList,MEDIUM,token_match
gcp.compute.address.ip_set_used_by_at_least_one_rule,compute,address,ip used least one rule,gcp.compute.addresses.aggregatedList,3,byoipApiVersion,item.byoipApiVersion,string,1.75,exists,null,gcp.compute.addresses.aggregatedList,LOW,token_match
gcp.compute.anomaly_detection.anomaly_destinations_encrypted,compute,anomaly_detection,anomaly destinations encrypted,gcp.compute.instances.aggregatedList,1,items,item,object,0.25,exists,null,gcp.compute.instances.aggregatedList,LOW,token_match
gcp.compute.anomaly_detection.anomaly_destinations_encrypted,compute,anomaly_detection,anomaly destinations encrypted,gcp.compute.instances.aggregatedList,2,warning,item.warning,object,0.25,exists,null,gcp.compute.instances.aggregatedList,LOW,token_match
gcp.compute.anomaly_detection.anomaly_detectors_enabled,compute,anomaly_detection,anomaly detectors enabled,gcp.compute.instances.aggregatedList,1,items,item,object,0.25,exists,null,gcp.compute.instances.aggregatedList,LOW,token_match
gcp.compute.anomaly_detection.anomaly_detectors_enabled,compute,anomaly_detection,anomaly detectors enabled,gcp.compute.instances.aggregatedList,2,warning,item.warning,object,0.25,exists,null,gcp.compute.instances.aggregatedList,LOW,token_match
gcp.compute.automation.automation_artifacts_encrypted_and_private,compute,automation,automation artifacts encrypted private,gcp.compute.instances.aggregatedList,1,items,item,object,0.25,exists,null,gcp.compute.instances.aggregatedList,LOW,token_match
gcp.compute.automation.automation_artifacts_encrypted_and_private,compute,automation,automation artifacts encrypted private,gcp.compute.instances.aggregatedList,2,warning,item.warning,object,0.25,exists,null,gcp.compute.instances.aggregatedList,LOW,token_match
gcp.compute.automation.automation_execution_roles_least_privilege,compute,automation,automation execution roles least privilege,gcp.compute.instances.aggregatedList,1,items,item,object,0.25,exists,null,gcp.compute.instances.aggregatedList,LOW,token_match
gcp.compute.automation.automation_execution_roles_least_privilege,compute,automation,automation execution roles least privilege,gcp.compute.instances.aggregatedList,2,warning,item.warning,object,0.25,exists,null,gcp.compute.instances.aggregatedList,LOW,token_match
gcp.compute.automation.automation_remediation_roles_least_privilege,compute,automation,automation remediation roles least privilege,gcp.compute.instances.aggregatedList,1,items,item,object,0.25,exists,null,gcp.compute.instances.aggregatedList,LOW,token_match
gcp.compute.automation.automation_remediation_roles_least_privilege,compute,automation,automation remediation roles least privilege,gcp.compute.instances.aggregatedList,2,warning,item.warning,object,0.25,exists,null,gcp.compute.instances.aggregatedList,LOW,token_match
gcp.compute.automation.dr_automation_change_audit_logging_enabled,compute,automation,dr automation change audit logging enabled,gcp.compute.instances.aggregatedList,1,items,item,object,0.25,exists,null,gcp.compute.instances.aggregatedList,LOW,token_match
gcp.compute.automation.dr_automation_change_audit_logging_enabled,compute,automation,dr automation change audit logging enabled,gcp.compute.instances.aggregatedList,2,warning,item.warning,object,0.25,exists,null,gcp.compute.instances.aggregatedList,LOW,token_match
gcp.compute.automation.netsec_automation_change_audit_logging_enabled,compute,automation,netsec automation change audit logging enabled,gcp.compute.instances.aggregatedList,1,items,item,object,0.25,exists,null,gcp.compute.instances.aggregatedList,LOW,token_match
gcp.compute.automation.netsec_automation_change_audit_logging_enabled,compute,automation,netsec automation change audit logging enabled,gcp.compute.instances.aggregatedList,2,warning,item.warning,object,0.25,exists,null,gcp.compute.instances.aggregatedList,LOW,token_match
gcp.compute.dedicated_host.dedicated_host_host_sharing_restricted,compute,dedicated_host,dedicated host host sharing restricted,gcp.compute.reservations.aggregatedList,1,items,item,object,0.25,exists,null,gcp.compute.reservations.aggregatedList,LOW,token_match
gcp.compute.dedicated_host.dedicated_host_host_sharing_restricted,compute,dedicated_host,dedicated host host sharing restricted,gcp.compute.reservations.aggregatedList,2,warning,item.warning,object,0.25,exists,null,gcp.compute.reservations.aggregatedList,LOW,token_match
gcp.compute.dedicated_host.dedicated_host_instance_auto_placement_controlled,compute,dedicated_host,dedicated host instance auto placement controlled,gcp.compute.reservations.aggregatedList,1,items,item,object,0.25,exists,null,gcp.compute.reservations.aggregatedList,LOW,token_match
gcp.compute.dedicated_host.dedicated_host_instance_auto_placement_controlled,compute,dedicated_host,dedicated host instance auto placement controlled,gcp.compute.reservations.aggregatedList,2,warning,item.warning,object,0.25,exists,null,gcp.compute.reservations.aggregatedList,LOW,token_match
gcp.compute.disk.snapshot,compute,disk,snapshot,gcp.compute.snapshots.list,1,items[].sourceSnapshotSchedulePolicy,item.sourceSnapshotSchedulePolicy,string,5.4,exists,null,gcp.compute.snapshots.list,MEDIUM,token_match
gcp.compute.disk.snapshot,compute,disk,snapshot,gcp.compute.snapshots.list,2,items[].sourceSnapshotSchedulePolicyId,item.sourceSnapshotSchedulePolicyId,string,5.4,exists,null,gcp.compute.snapshots.list,MEDIUM,token_match
gcp.compute.disk.snapshot,compute,disk,snapshot,gcp.compute.snapshots.list,3,items[].snapshotEncryptionKey,item.snapshotEncryptionKey,string,2.9,exists,null,gcp.compute.snapshots.list,LOW,token_match
gcp.compute.encryption.encryption_mtls_required_for_internal_services_where_supported,compute,encryption,encryption mtls required internal services supported,gcp.compute.disks.aggregatedList,1,items,item,object,0.25,exists,null,gcp.compute.disks.aggregatedList,LOW,token_match
gcp.compute.encryption.encryption_mtls_required_for_internal_services_where_supported,compute,encryption,encryption mtls required internal services supported,gcp.compute.disks.aggregatedList,2,warning,item.warning,object,0.25,exists,null,gcp.compute.disks.aggregatedList,LOW,token_match
gcp.compute.encryption.encryption_tls_min_1_2_enforced,compute,encryption,encryption tls min 1 2 enforced,gcp.compute.disks.aggregatedList,1,items,item,object,0.25,exists,null,gcp.compute.disks.aggregatedList,LOW,token_match
gcp.compute.encryption.encryption_tls_min_1_2_enforced,compute,encryption,encryption tls min 1 2 enforced,gcp.compute.disks.aggregatedList,2,warning,item.warning,object,0.25,exists,null,gcp.compute.disks.aggregatedList,LOW,token_match
gcp.compute.firewall.default_firewall_rules_restricted,compute,firewall,default firewall rules restricted,gcp.compute.firewalls.list,1,items[].logConfig.enable,item.logConfig.enable,boolean,5.4,equals,true,gcp.compute.firewalls.list,MEDIUM,expansion
gcp.compute.firewall.default_firewall_rules_restricted,compute,firewall,default firewall rules restricted,gcp.compute.firewalls.list,2,allowed,item.allowed,array,2.75,exists,null,gcp.compute.firewalls.list,LOW,token_match
gcp.compute.firewall.default_firewall_rules_restricted,compute,firewall,default firewall rules restricted,gcp.compute.firewalls.list,3,denied,item.denied,array,2.75,exists,null,gcp.compute.firewalls.list,LOW,token_match
gcp.compute.firewall.logging_enabled,compute,firewall,logging enabled,gcp.compute.firewalls.list,1,items[].logConfig.enable,item.logConfig.enable,boolean,5.4,equals,true,gcp.compute.firewalls.list,MEDIUM,expansion
gcp.compute.firewall.logging_enabled,compute,firewall,logging enabled,gcp.compute.firewalls.list,2,items[].logConfig,item.logConfig,string,2.4,exists,null,gcp.compute.firewalls.list,LOW,token_match
gcp.compute.firewall.logging_enabled,compute,firewall,logging enabled,gcp.compute.firewalls.list,3,disabled,item.disabled,boolean,2.25,equals,true,gcp.compute.firewalls.list,LOW,token_match
gcp.compute.firewall.network_exception_approvals_required,compute,firewall,network exception approvals required,gcp.compute.firewalls.list,1,items[].network,item.network,string,7.9,exists,null,gcp.compute.firewalls.list,HIGH,token_match
gcp.compute.firewall.network_exception_approvals_required,compute,firewall,network exception approvals required,gcp.compute.firewalls.list,2,disabled,item.disabled,boolean,2.25,equals,true,gcp.compute.firewalls.list,LOW,token_match
gcp.compute.firewall.network_exception_approvals_required,compute,firewall,network exception approvals required,gcp.compute.firewalls.list,3,allowed,item.allowed,array,0.25,exists,null,gcp.compute.firewalls.list,LOW,token_match
gcp.compute.firewall.network_policies_present,compute,firewall,network policies present,gcp.compute.firewalls.list,1,items[].network,item.network,string,5.4,exists,null,gcp.compute.firewalls.list,MEDIUM,token_match
gcp.compute.firewall.network_policies_present,compute,firewall,network policies present,gcp.compute.firewalls.list,2,allowed,item.allowed,array,0.25,exists,null,gcp.compute.firewalls.list,LOW,token_match
gcp.compute.firewall.network_policies_present,compute,firewall,network policies present,gcp.compute.firewalls.list,3,denied,item.denied,array,0.25,exists,null,gcp.compute.firewalls.list,LOW,token_match
gcp.compute.firewall.network_policy_store_encrypted,compute,firewall,network policy store encrypted,gcp.compute.firewalls.list,1,items[].network,item.network,string,5.4,exists,null,gcp.compute.firewalls.list,MEDIUM,token_match
gcp.compute.firewall.network_policy_store_encrypted,compute,firewall,network policy store encrypted,gcp.compute.firewalls.list,2,allowed,item.allowed,array,0.25,exists,null,gcp.compute.firewalls.list,LOW,token_match
gcp.compute.firewall.network_policy_store_encrypted,compute,firewall,network policy store encrypted,gcp.compute.firewalls.list,3,denied,item.denied,array,0.25,exists,null,gcp.compute.firewalls.list,LOW,token_match
gcp.compute.firewall.network_rule_groups_attached,compute,firewall,network rule groups attached,gcp.compute.firewalls.list,1,items[].network,item.network,string,5.4,exists,null,gcp.compute.firewalls.list,MEDIUM,token_match
gcp.compute.firewall.network_rule_groups_attached,compute,firewall,network rule groups attached,gcp.compute.firewalls.list,2,allowed,item.allowed,array,0.25,exists,null,gcp.compute.firewalls.list,LOW,token_match
gcp.compute.firewall.network_rule_groups_attached,compute,firewall,network rule groups attached,gcp.compute.firewalls.list,3,denied,item.denied,array,0.25,exists,null,gcp.compute.firewalls.list,LOW,token_match
gcp.compute.forwarding_rule.listener_cipher_policy_secure,compute,forwarding_rule,listener cipher policy secure,gcp.compute.forwardingRules.aggregatedList,1,IPAddress,item.IPAddress,string,5.25,exists,null,gcp.compute.forwardingRules.aggregatedList,MEDIUM,token_match
gcp.compute.forwarding_rule.listener_cipher_policy_secure,compute,forwarding_rule,listener cipher policy secure,gcp.compute.forwardingRules.aggregatedList,2,ipVersion,item.ipVersion,string,2.75,exists,null,gcp.compute.forwardingRules.aggregatedList,LOW,token_match
gcp.compute.forwarding_rule.listener_cipher_policy_secure,compute,forwarding_rule,listener cipher policy secure,gcp.compute.forwardingRules.aggregatedList,3,allPorts,item.allPorts,boolean,2.25,equals,true,gcp.compute.forwardingRules.aggregatedList,LOW,token_match
gcp.compute.forwarding_rule.listener_tls_min_1_2,compute,forwarding_rule,listener tls min 1 2,gcp.compute.forwardingRules.aggregatedList,1,IPAddress,item.IPAddress,string,0.25,exists,null,gcp.compute.forwardingRules.aggregatedList,LOW,token_match
gcp.compute.forwarding_rule.listener_tls_min_1_2,compute,forwarding_rule,listener tls min 1 2,gcp.compute.forwardingRules.aggregatedList,2,IPProtocol,item.IPProtocol,string,0.25,exists,null,gcp.compute.forwardingRules.aggregatedList,LOW,token_match
gcp.compute.forwarding_rule.listener_tls_min_1_2,compute,forwarding_rule,listener tls min 1 2,gcp.compute.forwardingRules.aggregatedList,3,allPorts,item.allPorts,boolean,0.25,equals,true,gcp.compute.forwardingRules.aggregatedList,LOW,token_match
gcp.compute.forwarding_rule.network_listener_tls_min_1_2,compute,forwarding_rule,network listener tls min 1 2,gcp.compute.networks.list,1,items[].autoCreateSubnetworks,item.autoCreateSubnetworks,string,6.4,exists,null,gcp.compute.networks.list,HIGH,token_match
gcp.compute.forwarding_rule.network_listener_tls_min_1_2,compute,forwarding_rule,network listener tls min 1 2,gcp.compute.networks.list,2,items[].subnetworks,item.subnetworks,string,6.4,exists,null,gcp.compute.networks.list,HIGH,token_match
gcp.compute.forwarding_rule.network_listener_tls_min_1_2,compute,forwarding_rule,network listener tls min 1 2,gcp.compute.networks.list,3,items[].networkFirewallPolicyEnforcementOrder,item.networkFirewallPolicyEnforcementOrder,string,5.4,exists,null,gcp.compute.networks.list,MEDIUM,token_match
