rule_name,assertion_category
apprunner-service-ip-address-type-check,configuration_compliance
apprunner-service-max-unhealthy-threshold,configuration_compliance
apprunner-service-no-public-access,public_access_disabled
apprunner-service-observability-enabled,monitoring_alerting
apprunner-service-tagged,tagging
apprunner-vpc-connector-tagged,tagging
appstream-fleet-in-vpc,private_networking
appsync-associated-with-waf,waf_firewall
appsync-authorization-check,iam_auth_identity
appsync-cache-ct-encryption-at-rest,encryption_at_rest
appsync-cache-ct-encryption-in-transit,encryption_in_transit
appsync-cache-encryption-at-rest,encryption_at_rest
appsync-graphql-api-xray-enabled,monitoring_alerting
appsync-logging-enabled,logging_enabled
aps-rule-groups-namespace-tagged,tagging
athena-data-catalog-description,configuration_compliance
athena-prepared-statement-description,configuration_compliance
athena-workgroup-description,configuration_compliance
athena-workgroup-encrypted-at-rest,encryption_at_rest
athena-workgroup-enforce-workgroup-configuration,configuration_compliance
athena-workgroup-engine-version-auto-upgrade,configuration_compliance
athena-workgroup-logging-enabled,logging_enabled
auditmanager-assessment-tagged,tagging
aurora-global-database-encryption-at-rest,encryption_at_rest
aurora-last-backup-recovery-point-created,backup_recovery
aurora-meets-restore-time-target,backup_recovery
aurora-mysql-backtracking-enabled,backup_recovery
aurora-mysql-cluster-audit-logging,logging_enabled
aurora-resources-in-logically-air-gapped-vault,backup_recovery
aurora-resources-protected-by-backup-plan,backup_recovery
autoscaling-capacity-rebalancing,multi_az_resilience
autoscaling-group-elb-healthcheck-required,configuration_compliance
autoscaling-launch-config-hop-limit,configuration_compliance
autoscaling-launch-config-public-ip-disabled,public_access_disabled
autoscaling-launch-template,configuration_compliance
autoscaling-launchconfig-requires-imdsv2,iam_auth_identity
autoscaling-multiple-az,multi_az_resilience
autoscaling-multiple-instance-types,configuration_compliance
backup-plan-min-frequency-and-min-retention-check,backup_recovery
backup-recovery-point-encrypted,backup_recovery
backup-recovery-point-manual-deletion-disabled,backup_recovery
backup-recovery-point-minimum-retention-check,backup_recovery
batch-compute-environment-enabled,configuration_compliance
batch-compute-environment-managed,configuration_compliance
batch-compute-environment-tagged,tagging
batch-job-queue-enabled,configuration_compliance
batch-job-queue-tagged,tagging
batch-managed-compute-env-allocation-strategy-check,configuration_compliance
batch-managed-compute-env-compute-resources-tagged,tagging
batch-managed-compute-environment-using-launch-template,configuration_compliance
batch-managed-spot-compute-environment-max-bid,configuration_compliance
batch-scheduling-policy-tagged,tagging
beanstalk-enhanced-health-reporting-enabled,configuration_compliance
cassandra-keyspace-tagged,tagging
clb-desync-mode-check,waf_firewall
clb-multiple-az,multi_az_resilience
cloud-trail-cloud-watch-logs-enabled,logging_enabled
cloud-trail-encryption-enabled,encryption_at_rest
cloud-trail-log-file-validation-enabled,logging_enabled
cloudformation-stack-drift-detection-check,configuration_compliance
cloudformation-stack-notification-check,configuration_compliance
cloudformation-stack-service-role-check,iam_auth_identity
cloudformation-termination-protection-check,deletion_protection
cloudfront-accesslogs-enabled,encryption_in_transit
cloudfront-associated-with-waf,waf_firewall
cloudfront-custom-ssl-certificate,encryption_in_transit
cloudfront-default-root-object-configured,configuration_compliance
cloudfront-distribution-key-group-enabled,configuration_compliance
cloudfront-no-deprecated-ssl-protocols,encryption_in_transit
cloudfront-origin-access-identity-enabled,configuration_compliance
cloudfront-origin-failover-enabled,multi_az_resilience
cloudfront-origin-lambda-url-oac-enabled,configuration_compliance
cloudfront-s3-origin-access-control-enabled,configuration_compliance
cloudfront-s3-origin-non-existent-bucket,configuration_compliance
cloudfront-security-policy-check,encryption_in_transit
cloudfront-sni-enabled,encryption_in_transit
cloudfront-ssl-policy-check,encryption_in_transit
cloudfront-traffic-to-origin-encrypted,encryption_in_transit
cloudfront-viewer-policy-https,encryption_in_transit
cloudtrail-all-read-s3-data-event-check,logging_enabled
cloudtrail-all-write-s3-data-event-check,logging_enabled
cloudtrail-enabled,logging_enabled
cloudtrail-event-data-store-multi-region,logging_enabled
cloudtrail-s3-bucket-access-logging,logging_enabled
cloudtrail-s3-bucket-public-access-prohibited,public_access_disabled
cloudtrail-s3-dataevents-enabled,logging_enabled
cloudtrail-security-trail-enabled,logging_enabled
cloudwatch-alarm-action-check,monitoring_alerting
cloudwatch-alarm-action-enabled-check,monitoring_alerting
cloudwatch-alarm-description,monitoring_alerting
cloudwatch-alarm-resource-check,monitoring_alerting
cloudwatch-alarm-settings-check,monitoring_alerting
cloudwatch-log-group-encrypted,logging_enabled
cloudwatch-metric-stream-tagged,monitoring_alerting
cmk-backing-key-rotation-enabled,encryption_at_rest
codeartifact-repository-tagged,tagging
codebuild-project-artifact-encryption,encryption_at_rest
codebuild-project-environment-privileged-check,least_privilege_rbac
codebuild-project-envvar-awscred-check,secrets_management
codebuild-project-logging-enabled,logging_enabled
codebuild-project-s3-logs-encrypted,encryption_at_rest
codebuild-project-source-repo-url-check,secrets_management
codebuild-project-tagged,tagging
codebuild-report-group-encrypted-at-rest,encryption_at_rest
codebuild-report-group-tagged,tagging
codedeploy-auto-rollback-monitor-enabled,configuration_compliance
codedeploy-deployment-group-auto-rollback-enabled,configuration_compliance
codedeploy-deployment-group-outdated-instances-update,patching_updates
codedeploy-ec2-minimum-healthy-hosts-configured,configuration_compliance
codedeploy-lambda-allatonce-traffic-shift-disabled,configuration_compliance
codeguruprofiler-profiling-group-tagged,tagging
codegurureviewer-repository-association-tagged,tagging
codepipeline-deployment-count-check,configuration_compliance
codepipeline-region-fanout-check,configuration_compliance
cognito-identity-pool-unauth-access-check,mfa_authentication
cognito-identity-pool-unauthenticated-logins,mfa_authentication
cognito-user-pool-advanced-security-enabled,mfa_authentication
cognito-user-pool-deletion-protection-enabled,deletion_protection
cognito-user-pool-mfa-enabled,mfa_authentication
cognito-user-pool-password-policy-check,mfa_authentication
cognito-user-pool-tagged,tagging
cognito-userpool-cust-auth-threat-full-check,iam_auth_identity
connect-instance-logging-enabled,logging_enabled
custom-eventbus-policy-attached,configuration_compliance
custom-schema-registry-policy-attached,configuration_compliance
customerprofiles-domain-tagged,tagging
customerprofiles-object-type-allow-profile-creation,configuration_compliance
customerprofiles-object-type-tagged,tagging
cw-loggroup-retention-period-check,versioning_lifecycle
datasync-location-object-storage-using-https,encryption_in_transit
datasync-task-data-verification-enabled,versioning_lifecycle
datasync-task-logging-enabled,logging_enabled
datasync-task-tagged,tagging
dax-encryption-enabled,encryption_at_rest
dax-tls-endpoint-encryption,encryption_in_transit
db-instance-backup-enabled,backup_recovery
desired-instance-tenancy,configuration_compliance
desired-instance-type,configuration_compliance
devicefarm-instance-profile-tagged,iam_auth_identity
devicefarm-project-tagged,tagging
devicefarm-test-grid-project-tagged,tagging
dms-auto-minor-version-upgrade-check,patching_updates
dms-endpoint-ssl-configured,encryption_in_transit
dms-endpoint-tagged,tagging
dms-mongo-db-authentication-enabled,iam_auth_identity
dms-neptune-iam-authorization-enabled,iam_auth_identity
dms-redis-tls-enabled,encryption_in_transit
dms-replication-instance-multi-az-enabled,multi_az_resilience
dms-replication-not-public,public_access_disabled
dms-replication-task-sourcedb-logging,logging_enabled
dms-replication-task-tagged,tagging
dms-replication-task-targetdb-logging,logging_enabled
docdb-cluster-audit-logging-enabled,logging_enabled
docdb-cluster-backup-retention-check,backup_recovery
docdb-cluster-deletion-protection-enabled,deletion_protection
docdb-cluster-encrypted,encryption_at_rest
docdb-cluster-encrypted-in-transit,encryption_in_transit
docdb-cluster-snapshot-public-prohibited,public_access_disabled
dynamodb-autoscaling-enabled,configuration_compliance
dynamodb-in-backup-plan,backup_recovery
dynamodb-last-backup-recovery-point-created,backup_recovery
dynamodb-meets-restore-time-target,backup_recovery
dynamodb-pitr-enabled,backup_recovery
dynamodb-resources-protected-by-backup-plan,backup_recovery
dynamodb-table-deletion-protection-enabled,deletion_protection
dynamodb-table-encrypted-kms,encryption_at_rest
dynamodb-table-encryption-enabled,encryption_at_rest
dynamodb-throughput-limit-check,configuration_compliance
ebs-in-backup-plan,backup_recovery
ebs-last-backup-recovery-point-created,backup_recovery
ebs-meets-restore-time-target,backup_recovery
ebs-optimized-instance,configuration_compliance
ebs-resources-in-logically-air-gapped-vault,backup_recovery
ebs-resources-protected-by-backup-plan,backup_recovery
ebs-snapshot-block-public-access,public_access_disabled
ebs-snapshot-public-restorable-check,public_access_disabled
ec2-capacity-reservation-tagged,configuration_compliance
ec2-carrier-gateway-tagged,tagging
ec2-client-vpn-connection-log-enabled,vpn_connectivity
ec2-client-vpn-endpoint-tagged,vpn_connectivity
ec2-client-vpn-not-authorize-all,vpn_connectivity
ec2-dhcp-options-tagged,tagging
ec2-ebs-encryption-by-default,encryption_at_rest
ec2-enis-source-destination-check-enabled,configuration_compliance
ec2-fleet-tagged,configuration_compliance
ec2-imdsv2-check,iam_auth_identity
ec2-instance-detailed-monitoring-enabled,monitoring_alerting
ec2-instance-launched-with-allowed-ami,configuration_compliance
ec2-instance-managed-by-systems-manager,iam_auth_identity
ec2-instance-multiple-eni-check,configuration_compliance
ec2-instance-no-public-ip,public_access_disabled
ec2-instance-profile-attached,iam_auth_identity
ec2-instances-in-vpc,private_networking
ec2-ipamscope-tagged,tagging
ec2-last-backup-recovery-point-created,backup_recovery
ec2-launch-template-imdsv2-check,iam_auth_identity
ec2-launch-template-public-ip-disabled,public_access_disabled
ec2-launch-template-tagged,tagging
ec2-launch-templates-ebs-volume-encrypted,encryption_at_rest
ec2-launchtemplate-ebs-encrypted,encryption_at_rest
ec2-managedinstance-applications-blacklisted,configuration_compliance
ec2-managedinstance-applications-required,configuration_compliance
ec2-managedinstance-association-compliance-status-check,configuration_compliance
ec2-managedinstance-inventory-blacklisted,configuration_compliance
ec2-managedinstance-patch-compliance-status-check,configuration_compliance
ec2-managedinstance-platform-check,configuration_compliance
ec2-meets-restore-time-target,backup_recovery
ec2-network-insights-access-scope-analysis-tagged,tagging
ec2-network-insights-access-scope-tagged,tagging
ec2-network-insights-analysis-tagged,tagging
ec2-network-insights-path-tagged,tagging
ec2-no-amazon-key-pair,credential_hygiene
ec2-paravirtual-instance-check,configuration_compliance
ec2-prefix-list-tagged,tagging
ec2-resources-in-logically-air-gapped-vault,backup_recovery
ec2-resources-protected-by-backup-plan,backup_recovery
ec2-security-group-attached-to-eni,network_security_groups
ec2-security-group-attached-to-eni-periodic,network_security_groups
ec2-spot-fleet-request-ct-encryption-at-rest,encryption_at_rest
ec2-stopped-instance,configuration_compliance
ec2-token-hop-limit-check,iam_auth_identity
ec2-traffic-mirror-filter-description,configuration_compliance
ec2-traffic-mirror-filter-tagged,tagging
ec2-traffic-mirror-session-description,configuration_compliance
ec2-traffic-mirror-session-tagged,tagging
ec2-traffic-mirror-target-description,configuration_compliance
ec2-traffic-mirror-target-tagged,tagging
ec2-transit-gateway-auto-vpc-attach-disabled,configuration_compliance
ec2-transit-gateway-multicast-domain-tagged,tagging
ec2-volume-inuse-check,configuration_compliance
ec2-vpn-connection-ike-version-check,vpn_connectivity
ec2-vpn-connection-logging-enabled,vpn_connectivity
ec2-vpn-connection-tagged,vpn_connectivity
ecr-private-image-scanning-enabled,container_hardening
ecr-private-lifecycle-policy-configured,versioning_lifecycle
ecr-private-tag-immutability-enabled,container_hardening
ecr-repository-cmk-encryption-enabled,encryption_at_rest
ecr-repository-tagged,tagging
ecs-awsvpc-networking-enabled,container_hardening
ecs-capacity-provider-tagged,tagging
ecs-capacity-provider-termination-check,container_hardening
ecs-container-insights-enabled,monitoring_alerting
ecs-containers-nonprivileged,container_hardening
ecs-containers-readonly-access,container_hardening
ecs-fargate-latest-platform-version,container_hardening
ecs-no-environment-secrets,secrets_management
ecs-service-propagate-tags-enabled,container_hardening
ecs-task-definition-efs-encryption-enabled,encryption_at_rest
ecs-task-definition-linux-user-non-root,container_hardening
ecs-task-definition-log-configuration,logging_enabled
ecs-task-definition-memory-hard-limit,container_hardening
ecs-task-definition-network-mode-not-host,container_hardening
ecs-task-definition-nonroot-user,container_hardening
ecs-task-definition-pid-mode-check,container_hardening
ecs-task-definition-user-for-host-mode-check,container_hardening
ecs-task-definition-windows-user-non-admin,container_hardening
efs-access-point-enforce-root-directory,least_privilege_rbac
efs-access-point-enforce-user-identity,iam_auth_identity
efs-automatic-backups-enabled,backup_recovery
efs-encrypted-check,encryption_at_rest
efs-file-system-tagged,tagging
efs-filesystem-ct-encrypted,encryption_at_rest
efs-in-backup-plan,backup_recovery
efs-last-backup-recovery-point-created,backup_recovery
efs-meets-restore-time-target,backup_recovery
efs-mount-target-public-accessible,public_access_disabled
efs-resources-in-logically-air-gapped-vault,backup_recovery
efs-resources-protected-by-backup-plan,backup_recovery
eip-attached,configuration_compliance
eks-addon-tagged,kubernetes_security
eks-cluster-log-enabled,logging_enabled
eks-cluster-logging-enabled,logging_enabled
eks-cluster-oldest-supported-version,kubernetes_security
eks-cluster-secrets-encrypted,kubernetes_security
eks-cluster-supported-version,kubernetes_security
eks-endpoint-no-public-access,public_access_disabled
eks-fargate-profile-tagged,kubernetes_security
eks-nodegroup-supported-version-check,kubernetes_security
eks-secrets-encrypted,kubernetes_security
elastic-beanstalk-logs-to-cloudwatch,logging_enabled
elastic-beanstalk-managed-updates-enabled,patching_updates
elasticache-auto-minor-version-upgrade-check,patching_updates
elasticache-automatic-backup-check-enabled,backup_recovery
elasticache-rbac-auth-enabled,iam_auth_identity
elasticache-redis-cluster-automatic-backup-check,backup_recovery
elasticache-repl-grp-auto-failover-enabled,multi_az_resilience
elasticache-repl-grp-encrypted-at-rest,encryption_at_rest
elasticache-repl-grp-encrypted-in-transit,encryption_in_transit
elasticache-repl-grp-redis-auth-enabled,iam_auth_identity
elasticache-subnet-group-check,private_networking
elasticache-supported-engine-version,configuration_compliance
elasticbeanstalk-application-description,configuration_compliance
elasticbeanstalk-application-version-description,configuration_compliance
elasticbeanstalk-environment-description,configuration_compliance
elasticsearch-encrypted-at-rest,encryption_at_rest
elasticsearch-in-vpc-only,private_networking
elasticsearch-logs-to-cloudwatch,logging_enabled
elasticsearch-node-to-node-encryption-check,encryption_in_transit
elb-acm-certificate-required,encryption_in_transit
elb-cross-zone-load-balancing-enabled,multi_az_resilience
elb-custom-security-policy-ssl-check,encryption_in_transit
elb-deletion-protection-enabled,deletion_protection
elb-internal-scheme-check,private_networking
elb-logging-enabled,logging_enabled
elb-predefined-security-policy-ssl-check,encryption_in_transit
elb-tagged,tagging
elb-tls-https-listeners-only,encryption_in_transit
elbv2-acm-certificate-required,encryption_in_transit
elbv2-listener-encryption-in-transit,encryption_in_transit
elbv2-multiple-az,multi_az_resilience
elbv2-predefined-security-policy-ssl-check,encryption_in_transit
elbv2-targetgroup-healthcheck-protocol-encrypted,encryption_in_transit
elbv2-targetgroup-protocol-encrypted,encryption_in_transit
emr-block-public-access,public_access_disabled
emr-kerberos-enabled,iam_auth_identity
emr-master-no-public-ip,public_access_disabled
emr-security-configuration-encryption-rest,encryption_at_rest
emr-security-configuration-encryption-transit,encryption_in_transit
encrypted-volumes,encryption_at_rest
event-data-store-cmk-encryption-enabled,encryption_at_rest
eventschemas-discoverer-tagged,tagging
eventschemas-registry-tagged,tagging
evidently-launch-description,configuration_compliance
evidently-launch-tagged,tagging
evidently-project-description,configuration_compliance
evidently-project-tagged,tagging
evidently-segment-description,configuration_compliance
evidently-segment-tagged,tagging
fis-experiment-template-log-configuration-exists,logging_enabled
fis-experiment-template-tagged,tagging
fms-shield-resource-policy-check,waf_firewall
fms-webacl-resource-policy-check,waf_firewall
fms-webacl-rulegroup-association-check,waf_firewall
frauddetector-entity-type-tagged,tagging
frauddetector-label-tagged,tagging
frauddetector-outcome-tagged,tagging
frauddetector-variable-tagged,tagging
fsx-last-backup-recovery-point-created,backup_recovery
fsx-lustre-copy-tags-to-backups,backup_recovery
fsx-meets-restore-time-target,backup_recovery
fsx-ontap-deployment-type-check,configuration_compliance
fsx-openzfs-copy-tags-enabled,tagging
fsx-openzfs-deployment-type-check,configuration_compliance
fsx-resources-protected-by-backup-plan,backup_recovery
fsx-windows-audit-log-configured,logging_enabled
fsx-windows-deployment-type-check,configuration_compliance
glb-listener-tagged,tagging
glb-tagged,tagging
global-endpoint-event-replication-enabled,multi_az_resilience
glue-job-logging-enabled,logging_enabled
glue-ml-transform-encrypted-at-rest,encryption_at_rest
glue-ml-transform-tagged,tagging
glue-spark-job-supported-version,configuration_compliance
groundstation-config-tagged,tagging
groundstation-dataflowendpointgroup-tagged,tagging
groundstation-missionprofile-tagged,tagging
guardduty-ec2-protection-runtime-enabled,threat_detection
guardduty-ecs-protection-runtime-enabled,threat_detection
guardduty-eks-protection-audit-enabled,threat_detection
guardduty-eks-protection-runtime-enabled,threat_detection
guardduty-enabled-centralized,threat_detection
guardduty-lambda-protection-enabled,threat_detection
guardduty-malware-protection-enabled,threat_detection
guardduty-non-archived-findings,threat_detection
guardduty-rds-protection-enabled,threat_detection
guardduty-runtime-monitoring-enabled,monitoring_alerting
guardduty-s3-protection-enabled,threat_detection
healthlake-fhirdatastore-tagged,tagging
iam-customer-policy-blocked-kms-actions,least_privilege_rbac
iam-external-access-analyzer-enabled,iam_auth_identity
iam-group-has-users-check,iam_auth_identity
iam-inline-policy-blocked-kms-actions,least_privilege_rbac
iam-no-inline-policy-check,least_privilege_rbac
iam-oidc-provider-client-id-list-check,iam_auth_identity
iam-oidc-provider-tagged,iam_auth_identity
iam-password-policy,mfa_authentication
iam-policy-blacklisted-check,least_privilege_rbac
iam-policy-description,configuration_compliance
iam-policy-in-use,credential_hygiene
iam-policy-no-statements-with-admin-access,least_privilege_rbac
iam-policy-no-statements-with-full-access,least_privilege_rbac
iam-role-managed-policy-check,iam_auth_identity
iam-root-access-key-check,credential_hygiene
iam-saml-provider-tagged,iam_auth_identity
iam-server-certificate-expiration-check,key_rotation_mgmt
iam-server-certificate-tagged,tagging
iam-user-group-membership-check,credential_hygiene
iam-user-mfa-enabled,mfa_authentication
iam-user-no-policies-check,credential_hygiene
iam-user-unused-credentials-check,credential_hygiene
imagebuilder-distributionconfiguration-tagged,tagging
imagebuilder-imagepipeline-tagged,tagging
imagebuilder-imagerecipe-ebs-volumes-encrypted,encryption_at_rest
imagebuilder-imagerecipe-tagged,tagging
imagebuilder-infrastructureconfiguration-tagged,tagging
inspector-ec2-scan-enabled,threat_detection
inspector-ecr-scan-enabled,threat_detection
inspector-lambda-code-scan-enabled,threat_detection
inspector-lambda-standard-scan-enabled,threat_detection
internet-gateway-authorized-vpc-only,private_networking
iot-authorizer-token-signing-enabled,iam_auth_identity
iot-job-template-tagged,tagging
iot-provisioning-template-description,configuration_compliance
iot-provisioning-template-jitp,configuration_compliance
iot-provisioning-template-tagged,tagging
iot-scheduled-audit-tagged,tagging
iotdevicedefender-custom-metric-tagged,tagging
iotevents-alarm-model-tagged,tagging
iotevents-detector-model-tagged,tagging
iotevents-input-tagged,tagging
iotsitewise-asset-model-tagged,tagging
iotsitewise-dashboard-tagged,tagging
iotsitewise-gateway-tagged,tagging
iotsitewise-portal-tagged,tagging
iotsitewise-project-tagged,tagging
iottwinmaker-component-type-tagged,tagging
iottwinmaker-entity-tagged,tagging
iottwinmaker-scene-tagged,tagging
iottwinmaker-sync-job-tagged,tagging
iottwinmaker-workspace-tagged,tagging
iotwireless-fuota-task-tagged,tagging
iotwireless-multicast-group-tagged,tagging
iotwireless-service-profile-tagged,tagging
ivs-channel-playback-authorization-enabled,iam_auth_identity
ivs-channel-tagged,tagging
ivs-playback-key-pair-tagged,tagging
ivs-recording-configuration-tagged,tagging
kendra-index-tagged,tagging
kinesis-firehose-delivery-stream-encrypted,encryption_at_rest
kinesis-stream-backup-retention-check,backup_recovery
kinesis-stream-encrypted,encryption_at_rest
kinesis-video-stream-minimum-data-retention,versioning_lifecycle
kinesisvideo-signalingchannel-tagged,tagging
kinesisvideo-stream-tagged,tagging
kms-cmk-not-scheduled-for-deletion,encryption_at_rest
kms-key-policy-no-public-access,encryption_at_rest
kms-key-tagged,encryption_at_rest
lambda-concurrency-check,configuration_compliance
lambda-dlq-check,configuration_compliance
lambda-function-application-log-level-check,logging_enabled
lambda-function-description,configuration_compliance
lambda-function-log-format-json,logging_enabled
lambda-function-public-access-prohibited,public_access_disabled
lambda-function-settings-check,configuration_compliance
lambda-function-system-log-level-check,logging_enabled
lambda-function-xray-enabled,monitoring_alerting
lambda-inside-vpc,private_networking
lambda-vpc-multi-az-check,multi_az_resilience
lightsail-bucket-allow-public-overrides-disabled,public_access_disabled
lightsail-bucket-object-versioning-enabled,versioning_lifecycle
lightsail-bucket-tagged,tagging
lightsail-certificate-tagged,tagging
lightsail-disk-tagged,tagging
macie-auto-sensitive-data-discovery-check,threat_detection
macie-status-check,threat_detection
mariadb-publish-logs-to-cloudwatch-logs,logging_enabled
mediapackage-packagingconfiguration-tagged,tagging
mediatailor-playbackconfiguration-tagged,tagging
memorydb-subnetgroup-tagged,tagging
mfa-enabled-for-iam-console-access,mfa_authentication
mq-active-broker-ldap-authentication,iam_auth_identity
mq-active-deployment-mode,configuration_compliance
mq-active-single-instance-broker-storage-type-efs,configuration_compliance
mq-auto-minor-version-upgrade-enabled,patching_updates
mq-automatic-minor-version-upgrade-enabled,patching_updates
mq-broker-general-logging-enabled,logging_enabled
mq-cloudwatch-audit-log-enabled,logging_enabled
mq-cloudwatch-audit-logging-enabled,logging_enabled
mq-no-public-access,public_access_disabled
mq-rabbit-deployment-mode,configuration_compliance
msk-cluster-public-access-disabled,public_access_disabled
msk-cluster-tagged,tagging
msk-connect-connector-logging-enabled,logging_enabled
msk-enhanced-monitoring-enabled,monitoring_alerting
msk-in-cluster-node-require-tls,encryption_in_transit
msk-unrestricted-access-check,network_security_groups
multi-region-cloudtrail-enabled,logging_enabled
nacl-no-unrestricted-ssh-rdp,network_security_groups
neptune-cluster-backup-retention-check,backup_recovery
neptune-cluster-cloudwatch-log-export-enabled,logging_enabled
neptune-cluster-copy-tags-to-snapshot-enabled,backup_recovery
neptune-cluster-deletion-protection-enabled,deletion_protection
neptune-cluster-encrypted,encryption_at_rest
neptune-cluster-iam-database-authentication,iam_auth_identity
neptune-cluster-multi-az-enabled,multi_az_resilience
neptune-cluster-snapshot-encrypted,encryption_at_rest
neptune-cluster-snapshot-iam-database-auth-enabled,iam_auth_identity
neptune-cluster-snapshot-public-prohibited,public_access_disabled
netfw-deletion-protection-enabled,deletion_protection
netfw-logging-enabled,logging_enabled
netfw-multi-az-enabled,multi_az_resilience
netfw-policy-default-action-fragment-packets,firewall_network
netfw-policy-default-action-full-packets,firewall_network
netfw-policy-rule-group-associated,firewall_network
netfw-stateless-rule-group-not-empty,waf_firewall
netfw-subnet-change-protection-enabled,firewall_network
nlb-cross-zone-load-balancing-enabled,multi_az_resilience
nlb-internal-scheme-check,private_networking
nlb-listener-tagged,tagging
nlb-logging-enabled,logging_enabled
nlb-tagged,tagging
no-unrestricted-route-to-igw,network_security_groups
opensearch-access-control-enabled,iam_auth_identity
opensearch-audit-logging-enabled,logging_enabled
opensearch-data-node-fault-tolerance,multi_az_resilience
opensearch-encrypted-at-rest,encryption_at_rest
opensearch-https-required,encryption_in_transit
opensearch-in-vpc-only,private_networking
opensearch-logs-to-cloudwatch,logging_enabled
opensearch-node-to-node-encryption-check,encryption_in_transit
opensearch-primary-node-fault-tolerance,multi_az_resilience
opensearch-update-check,configuration_compliance
opensearchserverless-collection-description,configuration_compliance
opensearchserverless-collection-standbyreplicas-enabled,multi_az_resilience
panorama-package-tagged,tagging
rabbit-mq-supported-version,configuration_compliance
rds-aurora-mysql-audit-logging-enabled,logging_enabled
rds-aurora-postgresql-logs-to-cloudwatch,logging_enabled
rds-automatic-minor-version-upgrade-enabled,patching_updates
rds-cluster-auto-minor-version-upgrade-enable,patching_updates
rds-cluster-backup-retention-check,backup_recovery
rds-cluster-default-admin-check,default_admin_check
rds-cluster-deletion-protection-enabled,deletion_protection
rds-cluster-encrypted-at-rest,encryption_at_rest
rds-cluster-iam-authentication-enabled,iam_auth_identity
rds-cluster-multi-az-enabled,multi_az_resilience
