unique_compliance_id,technology,compliance_framework,framework_id,framework_version,requirement_id,requirement_name,requirement_description,section,service,total_checks,automation_type,confidence_score,references,source_file,gcp_checks,updated_gcp_checks,mapped_rule_id
canada_pbmm_moderate_multi_cloud_CCCS_CA-2_0035,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CA-2,CCCS CA-2: Control Assessments,,CCCS,Multiple,15,automated,,,CANADA_PBMM_controls_with_checks.csv,gcp_security_command_center_enabled; gcp_security_command_center_is_enabled,gcp.security.command.center_enabled; gcp.security.command.center_is_enabled,
canada_pbmm_moderate_multi_cloud_CCCS_CA-7_0039,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CA-7,CCCS CA-7: Continuous Monitoring,,CCCS,Multiple,81,automated,,,CANADA_PBMM_controls_with_checks.csv,gcp_api_gateway_restapi_logging_enabled; gcp_logging_enabled; gcp_logging_multi_region_enabled; gcp_logging_storage_read_events_enabled; gcp_logging_storage_write_events_enabled; gcp_monitoring_changes_to_network_acls_alarm_configured; gcp_monitoring_changes_to_network_gateways_alarm_configured; gcp_monitoring_changes_to_network_route_tables_alarm_configured; gcp_monitoring_changes_to_vpcs_alarm_configured; gcp_monitoring_log_group_retention_policy_specific_days_enabled; gcp_security_command_center_enabled; gcp_security_command_center_is_enabled; gcp_sql_instance_enhanced_monitoring_enabled,gcp.apigateway.restapi.logging_enabled; gcp_logging_enabled; gcp.logging.multi.region_enabled; gcp.logging.storage.read_events_enabled; gcp.logging.storage.write_events_enabled; gcp.monitoring.changes.to_network_acls_alarm_configured; gcp.monitoring.changes.to_network_gateways_alarm_configured; gcp.monitoring.changes.to_network_route_tables_alarm_configured; gcp.monitoring.changes.to_vpcs_alarm_configured; gcp.monitoring.log.group_retention_policy_specific_days_enabled; gcp.security.command.center_enabled; gcp.security.command.center_is_enabled; gcp.sql.instance.enhanced_monitoring_enabled,gcp.apigateway.api.gateway_restapi_logging_enabled; gcp.logging.sink.multi_region_enabled; gcp.logging.bucket.read_events_enabled; gcp.logging.bucket.write_events_enabled; gcp.monitoring.alert_policy.changes_to_vpcs_alarm_configured; gcp.monitoring.alert_policy.gateways_alarm_configured; gcp.monitoring.alert_policy.route_tables_alarm_configured; gcp.monitoring.alert_policy.changes_to_vpcs_alarm_configured; gcp.monitoring.group.retention_policy_specific_days_enabled
canada_pbmm_moderate_multi_cloud_CCCS_CA-9_0040,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CA-9,CCCS CA-9: Internal System Connections,,CCCS,Multiple,28,automated,,,CANADA_PBMM_controls_with_checks.csv,gcp_api_gateway_restapi_client_certificate_enabled; gcp_elasticsearch_service_domains_node_to_node_encryption_enabled; gcp_load_balancing_ssl_listeners; gcp_storage_bucket_secure_transport_policy,gcp.apigateway.restapi.client_certificate_enabled; gcp.elasticsearch.service.domains_node_to_node_encryption_enabled; gcp.compute.ssl.listeners; gcp.storage.bucket.secure_transport_policy,gcp.apigateway.api.certificate_enabled; gcp.elasticsearch.cluster.domains_node_to_node_encryption_enabled; gcp.compute.target_https_proxy.balancing_ssl_listeners_configured; gcp.storage.bucket.secure_transport_policy
canada_pbmm_moderate_multi_cloud_CCCS_CM-2_0042,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-2,CCCS CM-2: Baseline Configuration,,CCCS,Multiple,40,automated,,,CANADA_PBMM_controls_with_checks.csv,gcp_bigquery_cluster_automatic_upgrades; gcp_compute_instance_managed_by_os_config; gcp_compute_instance_older_than_specific_days; gcp_compute_networkacl_allow_ingress_any_port; gcp_load_balancing_deletion_protection; gcp_os_config_managed_compliant_patching,gcp.bigquery.cluster.automatic_upgrades; gcp.compute.instance.managed_by_os_config; gcp.compute.instance.older_than_specific_days; gcp.compute.networkacl.allow_ingress_any_port; gcp.compute.deletion.protection; gcp.os.config.managed_compliant_patching,gcp.compute.instance.managed_by_os_config; gcp.compute.instance.older_than_specific_days; gcp.osconfig.patch_deployment.managed_compliant_patching
canada_pbmm_moderate_multi_cloud_CCCS_CM-3_0043,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-3,CCCS CM-3: Configuration Change Control,,CCCS,Multiple,15,automated,,,CANADA_PBMM_controls_with_checks.csv,gcp_load_balancing_deletion_protection; gcp_sql_instance_deletion_protection,gcp.compute.deletion.protection; gcp.sql.instance.deletion_protection,
canada_pbmm_moderate_multi_cloud_CCCS_CM-6_0046,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-6,CCCS CM-6: Configuration Settings,,CCCS,Multiple,70,automated,,,CANADA_PBMM_controls_with_checks.csv,gcp_compute_disk_encryption_enabled; gcp_compute_instance_managed_by_os_config; gcp_compute_instance_profile_attached; gcp_iam_password_policy_minimum_length_14; gcp_logging_enabled; gcp_logging_kms_encryption_enabled; gcp_logging_log_file_validation_enabled; gcp_logging_multi_region_enabled; gcp_logging_storage_read_events_enabled; gcp_logging_storage_write_events_enabled; gcp_os_config_managed_compliant_patching,gcp.compute.disk.encryption_enabled; gcp.compute.instance.managed_by_os_config; gcp.compute.instance.profile_attached; gcp.iam.password.policy_minimum_length_14; gcp_logging_enabled; gcp.logging.kms.encryption_enabled; gcp.logging.log.file_validation_enabled; gcp.logging.multi.region_enabled; gcp.logging.storage.read_events_enabled; gcp.logging.storage.write_events_enabled; gcp.os.config.managed_compliant_patching,gcp.compute.disk.encryption_enabled; gcp.compute.instance.managed_by_os_config; gcp.compute.instance.profile_attached; gcp.iam.user.policy_minimum_length_14; gcp.logging.sink.kms_encryption_enabled; gcp.logging.sink.log_file_validation_enabled; gcp.logging.sink.multi_region_enabled; gcp.logging.bucket.read_events_enabled; gcp.logging.bucket.write_events_enabled; gcp.osconfig.patch_deployment.managed_compliant_patching
canada_pbmm_moderate_multi_cloud_CCCS_CM-7_0047,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-7,CCCS CM-7: Least Functionality,,CCCS,EC2,10,automated,,,CANADA_PBMM_controls_with_checks.csv,gcp_compute_networkacl_allow_ingress_any_port,gcp.compute.networkacl.allow_ingress_any_port,
canada_pbmm_moderate_multi_cloud_CCCS_CM-8_0048,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-8,CCCS CM-8: System Component Inventory,,CCCS,Multiple,15,automated,,,CANADA_PBMM_controls_with_checks.csv,gcp_compute_instance_managed_by_os_config; gcp_os_config_managed_compliant_patching,gcp.compute.instance.managed_by_os_config; gcp.os.config.managed_compliant_patching,gcp.compute.instance.managed_by_os_config; gcp.osconfig.patch_deployment.managed_compliant_patching
canada_pbmm_moderate_multi_cloud_CCCS_CM-9_0049,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-9,CCCS CM-9: Configuration Management Plan,,CCCS,Multiple,58,automated,,,CANADA_PBMM_controls_with_checks.csv,gcp_compute_disk_encryption_enabled; gcp_iam_password_policy_minimum_length_14; gcp_iam_policy_attached_only_to_group_or_roles; gcp_logging_enabled; gcp_logging_kms_encryption_enabled; gcp_logging_log_file_validation_enabled; gcp_logging_multi_region_enabled; gcp_logging_storage_read_events_enabled; gcp_logging_storage_write_events_enabled,gcp.compute.disk.encryption_enabled; gcp.iam.password.policy_minimum_length_14; gcp.iam.policy.attached_only_to_group_or_roles; gcp_logging_enabled; gcp.logging.kms.encryption_enabled; gcp.logging.log.file_validation_enabled; gcp.logging.multi.region_enabled; gcp.logging.storage.read_events_enabled; gcp.logging.storage.write_events_enabled,gcp.compute.disk.encryption_enabled; gcp.iam.user.policy_minimum_length_14; gcp.iam.policy.attached_only_to_group_or_roles; gcp.logging.sink.kms_encryption_enabled; gcp.logging.sink.log_file_validation_enabled; gcp.logging.sink.multi_region_enabled; gcp.logging.bucket.read_events_enabled; gcp.logging.bucket.write_events_enabled
canada_pbmm_moderate_multi_cloud_CCCS_CP-2_0053,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CP-2,CCCS CP-2: Contingency Plan,,CCCS,Multiple,22,automated,,,CANADA_PBMM_controls_with_checks.csv,gcp_load_balancing_deletion_protection; gcp_sql_instance_deletion_protection; gcp_sql_instance_multi_az,gcp.compute.deletion.protection; gcp.sql.instance.deletion_protection; gcp.sql.instance.multi_az,
canada_pbmm_moderate_multi_cloud_CCCS_CP-6_0056,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CP-6,CCCS CP-6: Alternate Storage Site,,CCCS,Multiple,28,automated,,,CANADA_PBMM_controls_with_checks.csv,gcp_bigquery_cluster_automated_snapshot; gcp_filestore_have_backup_enabled; gcp_sql_instance_backup_enabled; gcp_storage_bucket_object_versioning,gcp.bigquery.cluster.automated_snapshot; gcp.filestore.have.backup_enabled; gcp.sql.instance.backup_enabled; gcp.storage.bucket.object_versioning,gcp.filestore.instance.backup_enabled; gcp.storage.bucket.object_versioning
canada_pbmm_moderate_multi_cloud_CCCS_CP-9_0059,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CP-9,CCCS CP-9: System Backup,,CCCS,Multiple,94,automated,,,CANADA_PBMM_controls_with_checks.csv,gcp_bigquery_cluster_audit_logging; gcp_bigquery_cluster_automated_snapshot; gcp_bigquery_cluster_automatic_upgrades; gcp_compute_disk_encryption_enabled; gcp_elasticsearch_service_domains_encryption_at_rest_enabled; gcp_filestore_encryption_at_rest_enabled; gcp_filestore_have_backup_enabled; gcp_firestore_tables_pitr_enabled; gcp_logging_kms_encryption_enabled; gcp_monitoring_log_group_kms_encryption_enabled; gcp_sql_instance_backup_enabled; gcp_sql_instance_encryption_at_rest_enabled; gcp_storage_bucket_default_encryption; gcp_storage_bucket_object_versioning; gcp_vertex_ai_notebook_instance_encryption_enabled,gcp.bigquery.cluster.audit_logging; gcp.bigquery.cluster.automated_snapshot; gcp.bigquery.cluster.automatic_upgrades; gcp.compute.disk.encryption_enabled; gcp.elasticsearch.service.domains_encryption_at_rest_enabled; gcp.filestore.encryption.at_rest_enabled; gcp.filestore.have.backup_enabled; gcp.firestore.tables.pitr_enabled; gcp.logging.kms.encryption_enabled; gcp.monitoring.log.group_kms_encryption_enabled; gcp.sql.instance.backup_enabled; gcp.sql.instance.encryption_at_rest_enabled; gcp.storage.bucket.default_encryption; gcp.storage.bucket.object_versioning; gcp.aiplatform.notebook.instance_encryption_enabled,gcp.compute.disk.encryption_enabled; gcp.elasticsearch.cluster.domains_encryption_at_rest_enabled; gcp.filestore.instance.encryption_at_rest_enabled; gcp.filestore.instance.backup_enabled; gcp.firestore.database.pitr_enabled; gcp.logging.sink.kms_encryption_enabled; gcp.monitoring.group.kms_encryption_enabled; gcp.storage.bucket.default_encryption; gcp.storage.bucket.object_versioning; gcp.aiplatform.endpoint.encryption_enabled
canada_pbmm_moderate_multi_cloud_CCCS_IA-2_0062,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS IA-2,CCCS IA-2: Identification and Authentication (organizational Users),,CCCS,IAM,22,automated,,,CANADA_PBMM_controls_with_checks.csv,gcp_iam_password_policy_strong; gcp_iam_root_mfa_enabled; gcp_iam_user_mfa_enabled,gcp.iam.password.policy_strong; gcp.iam.root.mfa_enabled; gcp.iam.user.mfa_enabled,gcp.iam.policy.strong; gcp.iam.policy.root_mfa_enabled; gcp.iam.user.mfa_enabled
canada_pbmm_moderate_multi_cloud_CCCS_IA-4_0064,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS IA-4,CCCS IA-4: Identifier Management,,CCCS,IAM,16,automated,,,CANADA_PBMM_controls_with_checks.csv,gcp_iam_no_root_access_key; gcp_iam_password_policy_minimum_length_14,gcp.iam.no.root_access_key; gcp.iam.password.policy_minimum_length_14,gcp.iam.key.access_key_90_days; gcp.iam.user.policy_minimum_length_14
canada_pbmm_moderate_multi_cloud_CCCS_IA-5_0065,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS IA-5,CCCS IA-5: Authenticator Management,,CCCS,IAM,6,automated,,,CANADA_PBMM_controls_with_checks.csv,gcp_iam_password_policy_minimum_length_14,gcp.iam.password.policy_minimum_length_14,gcp.iam.user.policy_minimum_length_14
canada_pbmm_moderate_multi_cloud_CCCS_IR-4_0072,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS IR-4,CCCS IR-4: Incident Handling,,CCCS,GUARDDUTY,10,automated,,,CANADA_PBMM_controls_with_checks.csv,gcp_security_command_center_no_high_severity_findings,gcp.security.command.center_no_high_severity_findings,
canada_pbmm_moderate_multi_cloud_CCCS_MA-4_0080,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS MA-4,CCCS MA-4: Nonlocal Maintenance,,CCCS,IAM,6,automated,,,CANADA_PBMM_controls_with_checks.csv,gcp_iam_password_policy_minimum_length_14,gcp.iam.password.policy_minimum_length_14,gcp.iam.user.policy_minimum_length_14
canada_pbmm_moderate_multi_cloud_CCCS_RA-1_0112,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS RA-1,CCCS RA-1: Policy and Procedures,,CCCS,GUARDDUTY,6,automated,,,CANADA_PBMM_controls_with_checks.csv,gcp_security_command_center_is_enabled,gcp.security.command.center_is_enabled,
canada_pbmm_moderate_multi_cloud_CCCS_RA-5_0115,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS RA-5,CCCS RA-5: Vulnerability Monitoring and Scanning,,CCCS,GUARDDUTY,9,automated,,,CANADA_PBMM_controls_with_checks.csv,gcp_security_command_center_is_enabled,gcp.security.command.center_is_enabled,
canada_pbmm_moderate_multi_cloud_CCCS_SC-5_0131,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS SC-5,CCCS SC-5: Denial-of-service Protection,,CCCS,GUARDDUTY,10,automated,,,CANADA_PBMM_controls_with_checks.csv,gcp_security_command_center_is_enabled,gcp.security.command.center_is_enabled,
canada_pbmm_moderate_multi_cloud_CCCS_SC-7_0132,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS SC-7,CCCS SC-7: Boundary Protection,,CCCS,Multiple,63,automated,,,CANADA_PBMM_controls_with_checks.csv,gcp_bigquery_cluster_public_access; gcp_compute_disk_public_snapshot; gcp_compute_instance_public_ip; gcp_dataproc_cluster_master_nodes_no_public_ip; gcp_functions_function_not_publicly_accessible; gcp_functions_function_url_public; gcp_sql_instance_no_public_access; gcp_sql_snapshots_public_access; gcp_storage_bucket_policy_public_write_access; gcp_storage_bucket_public_access,gcp.bigquery.cluster.public_access; gcp.compute.disk.public_snapshot; gcp.compute.instance.public_ip; gcp.dataproc.cluster.master_nodes_no_public_ip; gcp.functions.function.not_publicly_accessible; gcp.functions.function.url_public; gcp.sql.instance.no_public_access; gcp.sql.snapshots.public_access; gcp.storage.bucket.policy_public_write_access; gcp.storage.bucket.public_access,gcp.compute.disk.public_snapshot; gcp.compute.instance.public_ip; gcp.dataproc.cluster.master_nodes_no_public_ip; gcp.storage.bucket.policy_public_write_access; gcp.storage.bucket.public_access
canada_pbmm_moderate_multi_cloud_CCCS_SC-8_0133,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS SC-8,CCCS SC-8: Transmission Confidentiality and Integrity,,CCCS,Multiple,27,automated,,,CANADA_PBMM_controls_with_checks.csv,gcp_api_gateway_api_gateway_https_required; gcp_cdn_cloudfront_https_required; gcp_compute_alb_https_redirect; gcp_storage_website_https_only,gcp.apigateway.api.gateway_https_required; gcp.cdn.cloudfront.https_required; gcp.compute.alb.https_redirect; gcp.storage.website.https_only,gcp.apigateway.api.gateway_api_gateway_https_required; gcp.compute.url_map.alb_https_redirect_configured; gcp.storage.bucket.website_https_only_configured
canada_pbmm_moderate_multi_cloud_CCCS_SC-12_0135,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS SC-12,CCCS SC-12: Cryptographic Key Establishment and Management,,CCCS,KMS,22,automated,,,CANADA_PBMM_controls_with_checks.csv,gcp_kms_key_lifecycle_policy; gcp_kms_kms_key_expiration_set; gcp_kms_kms_key_rotation_enabled,gcp.kms.key.lifecycle_policy; gcp.kms.kms.key_expiration_set; gcp.kms.kms.key_rotation_enabled,
canada_pbmm_moderate_multi_cloud_CCCS_SC-13_0136,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS SC-13,CCCS SC-13: Cryptographic Protection,,CCCS,Multiple,58,automated,,,CANADA_PBMM_controls_with_checks.csv,gcp_api_gateway_restapi_client_certificate_enabled; gcp_compute_disk_encryption_enabled; gcp_elasticsearch_service_domains_encryption_at_rest_enabled; gcp_elasticsearch_service_domains_node_to_node_encryption_enabled; gcp_filestore_encryption_at_rest_enabled; gcp_firestore_tables_kms_cmk_encryption_enabled; gcp_load_balancing_ssl_listeners; gcp_logging_kms_encryption_enabled; gcp_monitoring_log_group_kms_encryption_enabled,gcp.apigateway.restapi.client_certificate_enabled; gcp.compute.disk.encryption_enabled; gcp.elasticsearch.service.domains_encryption_at_rest_enabled; gcp.elasticsearch.service.domains_node_to_node_encryption_enabled; gcp.filestore.encryption.at_rest_enabled; gcp.firestore.tables.kms_cmk_encryption_enabled; gcp.compute.ssl.listeners; gcp.logging.kms.encryption_enabled; gcp.monitoring.log.group_kms_encryption_enabled,gcp.apigateway.api.certificate_enabled; gcp.compute.disk.encryption_enabled; gcp.elasticsearch.cluster.domains_encryption_at_rest_enabled; gcp.elasticsearch.cluster.domains_node_to_node_encryption_enabled; gcp.filestore.instance.encryption_at_rest_enabled; gcp.firestore.database.tables_kms_cmk_encryption_enabled; gcp.compute.target_https_proxy.balancing_ssl_listeners_configured; gcp.logging.sink.kms_encryption_enabled; gcp.monitoring.group.kms_encryption_enabled
canada_pbmm_moderate_multi_cloud_CCCS_SC-22_0142,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS SC-22,CCCS SC-22: Architecture and Provisioning for Name/address Resolution Service,,CCCS,Multiple,18,automated,,,CANADA_PBMM_controls_with_checks.csv,gcp_load_balancing_deletion_protection; gcp_sql_instance_deletion_protection; gcp_sql_instance_multi_az,gcp.compute.deletion.protection; gcp.sql.instance.deletion_protection; gcp.sql.instance.multi_az,
canada_pbmm_moderate_multi_cloud_CCCS_SC-28_0144,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS SC-28,CCCS SC-28: Protection of Information at Rest,,CCCS,Multiple,33,automated,,,CANADA_PBMM_controls_with_checks.csv,gcp_backup_backup_encryption_enabled; gcp_compute_disk_encryption_enabled; gcp_sql_dynamodb_table_encryption_enabled; gcp_sql_instance_encryption_at_rest_enabled; gcp_storage_bucket_encryption_enabled,gcp.backup.backup.encryption_enabled; gcp.compute.disk.encryption_enabled; gcp.sql.dynamodb.table_encryption_enabled; gcp.sql.instance.encryption_at_rest_enabled; gcp.storage.bucket.encryption_enabled,gcp.compute.disk.encryption_enabled; gcp.compute.disk.encryption_enabled; gcp.storage.bucket.encryption_enabled
